seq: 0
gt_pose: 0 0 0
odom_pose:   0.00160159            0 -0.000259093
point 0 6 522.119 187.968 
point 1 14 442.949 142.838 
point 2 15 67.7619 175.604 
point 3 17 306.371 119.738 
point 4 35 509.615 216.308 
point 5 36 83.1589 233.854 
point 6 38 554.595  143.28 
point 7 42 302.887  177.28 
point 8 44 186.094 163.632 
point 9 53 83.0851 199.116 
point 10 54 470.001 194.069 
point 11 56 545.424 201.304 
point 12 57 395.473 178.467 
point 13 59 443.871 217.763 
point 14 61     118 168.225 
point 15 64 287.161 197.331 
point 16 69  572.43 213.364 
point 17 77 20.2597 228.973 
point 18 84 447.036 176.772 
point 19 89 76.1365 232.246 
point 20 106 53.7771 234.686 
point 21 110 227.083 105.373 
point 22 113  156.29 192.852 
point 23 115 274.758 181.087 
point 24 118 623.698 183.562 
point 25 119 512.103 199.405 
point 26 120 241.192 191.718 
point 27 130 52.1699 177.717 
point 28 132 148.096  159.93 
point 29 134 145.931 176.479 
point 30 138 638.551 228.239 
point 31 148 135.785 85.2333 
point 32 152 530.317  165.41 
point 33 157 45.5256  237.27 
point 34 158 104.684 139.585 
point 35 159 164.688 147.633 
point 36 161 111.172 175.114 
point 37 165 223.221 67.4094 
point 38 169 223.512 177.769 
point 39 170 192.576 237.399 
point 40 179 291.715 200.845 
point 41 184 635.951   151.4 
point 42 198 442.661 235.923 
point 43 202 296.852 146.586 
point 44 259 394.713 209.036 
point 45 280 302.838 230.703 
point 46 286 424.459 175.647 
point 47 290 346.489 192.917 
point 48 296 399.134 106.109 
point 49 301 439.155 156.361 
point 50 304 22.2829 95.9369 
point 51 310 28.9208 163.336 
point 52 313 349.264 120.424 
point 53 315 155.563 211.198 
point 54 316 376.465  186.11 
point 55 319  361.32 163.059 
point 56 325 236.459 215.946 
point 57 327 490.325 210.802 
point 58 343 147.821 227.493 
point 59 353 252.228 187.546 
point 60 367 214.917  69.296 
point 61 374 620.275 193.395 
point 62 396 223.922 173.428 
point 63 398   410.5 217.798 
point 64 411 28.3751 229.955 
point 65 444  575.49 176.545 
point 66 446 531.083 167.512 
point 67 448 324.563 210.102 
point 68 449 64.4461 163.806 
point 69 452 570.336 180.285 
point 70 463 453.511 123.741 
point 71 468 570.385 170.781 
point 72 469 383.843 134.997 
point 73 481 565.937  225.86 
point 74 487 45.8781 178.379 
point 75 517 7.92479  180.84 
point 76 519 329.697 77.2602 
point 77 532 466.544 182.541 
point 78 540 592.063 186.885 
point 79 573 335.426 141.365 
point 80 581 159.241  239.57 
point 81 588 332.525 232.821 
point 82 591 19.5651 129.661 
point 83 603 98.7846  165.49 
point 84 627 14.0884 143.396 
point 85 628 3.61817 210.267 
point 86 629 422.833 179.892 
point 87 639 594.423 213.225 
point 88 655 162.007 211.979 
point 89 658 117.123 210.351 
point 90 664 511.491 203.772 
point 91 667 279.828 152.508 
point 92 673  595.72 237.947 
point 93 681 358.58 209.34 
point 94 697 405.514 205.631 
point 95 704 13.6707 191.636 
point 96 709 410.549 214.233 
point 97 717  132.27 185.997 
point 98 731 535.934 227.446 
point 99 743 590.742 217.234 
point 100 771 347.688 227.502 
point 101 777 366.165 166.872 
point 102 791   576.2 187.456 
point 103 797 583.383 82.4168 
point 104 804 212.819 211.852 
point 105 815 405.317 125.006 
point 106 821 543.427 195.266 
point 107 837 265.28 158.93 
point 108 846 204.421 233.401 
point 109 867 304.627 207.791 
point 110 868 30.3578 199.459 
point 111 878 81.0765 226.985 
point 112 882  408.64 196.463 
point 113 885 443.611 158.422 
point 114 886 232.461  182.17 
point 115 903 544.838 191.339 
point 116 905 150.915 141.643 
point 117 910 149.988 179.428 
point 118 918 604.975 224.315 
point 119 927 233.322 117.558 
point 120 928 257.719 199.519 
point 121 939 265.905 212.571 
point 122 942 563.308 146.283 
point 123 963 302.141 194.465 
point 124 971 340.454 198.249 
point 125 979 110.052  55.203 
point 126 989 206.463 236.856 

