seq: 2
gt_pose: 0.401223        0        0
odom_pose:   0.406303 0.00584173  0.0260892
point 0 3 300.049  199.73 
point 1 6 559.008 178.472 
point 2 14  492.91 103.356 
point 3 15 44.5225 169.671 
point 4 17 304.113 99.8114 
point 5 35 527.961 214.016 
point 6 36 29.4024 232.459 
point 7 38 592.782 127.536 
point 8 42 300.877 169.915 
point 9 44 161.829 149.794 
point 10 45 446.428 234.418 
point 11 53 47.0055  192.89 
point 12 54  483.53 189.926 
point 13 56 568.111  197.41 
point 14 57 408.631  167.74 
point 15 59 455.894 215.605 
point 16 61 100.166 161.888 
point 17 64 282.396  191.14 
point 18 69 597.103  210.76 
point 19 84 460.326 170.158 
point 20 89 42.4574 231.175 
point 21 106 20.7452 234.027 
point 22 110 199.216  64.997 
point 23 113 121.218 182.751 
point 24 115 270.686 175.784 
point 25 119 552.443  190.88 
point 26 120 234.309 187.501 
point 27 130 26.8926 171.839 
point 28 132 100.178 137.611 
point 29 134 128.346 170.061 
point 30 140  172.09 191.716 
point 31 141 621.416 172.382 
point 32 148 92.2599 48.6663 
point 33 152 549.849 158.483 
point 34 157 16.1064 236.978 
point 35 158 68.6931   122.8 
point 36 159  95.666 106.585 
point 37 161  91.505 169.004 
point 38 169 204.04 165.21 
point 39 170 180.954 237.162 
point 40 179 287.013 194.337 
point 41 198 460.989 235.314 
point 42 202 293.397  132.64 
point 43 206  386.54 168.005 
point 44 259 402.301 205.891 
point 45 261 557.273 203.314 
point 46 280 300.478 229.424 
point 47 286 436.895 167.986 
point 48 290 349.226 188.051 
point 49 296 416.105 77.3938 
point 50 301 497.882  115.14 
point 51 313 353.788 101.938 
point 52 315   132.8 207.211 
point 53 316 381.796 181.023 
point 54 319 367.542 151.474 
point 55 325 227.986 213.506 
point 56 327  511.72 207.134 
point 57 343 129.939 226.195 
point 58 353 244.065 181.227 
point 59 367 187.856 25.3364 
point 60 396 214.847  167.14 
point 61 398 429.342 213.175 
point 62 411 1.94616 229.045 
point 63 444   601.8 170.011 
point 64 446 552.858 160.034 
point 65 448 325.238 205.682 
point 66 449 38.5677  156.09 
point 67 452 598.646 173.532 
point 68 463 473.458 106.371 
point 69 468 598.924 162.891 
point 70 469 395.966 115.058 
point 71 481   587.4 224.626 
point 72 482 550.818 216.148 
point 73 487 20.1979 172.606 
point 74 516 13.9315 213.318 
point 75 519 332.139 36.2803 
point 76 532 488.972 173.747 
point 77 533 349.558  185.91 
point 78 540 617.037  182.01 
point 79 571 452.638 167.866 
point 80 573 338.238 123.385 
point 81 581 140.664 239.521 
point 82 588 333.688 232.155 
point 83 603 68.9271 155.433 
point 84 629 434.209 173.242 
point 85 646  342.97 226.213 
point 86 655 129.067 206.137 
point 87 658 68.0356 203.177 
point 88 664 541.838 198.031 
point 89 667 270.716 132.662 
point 90 673 621.986 237.751 
point 91 681 362.465 206.253 
point 92 697 413.886 202.266 
point 93 709 420.979 211.265 
point 94 717 114.167 180.789 
point 95 731 558.572  226.13 
point 96 743 618.466 214.903 
point 97 771 350.319 226.315 
point 98 777 377.619 148.729 
point 99 791 601.612 182.244 
point 100 804 201.415 208.856 
point 101 815  419.55 105.822 
point 102 821 584.999 186.942 
point 103 837 259.799 150.809 
point 104 846 193.645 232.786 
point 105 867 302.091 202.477 
point 106 878 20.1404 223.665 
point 107 882 420.666 190.556 
point 108 885 457.146  149.49 
point 109 886 222.901 175.854 
point 110 898 277.199 234.959 
point 111 903 575.711 184.657 
point 112 905 126.715 127.567 
point 113 910 123.074 169.839 
point 114 920 206.749 212.355 
point 115 927 198.772 68.7516 
point 116 928 250.191 194.627 
point 117 935 491.745 229.875 
point 118 939 260.667 209.915 
point 119 949 605.003 235.883 
point 120 963 299.613 188.022 
point 121 971 343.478 192.077 
point 122 989 185.751 236.282 

