seq: 4
gt_pose: 0.803218        0        0
odom_pose:   0.820184  0.0112369 0.00255117
point 0 3 298.236 196.071 
point 1 6 612.494 164.703 
point 2 14 611.651 9.51973 
point 3 15  16.507 162.519 
point 4 17  300.95 71.9049 
point 5 35 550.284 211.227 
point 6 42 298.327 160.571 
point 7 44  126.74 129.782 
point 8 45 458.147   233.9 
point 9 49   217.9 171.593 
point 10 54 499.777 184.951 
point 11 56 595.934 192.634 
point 12 57 427.388 152.447 
point 13 59 470.533 212.977 
point 14 61 78.8322 154.307 
point 15 64     276 182.829 
point 16 69 627.185 207.586 
point 17 84 476.756  161.98 
point 18 113 66.8875 167.105 
point 19 115 265.797 169.419 
point 20 119 614.377 177.793 
point 21 120 226.092 182.467 
point 22 132 14.9954 97.9344 
point 23 134 106.762 162.185 
point 24 140 158.067 187.138 
point 25 152 573.431 150.119 
point 26 158 18.1385 99.2238 
point 27 161 67.6984 161.607 
point 28 169 174.652 146.256 
point 29 170 166.971 236.877 
point 30 174 438.204 197.655 
point 31 179 280.422 185.213 
point 32 198 485.814 234.489 
point 33 202 288.718 113.757 
point 34 206 392.472 161.588 
point 35 252  540.33 193.288 
point 36 259 411.624 202.027 
point 37 261 579.985 199.802 
point 38 273 575.656 168.064 
point 39 280 297.357 227.734 
point 40 286 452.726 158.233 
point 41 290 352.601 182.052 
point 42 296 442.408 32.8904 
point 43 313 359.981 76.6342 
point 44 315 102.654 201.931 
point 45 316 388.251 174.861 
point 46 319 375.988 135.746 
point 47 325 217.578 210.509 
point 48 327 539.323 202.403 
point 49 343 107.866 224.591 
point 50 353 233.642  173.16 
point 51 396 203.855 159.523 
point 52 398 458.164 206.104 
point 53 444 634.219 161.959 
point 54 446   579.7 150.816 
point 55 448 326.149 199.715 
point 56 449 6.78992 146.616 
point 57 452 634.254 165.038 
point 58 463 500.473 82.8464 
point 59 468 634.884  152.95 
point 60 469 413.815 85.7023 
point 61 481 613.022 223.153 
point 62 482 572.252 213.933 
point 63 509 485.398 211.177 
point 64 521 110.917 194.821 
point 65 532 519.574 161.749 
point 66 533 352.149 181.169 
point 67 571 464.788 161.258 
point 68 573 342.314 97.3276 
point 69 581 117.182 239.458 
point 70 588 335.093  231.35 
point 71 603 29.6652 142.209 
point 72 629 448.445 164.921 
point 73 646 345.139 224.911 
point 74 655 78.6518 197.195 
point 75 664 583.711 190.109 
point 76 667 256.222 101.095 
point 77 681  367.23 202.466 
point 78 697 424.098 198.162 
point 79 709 434.152 207.517 
point 80 717 92.1539 174.457 
point 81 731 586.574 224.502 
point 82 771 353.511 224.874 
point 83 777 396.679 118.536 
point 84 791 632.686 175.871 
point 85 804 187.263  205.14 
point 86 815  439.53 78.8935 
point 87 837 253.082 140.857 
point 88 846 180.626 232.043 
point 89 866 204.711 186.876 
point 90 867 298.544 195.046 
point 91 882 436.503 182.777 
point 92 885 474.045 138.337 
point 93 886 210.971 167.973 
point 94 892  326.44 168.579 
point 95 898 273.311 234.501 
point 96 903 616.502 175.829 
point 97 905 94.3595 108.745 
point 98 910 85.9502 156.613 
point 99 911 185.403 198.226 
point 100 920 195.997 209.731 
point 101 926 224.628  228.58 
point 102 928 240.573 188.375 
point 103 935 507.799 228.929 
point 104 939 254.293 206.683 
point 105 949 630.147  235.52 
point 106 963 296.246 179.435 
point 107 971  347.56 183.746 
point 108 989 155.725 235.451 

