seq: 5
gt_pose: 1.00422       0       0
odom_pose:    1.01217  0.0102473 -0.0182592
point 0 3  297.2 193.98 
point 1 15 0.24799 158.368 
point 2 17 298.845 53.3247 
point 3 35 563.345 209.595 
point 4 42 296.779 154.897 
point 5 44  102.63 116.032 
point 6 45  464.86 233.604 
point 7 49 213.534 168.668 
point 8 54 509.174 182.074 
point 9 56 612.325  189.82 
point 10 57 440.097 142.086 
point 11 59 479.102 211.439 
point 12 61 66.5335 149.937 
point 13 62 612.116 204.404 
point 14 64  271.91 177.514 
point 15 75 210.951 212.823 
point 16 82 192.186 176.496 
point 17 84 486.504 157.128 
point 18 113 26.8225 155.566 
point 19 115 262.971 165.738 
point 20 120 221.363  179.57 
point 21 134 94.0384 157.542 
point 22 140 150.009 184.508 
point 23 152 587.134 145.259 
point 24 161 53.8325 157.298 
point 25 169 153.561 132.653 
point 26 170 158.869 236.711 
point 27 174 443.602 195.721 
point 28 179 276.029 179.132 
point 29 198 501.821 233.957 
point 30 202 285.701 101.584 
point 31 206 395.853  157.93 
point 32 252 550.123 191.212 
point 33 259 417.126 199.747 
point 34 261 593.054 197.781 
point 35 273 586.789 164.932 
point 36 280  295.39 226.668 
point 37 286 462.367 152.294 
point 38 290 354.599 178.501 
point 39 296   461.814 0.0553155 
point 40 313 364.015 60.1527 
point 41 315 83.6224 198.597 
point 42 316 392.013 171.271 
point 43 319 381.447 125.582 
point 44 325 211.439 208.741 
point 45 327 556.336 199.486 
point 46 343 94.7874 223.641 
point 47 353 227.279 168.235 
point 48 373 462.601 237.664 
point 49 396  197.45 155.085 
point 50 398 479.139 200.959 
point 51 403 386.96 224.58 
point 52 446 595.583 145.362 
point 53 448 326.734 195.879 
point 54 463 517.892 67.6781 
point 55 469 426.303 65.1629 
point 56 481 627.766 222.305 
point 57 482 584.534 212.664 
point 58 498 575.926 212.213 
point 59 509 492.84 209.88 
point 60 521 101.588 192.805 
point 61 532 539.445 153.957 
point 62 533 353.622 178.473 
point 63 571 471.737 157.478 
point 64 573  345.12 79.3827 
point 65 581 102.974  239.42 
point 66 588 335.909 230.882 
point 67 603 5.03885 133.914 
point 68 629 456.982 159.931 
point 69 646 346.384 224.164 
point 70 655 41.9412 190.685 
point 71 664 611.193  184.91 
point 72 667 245.226 77.1473 
point 73 681 370.037 200.235 
point 74 697 430.084 195.755 
point 75 709 442.117  205.25 
point 76 717 79.2818 170.754 
point 77 723 7.75914  237.37 
point 78 731 603.193 223.536 
point 79 771 355.372 224.034 
point 80 777 411.876 94.4637 
point 81 804 178.841 202.928 
point 82 815 452.862 60.9238 
point 83 837 249.128     135 
point 84 846 173.055 231.611 
point 85 866 199.826 184.625 
point 86 867 296.186 190.105 
point 87 872 43.1154 165.744 
point 88 882  446.45 177.892 
point 89 885 484.159 131.662 
point 90 886 203.834 163.258 
point 91 892 326.727 165.402 
point 92 898 271.089  234.24 
point 93 905 73.7482 96.7558 
point 94 910 61.5937 147.935 
point 95 911 179.579 196.418 
point 96 920 189.818 208.222 
point 97 926 220.579 228.095 
point 98 928 234.697 184.556 
point 99 935 517.008 228.386 
point 100 939 250.564 204.792 
point 101 963 294.107 173.982 
point 102 971 350.184  178.39 
point 103 989 135.041 234.878 

