seq: 6
gt_pose: 1.20422       0       0
odom_pose:    1.19928 0.00582261 -0.0295553
point 0 3 296.067 191.692 
point 1 17  296.23 30.2547 
point 2 35   577.9 207.776 
point 3 42 295.003 148.386 
point 4 44   71.82 98.4607 
point 5 45 472.221 233.279 
point 6 49 208.803 165.498 
point 7 54 519.553 178.896 
point 8 56  630.69 186.667 
point 9 57 456.127 129.016 
point 10 59 488.656 209.724 
point 11 61 52.9836 145.123 
point 12 62 624.312 202.918 
point 13 64 267.008 171.145 
point 14 71 117.376 170.079 
point 15 75 206.377 211.683 
point 16 82 186.701 173.771 
point 17 84 497.487 151.662 
point 18 115  259.85 161.674 
point 19 120 216.159 176.382 
point 20 134 79.7749 152.337 
point 21 135 35.8504 205.422 
point 22 140 141.153 181.617 
point 23 152 602.325 139.872 
point 24 161 38.4345 152.514 
point 25 169 125.473 114.538 
point 26 170 149.908 236.528 
point 27 174 449.486 193.613 
point 28 179  270.57 171.575 
point 29 198 521.142 233.315 
point 30 202 282.061 86.8936 
point 31 204 611.563 225.688 
point 32 206 399.545 153.935 
point 33 252 560.772 188.954 
point 34 259 423.297 197.189 
point 35 261 607.432 195.558 
point 36 273 598.874 161.531 
point 37 276 241.073  239.68 
point 38 280 293.062 225.407 
point 39 286 473.458 145.461 
point 40 290 356.846 174.507 
point 41 313 368.926 40.0829 
point 42 315 61.0595 194.645 
point 43 316 396.191 167.283 
point 44 319 388.048  113.29 
point 45 325 204.552 206.759 
point 46 327 576.105 196.097 
point 47 343 80.0682 222.572 
point 48 353 219.942 162.557 
point 49 373 468.787 237.563 
point 50 396 190.334 150.155 
point 51 398 507.456 194.012 
point 52 403 389.778 223.931 
point 53 446 613.442 139.229 
point 54 448 327.439 191.261 
point 55 463 538.918 49.3692 
point 56 469 442.534 38.4677 
point 57 482 598.003 211.272 
point 58 498 586.774 211.035 
point 59 509 500.941 208.468 
point 60 521 91.4397 190.612 
point 61 532 563.579 144.494 
point 62 533 355.229 175.533 
point 63 571 479.348 153.339 
point 64 573 348.714 56.4042 
point 65 581  86.711 239.376 
point 66 588 336.813 230.363 
point 67 629 466.684  154.26 
point 68 646 347.753 223.342 
point 69 667 229.742 43.4242 
point 70 681 373.183 197.735 
point 71 697 436.766  193.07 
point 72 709 451.229 202.657 
point 73 717 64.9432 166.629 
point 74 731 621.924 222.447 
point 75 768 365.957 205.351 
point 76 771 357.442   223.1 
point 77 777 434.445 58.7121 
point 78 804 169.327 200.429 
point 79 815 469.449 38.5667 
point 80 837 244.701 128.441 
point 81 846 164.659 231.131 
point 82 866 194.535 182.187 
point 83 867 293.262 183.979 
point 84 872 31.1159 162.526 
point 85 882 458.191 172.125 
point 86 885 495.634  124.09 
point 87 886 195.741 157.911 
point 88 892 327.038 161.948 
point 89 898 268.657 233.953 
point 90 905 49.1268 82.4336 
point 91 910 31.7436   137.3 
point 92 911  173.26 194.457 
point 93 920 183.026 206.564 
point 94 926 216.195  227.57 
point 95 928 227.917  180.15 
point 96 935 527.113  227.79 
point 97 939 246.407 202.684 
point 98 963 291.559 167.485 
point 99 971 353.342 171.943 
point 100 989 108.547 234.144 

