seq: 7
gt_pose: 1.40423       0       0
odom_pose:      1.40395 -5.74928e-05   -0.0310823
point 0 3 294.815 189.165 
point 1 17  292.878 0.678595 
point 2 35 594.307 205.726 
point 3 42 292.932 140.795 
point 4 44 30.8335 75.0858 
point 5 45 480.371 232.919 
point 6 49 203.631 162.033 
point 7 54 531.137 175.348 
point 8 57 477.096 111.921 
point 9 59 499.431 207.789 
point 10 61 37.9032 139.764 
point 11 62 637.571 201.302 
point 12 64 260.994 163.331 
point 13 71 108.671 167.076 
point 14 75 201.402 210.443 
point 15 82 180.723 170.801 
point 16 84 510.021 145.424 
point 17 115 256.367 157.139 
point 18 120 210.376 172.839 
point 19 134 63.5894 146.431 
point 20 135 23.7576 203.951 
point 21 136 27.9378 183.363 
point 22 140 131.323 178.408 
point 23 152 619.347 133.835 
point 24 161 21.1455 147.142 
point 25 169 85.9809 89.0667 
point 26 170 139.891 236.324 
point 27 174 455.958 191.294 
point 28 179 263.563 161.875 
point 29 198 545.059  232.52 
point 30 202 277.557 68.7148 
point 31 204 624.093 225.073 
point 32 206 403.616  149.53 
point 33 252 572.454 186.477 
point 34 259 430.307 194.284 
point 35 261 623.408 193.088 
point 36 273 612.105 157.808 
point 37 276 237.661 239.667 
point 38 280 290.247 223.882 
point 39 286 486.424 137.474 
point 40 290 359.405 169.958 
point 41 313 375.072 14.9711 
point 42 315 33.7346 189.859 
point 43 316 400.884 162.804 
point 44 319 396.239  98.038 
point 45 325 196.733 204.507 
point 46 327 599.482  192.09 
point 47 340 242.204 172.424 
point 48 343 63.2905 221.353 
point 49 353 211.345 155.903 
point 50 373 475.534 237.453 
point 51 396 182.341 144.616 
point 52 398 548.031 184.057 
point 53 403 392.844 223.225 
point 54 446 633.776 132.246 
point 55 448 328.309 185.563 
point 56 456 268.089 191.957 
point 57 463 564.943 26.7072 
point 58 469 464.615 2.15165 
point 59 482 612.918 209.731 
point 60 498 598.582 209.753 
point 61 500 630.078 208.146 
point 62 509 509.838 206.918 
point 63 521 80.3027 188.206 
point 64 532 593.677 132.693 
point 65 533 356.997 172.298 
point 66 571 487.763 148.763 
point 67 573 353.508 25.7531 
point 68 581 67.8135 239.326 
point 69 588 337.827 229.782 
point 70 629 477.865 147.724 
point 71 646 349.271 222.431 
point 72 668 206.564 181.162 
point 73 681 376.751 194.899 
point 74 697 444.312 190.037 
point 75 709 461.811 199.646 
point 76 717 48.7883 161.982 
point 77 768 367.912 203.877 
point 78 771 359.769 222.049 
point 79 804 158.438  197.57 
point 80 815 490.769 9.83067 
point 81 817 209.864 204.086 
point 82 837 239.685 121.009 
point 83 846 155.245 230.594 
point 84 866 188.758 179.525 
point 85 867  289.52 176.137 
point 86 872 18.0292 159.016 
point 87 882 472.334 165.178 
point 88 885 508.834 115.378 
point 89 886 186.436 151.764 
point 90 892  327.38 158.158 
point 91 898 265.972 233.637 
point 92 905 19.0349 64.9292 
point 93 911 166.345 192.311 
point 94 920 175.486 204.724 
point 95 926 211.405 226.996 
point 96 928 219.967 174.982 
point 97 935 538.311  227.13 
point 98 939 241.721 200.308 
point 99 963 288.454  159.57 
point 100 971 357.239 163.988 
point 101 989  73.195 233.165 

