seq: 8
gt_pose: 1.60424       0       0
odom_pose:     1.59877 -0.00626311  -0.0307752
point 0 0 396.052  199.23 
point 1 3 293.424 186.359 
point 2 35 612.943 203.398 
point 3 42 290.486 131.833 
point 4 45 489.442 232.519 
point 5 49 197.955 158.229 
point 6 54  544.15 171.364 
point 7 57   505.7 88.5993 
point 8 59 511.677 205.591 
point 9 61 21.0174 133.765 
point 10 64 253.439 153.515 
point 11 71 99.1852 163.802 
point 12 75 195.972  209.09 
point 13 82 174.184 167.552 
point 14 84  524.46 138.237 
point 15 115 252.457 152.047 
point 16 120 203.911 168.878 
point 17 134 45.0653 139.671 
point 18 135 10.5898 202.348 
point 19 136 15.4264 180.936 
point 20 140 120.351 174.826 
point 21 152 638.554 127.023 
point 22 161 1.59444 141.067 
point 23 169 26.3681 50.6188 
point 24 170  128.62 236.094 
point 25 174 463.112 188.732 
point 26 179 254.241  148.97 
point 27 194 486.146 169.545 
point 28 198 575.432 231.511 
point 29 202 271.838 45.6375 
point 30 204  637.75 224.403 
point 31 206 408.125 144.651 
point 32 217 409.114 172.218 
point 33 224 452.723 199.124 
point 34 252 585.327 183.748 
point 35 259 438.337 190.955 
point 36 273 626.654 153.715 
point 37 276 233.941 239.652 
point 38 280 286.776 222.001 
point 39 286 501.783 128.012 
point 40 290 362.346 164.731 
point 41 316 406.194 157.737 
point 42 319 406.671 78.6124 
point 43 325 187.778 201.929 
point 44 327 627.556 187.277 
point 45 340 238.947 169.595 
point 46 343   43.99 219.951 
point 47 353 201.132 147.998 
point 48 357 122.559 235.799 
point 49 373 482.921 237.332 
point 50 379 60.0443 175.472 
point 51 396 173.298  138.35 
point 52 398 611.026 168.603 
point 53 403 396.192 222.454 
point 54 448 329.409 178.356 
point 55 456 265.852 189.887 
point 56 482 629.524 208.015 
point 57 498 611.484 208.353 
point 58 509 519.656 205.207 
point 59 518 441.552 186.887 
point 60 521 68.0248 185.553 
point 61 532 632.262 117.564 
point 62 533 358.951 168.721 
point 63 549 75.2316 236.096 
point 64 571 497.116 143.676 
point 65 581 45.5846 239.266 
point 66 588 338.971 229.127 
point 67 629 490.891  140.11 
point 68 630 186.141 222.615 
point 69 646 350.965 221.415 
point 70 668 201.639 178.608 
point 71 681 380.832 191.656 
point 72 697 452.901 186.585 
point 73 709 474.248 196.107 
point 74 717 30.4486 156.707 
point 75 768 370.042 202.271 
point 76 771 362.404  220.86 
point 77 778 275.387 226.588 
point 78 804 145.853 194.265 
point 79 809 251.246 186.923 
point 80 817 205.094 202.531 
point 81 831 27.3317 235.853 
point 82 837 233.952 112.515 
point 83 846 144.616 229.987 
point 84 860  463.88 236.526 
point 85 866 182.423 176.606 
point 86 867 284.559 165.743 
point 87 872 3.70055 155.174 
point 88 882 489.704 156.647 
point 89 885 524.178 105.252 
point 90 886 175.624 144.621 
point 91 892 327.757 153.981 
point 92 898 262.989 233.286 
point 93 904 537.329 194.552 
point 94 911 158.747 189.953 
point 95 920 167.067 202.669 
point 96 926 206.152 226.367 
point 97 928 210.515 168.839 
point 98 935 550.789 226.394 
point 99 939 236.397 197.609 
point 100 951 188.079 216.149 
point 101 963 284.589 149.715 
point 102 971 362.168 153.928 
point 103 989  23.649 231.793 

