seq: 9
gt_pose: 1.80425       0       0
odom_pose:    1.78719 -0.0122228 -0.0236181
point 0 0 399.221 197.531 
point 1 3 291.871 183.224 
point 2 35 634.296 200.729 
point 3 42 287.555  121.09 
point 4 45  499.6 232.07 
point 5 49 191.696 154.036 
point 6 54 558.871 166.856 
point 7 57 547.041 54.8943 
point 8 59 525.716 203.071 
point 9 61 1.98147 127.001 
point 10 64 243.667 140.817 
point 11 71 88.8072 160.221 
point 12 75  190.02 207.606 
point 13 82 167.002 163.984 
point 14 84 541.274 129.869 
point 15 91 515.251 227.775 
point 16 115 248.034 146.287 
point 17 120 196.635  164.42 
point 18 134 23.6563 131.858 
point 19 136 1.79503 178.293 
point 20 140 108.023 170.802 
point 21 170 115.845 235.833 
point 22 174  471.06 185.885 
point 23 179 241.23 130.96 
point 24 194 493.213 166.548 
point 25 196   491.1 196.698 
point 26 198  615.28 230.186 
point 27 202 264.339 15.3736 
point 28 206 413.149 139.216 
point 29 217  412.87 169.361 
point 30 224  458.48 197.351 
point 31 244 197.083 202.452 
point 32 252 599.584 180.726 
point 33 259 447.628 187.105 
point 34 276 229.869 239.635 
point 35 280 282.387 219.624 
point 36 286 520.265 116.625 
point 37 290 365.762  158.66 
point 38 316 412.249 151.958 
point 39 319 420.411 53.0276 
point 40 325 177.419 198.946 
point 41 340 235.405 166.519 
point 42 343 21.5513 218.322 
point 43 353 188.799 138.452 
point 44 357 114.157 235.621 
point 45 373 491.046 237.199 
point 46 379 49.116 172.76 
point 47 390 197.762 233.495 
point 48 396 162.983 131.203 
point 49 403 399.862 221.609 
point 50 448 330.845  168.95 
point 51 456 263.413  187.63 
point 52 498 625.639 206.816 
point 53 509 530.544 203.309 
point 54 512  271.79 175.651 
point 55 518 446.641 184.663 
point 56 521 54.4212 182.613 
point 57 533 361.124 164.746 
point 58 548  585.34 186.207 
point 59 549 64.7557 235.929 
point 60 571 507.574 137.989 
point 61 581 19.0582 239.195 
point 62 586 84.3858 202.099 
point 63 588 340.272 228.381 
point 64 629  506.26 131.127 
point 65 630  180.46 221.877 
point 66 646 352.866 220.273 
point 67 668 196.267 175.821 
point 68 681 385.545 187.911 
point 69 697 462.764 182.621 
point 70 709 489.077 191.887 
point 71 717 9.44859 150.666 
point 72 764 526.897 207.484 
point 73 768  372.37 200.516 
point 74 771 365.414 219.501 
point 75 778 273.507 226.022 
point 76 803 156.006 194.698 
point 77 804 131.142 190.401 
point 78 809 248.273 184.628 
point 79 817 199.893 200.835 
point 80 831 14.8942 235.676 
point 81 837 227.337 102.715 
point 82 846 132.522 229.296 
point 83 860 469.883 236.381 
point 84 866 175.445 173.391 
point 85 867 277.669 151.308 
point 86 882 511.543  145.92 
point 87 885 542.238 93.3333 
point 88 886 162.907 136.221 
point 89 892 328.174 149.355 
point 90 898 259.659 232.893 
point 91 904 546.418 192.651 
point 92 911 150.358 187.349 
point 93 920 157.607  200.36 
point 94 926 200.365 225.674 
point 95 928 199.089 161.413 
point 96 935  564.78 225.569 
point 97 939 230.297 194.516 
point 98 951 182.428 215.128 
point 99 963 279.644 137.108 
point 100 971   368.6 140.799 
point 101 994 430.025 178.077 

