seq: 12
gt_pose: 2.40623       0       0
odom_pose:     2.4091 -0.0258724 -0.0194001
point 0 0 410.582  191.44 
point 1 3 285.869 171.108 
point 2 42 273.723 70.3945 
point 3 45 539.145 230.324 
point 4 49  168.28 138.347 
point 5 50 225.786 206.554 
point 6 54 617.724 148.835 
point 7 59 583.891 192.628 
point 8 64 183.227 62.2851 
point 9 71 50.7162 147.077 
point 10 75 168.079 202.138 
point 11 79  172.52 193.897 
point 12 82 140.369 150.752 
point 13 84 614.053 93.6455 
point 14 87 284.242 233.947 
point 15 91 542.738 226.054 
point 16 99 452.278 165.418 
point 17 115 230.369 123.285 
point 18 120 167.952 146.848 
point 19 140  59.636 155.006 
point 20 170 64.5167 234.785 
point 21 174 501.377 175.024 
point 22 185 341.582 166.167 
point 23 194  518.64 155.766 
point 24 196  514.79 190.703 
point 25 206 432.441 118.343 
point 26 207 475.213 236.817 
point 27 217 426.365 159.097 
point 28 224 479.273 190.947 
point 29 232 97.1139 238.147 
point 30 237 472.566 200.264 
point 31 244 179.714 197.146 
point 32 257 602.229 232.946 
point 33 259 487.119 170.738 
point 34 276 214.902 239.575 
point 35 280 257.561 206.175 
point 36 286 608.57 62.225 
point 37 290 380.431 132.586 
point 38 316 436.985 128.351 
point 39 325 133.426 186.279 
point 40 340 222.595 155.391 
point 41 347 526.466 203.798 
point 42 353 129.226 92.3436 
point 43 357  83.918 234.977 
point 44 373 521.251 236.704 
point 45 379 9.87709 163.019 
point 46 390 180.692 232.587 
point 47 394   530.7 187.795 
point 48 396 120.836 101.999 
point 49 401 215.322 218.311 
point 50 403 413.404 218.491 
point 51 418 291.611 230.976 
point 52 442 409.484 234.961 
point 53 445 103.607 181.057 
point 54 447  132.51 188.615 
point 55 448 340.054 108.613 
point 56 456  254.54 179.418 
point 57 509 571.889 196.104 
point 58 512 264.935 166.502 
point 59 518 464.903 176.683 
point 60 521 2.89444 171.479 
point 61 533 369.421 149.563 
point 62 548 622.568 178.659 
point 63 549 27.0148 235.327 
point 64 564 260.649 208.885 
point 65 571  548.11 115.943 
point 66 579 53.6021 196.472 
point 67 582 347.624  195.63 
point 68 586 50.7863 196.695 
point 69 588 345.542  225.36 
point 70 605 218.677 219.674 
point 71 629 575.388 90.7201 
point 72 630  160.03 219.223 
point 73 632 320.827 237.824 
point 74 646  360.32 215.799 
point 75 668 176.688 165.666 
point 76 681 405.478  172.07 
point 77 692 584.21 183.31 
point 78 697 503.826 166.118 
point 79 709 557.919 172.297 
point 80 764 555.325 203.017 
point 81 768 380.895 194.089 
point 82 771 377.749 213.933 
point 83 778 266.755 223.993 
point 84 803 133.372 188.446 
point 85 804 66.7516 173.491 
point 86 809  237.54 176.342 
point 87 811 489.847 215.082 
point 88 817 180.949 194.657 
point 89 823 185.908 178.454 
point 90 837 199.447 61.3945 
point 91 846 83.4186 226.493 
point 92 860 491.406 235.861 
point 93 866 149.404 161.391 
point 94 867 217.976 26.2366 
point 95 882  632.64 86.4411 
point 96 885 622.862 40.1247 
point 97 886 106.241  98.785 
point 98 892 329.753 131.848 
point 99 898 246.785 231.377 
point 100 904 579.024 185.833 
point 101 911 118.866 177.575 
point 102 920 120.458 191.291 
point 103 926 178.757 223.087 
point 104 928 143.725 125.428 
point 105 935 619.409 222.349 
point 106 939 205.052 181.715 
point 107 951 162.068 211.446 
point 108 963 250.389 62.5166 
point 109 971 409.851 56.5976 
point 110 994 445.182 169.547 

