seq: 13
gt_pose:      2.60722 -0.000227224  -0.00651314
odom_pose:     2.6066 -0.0312996 -0.0374593
point 0 0 413.574 189.172 
point 1 3 281.922 165.723 
point 2 42 264.534 41.8536 
point 3 45 553.256 229.645 
point 4 49 156.216 131.112 
point 5 50 219.994 204.937 
point 6 54 639.366 141.814 
point 7 59 607.063 188.233 
point 8 71 30.8065 140.641 
point 9 75   156.8 199.641 
point 10 79 163.464 191.454 
point 11 82 126.694 144.584 
point 12 87 281.325 233.663 
point 13 91 550.534 225.488 
point 14 99 456.284 162.466 
point 15 115 220.722 112.412 
point 16 120 152.871   138.4 
point 17 140 33.9528 147.044 
point 18 170 36.9503 234.249 
point 19 174 511.784 170.842 
point 20 177 392.557 200.836 
point 21 185 341.349 162.733 
point 22 194 526.077 152.087 
point 23 196 521.503 188.692 
point 24 206 438.999 109.871 
point 25 207 479.957 236.695 
point 26 217   430.1 155.313 
point 27 224 485.431 188.668 
point 28 232 83.8693 238.047 
point 29 237 477.467 198.666 
point 30 244 170.732 194.782 
point 31 257 610.846   232.7 
point 32 259 503.804 163.274 
point 33 276 207.024 239.548 
point 34 280 238.115 196.487 
point 35 290 386.176 120.002 
point 36 316 446.592 117.937 
point 37 325 109.081 179.654 
point 38 340 215.775 150.552 
point 39 347 532.916 202.452 
point 40 348 347.361 212.995 
point 41 353 91.8621 64.5272 
point 42 357 68.2368  234.67 
point 43 373  530.97 236.524 
point 44 390 171.856 232.183 
point 45 394 537.429 185.823 
point 46 396 98.1652 87.2008 
point 47 401 208.659 217.187 
point 48 403 417.405 217.281 
point 49 418  289.07 230.561 
point 50 442 412.159  234.74 
point 51 445  91.114 177.991 
point 52 447 121.713 185.994 
point 53 448  346.25 56.7965 
point 54 456   249.5 175.909 
point 55 509 585.703 193.477 
point 56 512 260.827 162.676 
point 57 518 470.164 173.844 
point 58 533  371.62 143.214 
point 59 548 632.608 176.374 
point 60 549 7.06589 235.029 
point 61 564 256.756  207.49 
point 62 571 562.414 107.472 
point 63 579   36.77 193.925 
point 64 582 347.542 193.785 
point 65 586 33.1524 194.059 
point 66 588 346.641 223.985 
point 67 605 212.277 218.639 
point 68 619 338.973 190.641 
point 69 629 607.116 71.3804 
point 70 630 149.528 218.021 
point 71 632  319.63 237.726 
point 72 646 362.272 213.858 
point 73 668 166.605 161.086 
point 74 681 413.489  164.65 
point 75 692 591.997 181.376 
point 76 697  520.56 158.864 
point 77 709 591.262 162.417 
point 78 712 32.9863 237.536 
point 79 733 571.771 176.312 
point 80 764 563.231  201.58 
point 81 768 382.997 191.562 
point 82 771 382.057 211.399 
point 83 778 262.684 223.142 
point 84 803 121.714 185.569 
point 85 804 29.8712 164.161 
point 86 809 231.682 172.782 
point 87 811 494.833 214.171 
point 88 817 171.18 191.88 
point 89 823 177.858 175.327 
point 90 837 183.994 40.4685 
point 91 846 56.9762 225.058 
point 92 860 497.639 235.681 
point 93 866 136.017 155.805 
point 94 886 73.4419 78.0205 
point 95 892 329.155 124.435 
point 96 898 239.662 230.689 
point 97 904 588.224 183.651 
point 98 911 102.626 172.928 
point 99 920 100.958 186.847 
point 100 926 167.604 221.903 
point 101 928 108.903 103.722 
point 102 935 638.505 221.148 
point 103 939 191.225 175.373 
point 104 951 151.602  209.78 
point 105 963 226.238 5.05319 
point 106 994 449.364 166.497 

