seq: 14
gt_pose:     2.80813 -0.00545601  -0.0492359
odom_pose:    2.82054 -0.0447542  -0.090531
point 0 0 408.172 187.662 
point 1 3  269.63 158.662 
point 2 45 550.685 229.387 
point 3 49 128.307 118.326 
point 4 50 204.202 202.321 
point 5 54 635.427 140.442 
point 6 59 609.177 186.298 
point 7 75 130.111 195.169 
point 8 79 140.412 186.919 
point 9 82 94.3867 132.918 
point 10 83 0.993839  180.803 
point 11 87 270.768 233.288 
point 12 91 541.393 225.558 
point 13 99 450.026 161.434 
point 14 115 199.007 95.9781 
point 15 120 119.983 123.848 
point 16 174 508.727  168.94 
point 17 177 386.254 199.872 
point 18 185 334.086 159.247 
point 19 194  518.66 151.805 
point 20 196 513.705 188.628 
point 21 206  436.38 103.499 
point 22 207 473.083 236.671 
point 23 217  424.82 153.088 
point 24 222 115.626 235.148 
point 25 224  479.67 187.931 
point 26 225 631.343 196.462 
point 27 232 48.4583 237.824 
point 28 237 470.908 198.271 
point 29 244 148.209 190.519 
point 30 257 596.475 232.862 
point 31 259 509.134 157.338 
point 32 276 187.772 239.505 
point 33 280 189.998 177.482 
point 34 290 384.808 105.947 
point 35 314  634.01 187.264 
point 36 316 447.202 108.918 
point 37 325 57.3949 167.578 
point 38 340 198.373 142.866 
point 39 341  241.11 220.827 
point 40 347 523.928 202.626 
point 41 348 340.231  211.99 
point 42 353 11.0589 10.5306 
point 43 357 27.6414 233.993 
point 44 372 393.341 224.773 
point 45 373  525.56 236.478 
point 46 390 149.606 231.455 
point 47 394 528.346 186.091 
point 48 396    48.9 59.6341 
point 49 401 191.227 215.333 
point 50 403 412.918 216.393 
point 51 418 279.078 230.031 
point 52 442 406.484 234.599 
point 53 445 57.4945 171.178 
point 54 447  93.229 180.534 
point 55 456 235.511 170.858 
point 56 509 579.452 193.131 
point 57 512 248.369 157.308 
point 58 518  464.42 172.794 
point 59 533  366.46 136.949 
point 60 548 617.144 177.905 
point 61 564 244.565  205.47 
point 62 571 559.146 104.696 
point 63 582 340.437  192.01 
point 64 588  340.43 222.408 
point 65 605 195.354 216.942 
point 66 619 331.557 188.732 
point 67 629 620.575 58.1338 
point 68 630 123.523 215.765 
point 69 632 311.394 237.617 
point 70 646 356.949 211.807 
point 71 668 142.256 152.953 
point 72 681 413.911 157.069 
point 73 692  578.83 182.505 
point 74 697 524.348 153.792 
point 75 709 609.547 154.516 
point 76 733 559.482 177.418 
point 77 737 308.715 211.076 
point 78 754 374.875 195.966 
point 79 759 10.3661 172.084 
point 80 764 553.032 201.928 
point 81 768 377.547 189.368 
point 82 771  379.03 208.716 
point 83 778 250.298 221.959 
point 84 803 92.0047 179.746 
point 85 809 216.138  167.36 
point 86 811 487.237 214.109 
point 87 817 147.542 186.996 
point 88 823 157.049 169.677 
point 89 837 151.524 6.48906 
point 90 839 397.065 218.817 
point 91 860 491.127 235.643 
point 92 866 104.812 145.503 
point 93 886 2.80762 38.1204 
point 94 892 321.308 116.046 
point 95 898 222.311  229.69 
point 96 904 576.861 184.357 
point 97 911 64.4639 163.858 
point 98 920 57.3914  178.46 
point 99 926  141.71 219.855 
point 100 928 34.1958 62.3333 
point 101 935 631.801 221.054 
point 102 939 161.826 165.225 
point 103 951 125.785 206.674 
point 104 994 443.646 165.133 

