seq: 15
gt_pose:    3.00858 -0.0201044 -0.0968987
odom_pose:    3.02268 -0.0664734  -0.126053
point 0 0 401.683 186.074 
point 1 3 254.271  149.76 
point 2 20 162.522 217.149 
point 3 45 546.206 229.162 
point 4 49 91.0507 100.966 
point 5 50 184.744 199.048 
point 6 54 628.442 139.686 
point 7 59 608.985  184.54 
point 8 75 94.8599 189.161 
point 9 79 110.798  180.99 
point 10 82  50.574 116.827 
point 11 87 258.176  232.84 
point 12 91 530.517 225.684 
point 13 96 92.4442 208.083 
point 14 99 442.569 160.489 
point 15 115 169.984 73.6225 
point 16 120 74.1081 103.199 
point 17 162 289.725 188.275 
point 18 174 504.142 167.154 
point 19 177 378.895 198.848 
point 20 185 325.545 155.274 
point 21 194 509.624 151.814 
point 22 196 504.351 188.727 
point 23 206 432.754 96.6204 
point 24 207 464.909 236.653 
point 25 217 418.419 150.809 
point 26 222 83.9033 234.619 
point 27 224 472.539 187.292 
point 28 232 0.499739  237.518 
point 29 237  463.05 197.952 
point 30 244 119.301 184.953 
point 31 257 580.219 233.054 
point 32 259 514.291 150.687 
point 33 276 163.289 239.449 
point 34 280 68.3044 127.724 
point 35 290 383.008 88.0712 
point 36 316 447.286 98.6481 
point 37 340 176.578 133.093 
point 38 341  226.42 219.508 
point 39 347 513.366 202.926 
point 40 348 331.912 210.859 
point 41 372 385.967  224.43 
point 42 373 518.424 236.443 
point 43 383 92.9086 198.512 
point 44 390   121.1 230.505 
point 45 394 517.655 186.548 
point 46 401 169.492 212.984 
point 47 403 407.357 215.442 
point 48 407 239.119 224.216 
point 49 418  267.21 229.401 
point 50 426 69.1329 192.299 
point 51 442 399.727 234.452 
point 52 445 12.3309 161.863 
point 53 447 55.7807 173.224 
point 54 456 218.308 164.576 
point 55 509 570.919 193.012 
point 56 512  233.27 150.744 
point 57 518 457.395 171.837 
point 58 533 360.142 129.709 
point 59 548 599.625 179.717 
point 60 564 229.906 203.016 
point 61 571 553.847 102.413 
point 62 582 332.137 190.012 
point 63 588 332.658 220.451 
point 64 605 174.326 214.801 
point 65 619 322.907 186.568 
point 66 629 633.823 43.8844 
point 67 630 89.5289 212.764 
point 68 632 301.709 237.491 
point 69 646 350.377 209.368 
point 70 668 110.562 142.184 
point 71 681 414.151  147.82 
point 72 692 563.874 183.864 
point 73 697 527.339 148.369 
point 74 709  629.74 145.409 
point 75 730 112.283 207.029 
point 76 737 299.049 209.729 
point 77 749 232.084 213.089 
point 78 754  367.34 194.749 
point 79 764 541.056 202.427 
point 80 768 370.992 186.933 
point 81 771 375.134 205.453 
point 82 778 235.278 220.511 
point 83 803 52.6069 171.887 
point 84 809  196.89 160.553 
point 85 811 478.28 214.11 
point 86 813 81.0159 234.798 
point 87 817 116.886 180.552 
point 88 823 130.653 162.383 
point 89 839 389.742 218.347 
point 90 860 483.181 235.615 
point 91 865 62.0833 204.534 
point 92 866  62.594 131.326 
point 93 892 311.806 106.032 
point 94 898  200.02 228.386 
point 95 904 563.541  185.31 
point 96 911 11.2657 151.004 
point 97 926 107.485 217.103 
point 98 935 622.125 221.079 
point 99 939 120.228 150.594 
point 100 951 92.0522 202.544 
point 101 992 0.0812541   183.967 
point 102 994 436.746 163.813 

