seq: 16
gt_pose:    3.20811 -0.0442867  -0.144562
odom_pose:    3.21574 -0.0937795  -0.160416
point 0 0 395.253 184.249 
point 1 3 235.969 138.385 
point 2 20 138.621  215.04 
point 3 45 542.287 228.899 
point 4 49 42.0364 77.3592 
point 5 50 161.997 195.035 
point 6 54  622.18 138.664 
point 7 59 609.837 182.512 
point 8 75 49.2739 181.126 
point 9 79 74.1626 173.389 
point 10 87 244.214 232.309 
point 11 91 520.238 225.773 
point 12 96 57.2573 204.473 
point 13 99 435.322 159.327 
point 14 115 131.317 42.4584 
point 15 120 9.30713 73.1062 
point 16 162 278.925 185.511 
point 17 174 500.005 165.088 
point 18 177 371.512 197.666 
point 19 185 316.567 150.667 
point 20 194 501.032 151.611 
point 21 196 495.443 188.704 
point 22 206 429.492 88.6202 
point 23 207  457.03 236.627 
point 24 217 412.142 148.183 
point 25 222  44.749 233.945 
point 26 224   465.7 186.508 
point 27 237 455.472 197.527 
point 28 244  83.523 177.806 
point 29 252 626.747 169.254 
point 30 257 565.164  233.22 
point 31 259 521.678   142.6 
point 32 276 133.213 239.378 
point 33 290 382.175  64.164 
point 34 297 51.1907 185.602 
point 35 316 448.478 86.2105 
point 36 340 150.423 120.813 
point 37 341 209.923 217.938 
point 38 347 503.346 203.135 
point 39 348 323.274 209.558 
point 40 372 378.603 224.032 
point 41 373 511.709 236.399 
point 42 383 57.1502 193.712 
point 43 390  85.917 229.289 
point 44 391 13.6306 229.865 
point 45 394 507.522 186.872 
point 46 401 143.628 210.061 
point 47 403 401.907 214.346 
point 48 407 224.303 223.131 
point 49 418 254.162 228.657 
point 50 426 29.0427 186.482 
point 51 442  393.02 234.282 
point 52 447 8.19805 163.656 
point 53 456 198.211 156.816 
point 54 498 635.348 202.916 
point 55 509 562.967 192.778 
point 56 512 216.047 142.794 
point 57 518 450.617 170.684 
point 58 533 353.619 121.059 
point 59 548 583.475 181.291 
point 60 564 213.398 200.085 
point 61 571 549.095 99.7021 
point 62 582 323.507  187.71 
point 63 588 324.037  217.94 
point 64 605 149.432 212.148 
point 65 619 313.867 184.075 
point 66 630 46.3939 208.827 
point 67 632  291.36 237.344 
point 68 646 343.449 206.375 
point 69 668 70.4488 128.064 
point 70 681  415.82 135.947 
point 71 692 549.953 185.033 
point 72 697 531.893 141.952 
point 73 730 80.3596  203.46 
point 74 737 288.792 208.172 
point 75 749 216.519 211.164 
point 76 754 359.727 193.349 
point 77 764 529.781 202.826 
point 78 765 161.691 188.217 
point 79 768 364.332  184.11 
point 80 771 371.488 201.321 
point 81 778  218.13 218.756 
point 82 803 1.80748 161.453 
point 83 809 174.173 152.104 
point 84 811 469.689 214.051 
point 85 813 43.2731 234.183 
point 86 817 78.2749 172.138 
point 87 823 98.5602 153.169 
point 88 839 382.443 217.802 
point 89 860 475.572 235.576 
point 90 865 19.3531 199.973 
point 91 866 6.09069 111.773 
point 92 892 301.349  93.868 
point 93 898 172.109 226.668 
point 94 904 551.077 186.105 
point 95 926 63.0678 213.403 
point 96 935 613.193 221.059 
point 97 939 59.6522 128.484 
point 98 951 49.2538 197.128 
point 99 994 430.029 162.258 

