seq: 17
gt_pose:    3.40625 -0.0779589  -0.192825
odom_pose:   3.43236 -0.133871  -0.20976
point 0 0 388.724 182.167 
point 1 3 213.171 123.354 
point 2 20 109.932  212.41 
point 3 45 538.672 228.603 
point 4 50 134.528 189.986 
point 5 54 616.219 137.466 
point 6 59 611.451 180.232 
point 7 79  26.757 163.252 
point 8 87 228.332 231.668 
point 9 91 510.258 225.837 
point 10 96 12.9523 199.793 
point 11 99 428.106 157.963 
point 12 162 267.145 182.281 
point 13 174 496.109 162.753 
point 14 177 363.943 196.315 
point 15 185 306.911 145.285 
point 16 194  492.63 151.246 
point 17 196 486.731 188.587 
point 18 204 632.132 223.019 
point 19 206 426.486 79.3115 
point 20 207 449.245 236.594 
point 21 217 405.827 145.189 
point 22 224 458.953 185.592 
point 23 237 447.975 197.008 
point 24 244 37.189 168.26 
point 25 252  612.59 170.406 
point 26 257 550.864 233.368 
point 27 259 531.732 132.671 
point 28 276 94.5725 239.283 
point 29 290 382.699 30.7083 
point 30 297 6.10432 178.438 
point 31 316 450.925 70.9735 
point 32 340 117.794 104.883 
point 33 341 190.909 216.035 
point 34 347 493.596 203.276 
point 35 348 314.111 208.056 
point 36 372  371.09 223.576 
point 37 373 505.167 236.347 
point 38 383 11.9098  187.46 
point 39 390 40.5147 227.669 
point 40 394  497.67 187.098 
point 41 395 88.6865 234.343 
point 42 401 111.716 206.314 
point 43 403 396.417 213.087 
point 44 407 207.501 221.833 
point 45 418  239.46 227.766 
point 46 427 267.97 177.55 
point 47 436 18.9807 232.915 
point 48 442 386.206 234.088 
point 49 456 173.916 146.979 
point 50 498 617.504 203.954 
point 51 500  627.43 204.982 
point 52 509 555.262 192.463 
point 53 512  195.81 132.962 
point 54 518 443.901 169.348 
point 55 526 90.5442 171.062 
point 56 533 346.676 110.601 
point 57 548 568.193   182.7 
point 58 564 194.305 196.518 
point 59 571 544.612   96.63 
point 60 582  314.34 185.047 
point 61 588  314.01 214.614 
point 62 605 118.909 208.766 
point 63 608 329.933 214.681 
point 64 619  304.22 181.188 
point 65 632 280.046 237.171 
point 66 646 335.883 202.632 
point 67 668 16.9688 108.671 
point 68 681 419.403 120.242 
point 69 692 536.667 186.069 
point 70 697 538.108 134.354 
point 71 730 40.6208 198.877 
point 72 737 277.672 206.357 
point 73 749 198.755 208.849 
point 74 754 351.874 191.747 
point 75 764 518.884 203.155 
point 76 765 137.491 183.403 
point 77 768 357.392 180.826 
point 78 771 368.038 195.945 
point 79 778 197.958 216.581 
point 80 809 146.394  141.32 
point 81 811 461.243 213.941 
point 82 817 27.1187 160.645 
point 83 823 57.9275 141.115 
point 84 839 375.009 217.178 
point 85 860 468.084 235.528 
point 86 874  151.43 218.348 
point 87 892 289.467 78.8202 
point 88 898 135.223 224.296 
point 89 904 539.097 186.791 
point 90 926 1.79678  208.15 
point 91 935 604.571 221.009 
point 92 948 31.4938  197.46 
point 93 994 423.324 160.471 

