seq: 18
gt_pose:   3.60246 -0.121474 -0.244511
odom_pose:  3.62734  -0.1787 -0.24864
point 0 0 381.452 179.839 
point 1 3 182.458 102.323 
point 2 20 73.0322 208.931 
point 3 45 534.094 228.308 
point 4 50 99.0039 183.263 
point 5 54 608.682 136.543 
point 6 59 612.006  177.94 
point 7 62 621.494 198.167 
point 8 87  209.16 230.867 
point 9 91 499.503 225.915 
point 10 94 324.14 197.88 
point 11 99   420.2 156.503 
point 12 162 253.524 178.406 
point 13 174 491.449 160.319 
point 14 177 355.581 194.791 
point 15 185 295.842 138.901 
point 16 194 483.436 150.935 
point 17 196 477.265 188.497 
point 18 204  610.83 223.657 
point 19 206  423.04 68.6536 
point 20 207 440.765  236.56 
point 21 217 398.805 141.891 
point 22 224 451.467 184.645 
point 23 237 439.775 196.467 
point 24 252 597.293 171.716 
point 25 257  535.97 233.521 
point 26 259 544.008 120.637 
point 27 273  620.98 143.166 
point 28 276 40.5784 239.147 
point 29 289 348.346 185.032 
point 30 300 83.7076 179.742 
point 31 316 454.178  52.312 
point 32 340 73.8979  82.851 
point 33 341 167.624 213.625 
point 34 347  483.13 203.441 
point 35 348 303.751   206.3 
point 36 372 362.819 223.065 
point 37 373 497.741 236.297 
point 38 394 487.092 187.362 
point 39 395 49.6485  233.64 
point 40 401 69.3459 201.202 
point 41 403 390.229 211.661 
point 42 407  187.29 220.216 
point 43 418 221.888 226.662 
point 44 427 254.735 173.672 
point 45 442 378.648 233.872 
point 46 456 142.484 133.844 
point 47 498 598.923 205.037 
point 48 500 605.503 206.396 
point 49 509 546.433 192.229 
point 50 512 170.489 120.246 
point 51 518  436.47 167.939 
point 52 526 51.7405 162.507 
point 53 533 338.58 97.779 
point 54 548 552.301 184.157 
point 55 556 181.192 212.449 
point 56 564 170.835 191.985 
point 57 571 539.092 93.6529 
point 58 582 303.959 181.931 
point 59 588 301.138 210.003 
point 60 590 78.7376 176.419 
point 61 605 78.6945 204.183 
point 62 608 320.452 213.637 
point 63 619 293.264 177.796 
point 64 624 302.839 221.321 
point 65 632 266.912 236.963 
point 66 646 326.809 197.833 
point 67 681  425.14 98.7774 
point 68 697  545.04 125.642 
point 69 698 371.085 223.645 
point 70 737 264.886 204.193 
point 71 749 177.235 205.948 
point 72 754 343.175 189.928 
point 73 764 507.241 203.519 
point 74 765 107.148  177.18 
point 75 768 349.518     177 
point 76 771 364.213 188.714 
point 77 778 172.683 213.764 
point 78 809 109.945 126.746 
point 79 811 452.109 213.832 
point 80 823 2.09942 124.145 
point 81 839 366.826  216.48 
point 82 860 459.848 235.479 
point 83 874 124.572 216.205 
point 84 889 245.673 231.764 
point 85 892 274.989 59.6497 
point 86 898 81.6762 220.749 
point 87 904 526.346 187.539 
point 88 935 594.504 221.011 
point 89 994  415.92 158.544 

