seq: 19
gt_pose:   3.79609  -0.17535 -0.298527
odom_pose:   3.80101 -0.228089 -0.296675
point 0 0 373.635 177.174 
point 1 3 138.667 71.0174 
point 2 20 24.3029 204.197 
point 3 45  529.11 227.993 
point 4 50  51.621 174.007 
point 5 54 600.429 135.674 
point 6 59 612.288 175.509 
point 7 62 599.485 199.838 
point 8 87 185.791 229.845 
point 9 91 488.477 225.983 
point 10 94 313.967  196.05 
point 11 99 411.891 154.848 
point 12 162  237.84 173.704 
point 13 174 486.463  157.66 
point 14 177  346.58 193.037 
point 15 185 283.267 131.212 
point 16 194 473.895 150.549 
point 17 196 467.475  188.36 
point 18 204  590.08 224.262 
point 19 206 419.474 56.1417 
point 20 207 431.925  236.52 
point 21 217 391.308 138.151 
point 22 224 443.592 183.592 
point 23 237 431.202 195.851 
point 24 252 581.783 173.018 
point 25 255 206.621 214.637 
point 26 259 560.124 105.507 
point 27 270 156.821 225.273 
point 28 273 601.385 146.221 
point 29 287 634.676 189.645 
point 30 289 339.043 183.076 
point 31 300 42.2606 171.931 
point 32 316 459.105 28.6699 
point 33 340 11.9403 50.8264 
point 34 341 138.734 210.516 
point 35 347 472.402 203.575 
point 36 348 292.194 204.221 
point 37 372 353.961 222.478 
point 38 373 489.903 236.243 
point 39 394 476.255 187.584 
point 40 401 10.7306 193.919 
point 41 403 383.55 210.01 
point 42 407 162.794 218.172 
point 43 418 200.748 225.271 
point 44 427 239.604 168.997 
point 45 442  370.54 233.625 
point 46 456 100.407 115.617 
point 47 482 630.634 202.399 
point 48 498 580.544  206.08 
point 49 500 584.285 207.724 
point 50 509 537.123 191.991 
point 51 512 138.114 103.336 
point 52 518 428.642 166.365 
point 53 526 0.487431  150.876 
point 54 533 329.273 81.6364 
point 55 548 536.513 185.547 
point 56 556 157.806 209.912 
point 57 564  141.56 186.103 
point 58 571 533.112 90.5201 
point 59 582 292.353 178.235 
point 60 588 283.913 203.185 
point 61 590 35.8075 167.963 
point 62 605  23.659 197.721 
point 63 608 310.091 212.419 
point 64 619 280.958 173.757 
point 65 621 271.907 187.179 
point 66 624 291.612 220.396 
point 67 632 251.715 236.709 
point 68 646 315.912 191.449 
point 69 681 435.122 67.5171 
point 70 697 553.615 115.324 
point 71 698 362.242 223.189 
point 72 737  250.27 201.581 
point 73 739 190.715 222.497 
point 74 740 281.101 208.318 
point 75 749 150.915 202.253 
point 76 754 333.759 187.823 
point 77 764 495.384 203.859 
point 78 765 68.4103 168.967 
point 79 768 340.799 172.456 
point 80 771 360.299 178.446 
point 81 778 140.302 210.009 
point 82 809  60.253 106.218 
point 83 811 442.649  213.69 
point 84 839 358.075  215.68 
point 85 860 451.242 235.425 
point 86 874 91.0175 213.431 
point 87 889 230.087 231.198 
point 88 892 257.112 34.4479 
point 89 904 513.432 188.254 
point 90 935 583.836 221.023 
point 91 994 408.091 156.376 
point 92 996 324.686 184.685 

