seq: 21
gt_pose:    4.1732 -0.314037  -0.40656
odom_pose:   4.15209 -0.359208 -0.434882
point 0 0 357.599 170.368 
point 1 45 521.214 227.183 
point 2 54 586.411 132.854 
point 3 59 617.393 169.278 
point 4 62 561.408 202.486 
point 5 87 120.836 226.766 
point 6 91 468.019  225.99 
point 7 94 291.907 191.388 
point 8 99  395.64 150.487 
point 9 141 615.319 159.275 
point 10 152 637.083 101.604 
point 11 162 199.431 160.921 
point 12 174 478.136 150.875 
point 13 177 327.692 188.583 
point 14 185 253.339 110.307 
point 15 194 456.026 148.922 
point 16 196 449.078 187.603 
point 17 204 553.948 225.219 
point 18 206 414.138  22.294 
point 19 207 414.923 236.405 
point 20 213  202.3 173.46 
point 21 217 376.302 128.641 
point 22 224 428.601 180.796 
point 23 237 414.695 194.135 
point 24 252 554.111 174.894 
point 25 255 163.215 209.902 
point 26 259 617.873 57.3575 
point 27 261 610.591 184.104 
point 28 270 96.1444 221.849 
point 29 273  567.05 151.009 
point 30 289  319.49 178.116 
point 31 336 607.722 232.678 
point 32 341 55.7136 200.962 
point 33 347 452.349 203.509 
point 34 348 265.776 198.759 
point 35 372 335.584 220.988 
point 36 373 475.521 236.092 
point 37 394 456.037 187.548 
point 38 403 370.085 205.694 
point 39 407 96.0308 212.173 
point 40 417 370.36 202.68 
point 41 418 143.681 221.175 
point 42 427 203.156 156.474 
point 43 442 353.888 232.996 
point 44 481  622.61 218.701 
point 45 482 596.654 204.057 
point 46 498 548.133 207.706 
point 47 509 520.334 191.043 
point 48 512 37.4076 47.1083 
point 49 518 413.554 162.255 
point 50 533 306.682 32.5997 
point 51 550 215.71 211.54 
point 52 556 96.1491 202.716 
point 53 564 56.2004 167.751 
point 54 571 523.083 82.2801 
point 55 582 265.714 168.482 
point 56 588 216.824 171.247 
point 57 608  287.45 209.309 
point 58 612 300.101 188.037 
point 59 619 252.399 163.074 
point 60 621  243.91 180.203 
point 61 624 266.606  218.02 
point 62 632 214.032 236.005 
point 63 646 285.899  169.39 
point 64 697 582.908  86.016 
point 65 698 344.159 222.025 
point 66 737  215.02 194.541 
point 67 739 142.359 218.982 
point 68 740 254.719 204.386 
point 69 749 77.7577 191.231 
point 70 754 313.691 182.468 
point 71 764 473.506 204.198 
point 72 768 321.515 160.211 
point 73 771 355.096 135.593 
point 74 778 38.9499 197.438 
point 75 789 344.863 195.668 
point 76 811 424.617 213.155 
point 77 839 339.994 213.648 
point 78 860 434.907 235.267 
point 79 889 192.554 229.688 
point 80 904 489.833 189.172 
point 81 935 564.905 220.866 
point 82 949 603.012 234.964 
point 83 994 392.713 150.813 
point 84 996 303.905  179.61 

