seq: 22
gt_pose:   4.35559 -0.398444 -0.460577
odom_pose:   4.34116 -0.453249 -0.492824
point 0 0 349.219 166.009 
point 1 45  518.39 226.669 
point 2 54 580.617 130.853 
point 3 59 622.717 165.292 
point 4 62 544.737 203.524 
point 5 87 72.1264 224.308 
point 6 91 458.458 225.929 
point 7 94 279.675 188.412 
point 8 99  387.61 147.695 
point 9 112 232.194 235.937 
point 10 141 594.603 162.201 
point 11 152 622.116 103.593 
point 12 162 174.901 152.017 
point 13 174 474.876 146.573 
point 14 177 317.583 185.756 
point 15 185 234.731 95.7453 
point 16 194 447.605 147.656 
point 17 196 440.372 186.971 
point 18 204 538.035 225.593 
point 19 207 406.674 236.327 
point 20 213 181.465 167.674 
point 21 217 368.685 122.604 
point 22 224 421.422 178.998 
point 23 237  406.68 193.005 
point 24 252 541.684 175.499 
point 25 255 135.381 206.629 
point 26 261 594.883  185.15 
point 27 270 54.353 219.35 
point 28 273 551.862 152.836 
point 29 279 248.857 182.919 
point 30 289  309.02 174.981 
point 31 336 586.612 232.962 
point 32 347 442.899 203.309 
point 33 348 250.172  195.12 
point 34 372 325.879 220.046 
point 35 373 468.934 235.992 
point 36 394  446.53 187.289 
point 37 403 363.179 202.839 
point 38 407 47.5095 207.556 
point 39 417 361.494 201.644 
point 40 418  102.46 218.007 
point 41 421 385.178 212.843 
point 42 427 180.362 147.917 
point 43 442 345.181 232.596 
point 44 481 604.014 219.295 
point 45 482 581.662 204.673 
point 46 498 533.702 208.321 
point 47 509 512.782 190.319 
point 48 518 406.225 159.637 
point 49 540 630.393 165.032 
point 50 550 196.687 209.231 
point 51 556 53.3245  197.42 
point 52 571 519.074 77.0027 
point 53 582  249.89 161.948 
point 54 588 114.995 117.112 
point 55 608 274.779 207.312 
point 56 612 288.627 185.281 
point 57 619 235.236  155.89 
point 58 621 227.544 175.653 
point 59 624 252.321 216.486 
point 60 632 189.487 235.501 
point 61 646 261.568 147.959 
point 62 697 607.152 64.4297 
point 63 698 334.77 221.29 
point 64 737 192.898 189.691 
point 65 739 110.643 216.512 
point 66 740 239.507  201.84 
point 67 749 23.2402 182.562 
point 68 754 302.765 179.055 
point 69 764 463.332 204.202 
point 70 768 310.428  151.78 
point 71 771 356.546 78.2394 
point 72 789 335.462 194.023 
point 73 811 415.948 212.753 
point 74 839  330.49 212.365 
point 75 860 427.102 235.161 
point 76 889  169.13 228.662 
point 77 904 478.964 189.391 
point 78 935 556.538 220.695 
point 79 949 583.727 235.129 
point 80 994 385.078 147.296 
point 81 996 292.615 176.397 

