seq: 23
gt_pose:   4.53315 -0.492575 -0.514596
odom_pose:    4.5336 -0.562997 -0.549557
point 0 0 340.452 160.803 
point 1 35 631.241 188.756 
point 2 45 516.409 226.065 
point 3 54 575.638 128.412 
point 4 59 630.376 160.547 
point 5 62 529.335 204.401 
point 6 69 638.488 197.414 
point 7 87 2.16858 220.651 
point 8 91 449.267 225.824 
point 9 94 266.321 184.867 
point 10 99 379.58 144.42 
point 11 112 215.077 235.632 
point 12 137 637.678 200.248 
point 13 141 575.765   164.7 
point 14 152 608.345 105.108 
point 15 162 144.781 140.503 
point 16 174 472.307 141.505 
point 17 177 306.837 182.414 
point 18 185 212.278 76.9174 
point 19 194  439.47 146.061 
point 20 196 431.933 186.156 
point 21 204 523.283 225.906 
point 22 207 398.536 236.234 
point 23 213 157.059  160.52 
point 24 217 360.904 115.465 
point 25 224 414.414 176.887 
point 26 237 398.768 191.665 
point 27 252 530.055 175.898 
point 28 255 101.203 202.427 
point 29 261 580.383 185.994 
point 30 273 537.758 154.333 
point 31 279 233.564 179.052 
point 32 289 297.896  171.29 
point 33 336 567.454 233.205 
point 34 347 433.762 202.993 
point 35 348 232.206 190.608 
point 36 354 374.798 237.397 
point 37 372 315.671 218.939 
point 38 373  462.73 235.874 
point 39 394 437.351 186.864 
point 40 403 356.044 199.323 
point 41 417 352.516 200.426 
point 42 418  45.485 213.455 
point 43 421 376.446 212.214 
point 44 427 152.915  137.05 
point 45 442 336.077 232.122 
point 46 481 586.979 219.796 
point 47 482 567.781 205.162 
point 48 498 520.243  208.82 
point 49 509 505.754 189.413 
point 50 518 398.992 156.569 
point 51 540 610.597 167.366 
point 52 550 174.697 206.402 
point 53 571 515.786 70.8015 
point 54 582 231.574 153.802 
point 55 608 260.844 204.923 
point 56 612 276.287  182.03 
point 57 619 215.195 146.907 
point 58 621 208.931 170.123 
point 59 624 236.362 214.637 
point 60 632 158.699 234.834 
point 61 646 219.757 107.136 
point 62 673 626.571 237.112 
point 63 698 325.026 220.431 
point 64 737 166.133 183.485 
point 65 739 70.9234 213.291 
point 66 740 222.396 198.766 
point 67 754 290.995 174.998 
point 68 764 453.582 204.097 
point 69 768 297.807 141.001 
point 70 789 325.744   192.1 
point 71 811 407.448 212.253 
point 72 839 320.528 210.856 
point 73 860 419.491 235.035 
point 74 889  141.01 227.367 
point 75 904 468.612 189.454 
point 76 935  548.85 220.459 
point 77 949 566.099 235.269 
point 78 994 377.416 143.179 
point 79 996 280.492 172.606 

