seq: 26
gt_pose:    5.0318 -0.830423 -0.676641
odom_pose:   5.02726 -0.927672 -0.721112
point 0 0 310.015 137.271 
point 1 35 605.499 187.663 
point 2 45 516.804 223.515 
point 3 46 366.453 199.962 
point 4 54 565.895 117.905 
point 5 56 616.722 168.503 
point 6 69 590.523 199.764 
point 7 91 423.438 225.224 
point 8 94 215.384 168.977 
point 9 99 354.917 130.836 
point 10 112 145.844 234.234 
point 11 137 575.421 204.403 
point 12 141 527.894 170.131 
point 13 152 573.024 107.019 
point 14 174 469.968 119.689 
point 15 177 268.391 167.781 
point 16 194 416.424 138.989 
point 17 196 407.816 182.458 
point 18 207 374.329 235.842 
point 19 213 44.4119 124.154 
point 20 217 335.552 84.2347 
point 21 224 394.137 168.117 
point 22 237  375.21 186.078 
point 23 246 598.127 213.712 
point 24 252 499.129 175.896 
point 25 261 542.783 187.432 
point 26 273  500.64 157.067 
point 27 279 174.107 161.793 
point 28 289 258.318 155.384 
point 29 317 267.313 236.597 
point 30 347 407.744  201.29 
point 31 348 151.728 167.448 
point 32 354 348.041 237.153 
point 33 372 280.177 214.182 
point 34 373 446.382 235.382 
point 35 394 411.297 184.517 
point 36 403 331.632 181.723 
point 37 414 603.765 155.464 
point 38 417 324.158 195.378 
point 39 421 349.894 209.554 
point 40 427 13.1767 76.2511 
point 41 442 304.643 230.025 
point 42 444 618.077 138.357 
point 43 481 543.271 220.827 
point 44 482 531.581  205.94 
point 45 498 484.516 209.693 
point 46 509 487.689 185.411 
point 47 518 377.481  143.81 
point 48 540 560.655 172.405 
point 49 550 77.1342 192.476 
point 50 571 511.014 44.8761 
point 51 582 147.991 111.214 
point 52 604 258.141 231.506 
point 53 608 206.555 194.037 
point 54 612 231.127 167.915 
point 55 619 121.632 99.3841 
point 56 621 129.801 143.584 
point 57 624 171.661 206.033 
point 58 673 574.617  237.32 
point 59 698 292.344 216.826 
point 60 703 328.371 181.598 
point 61 737 26.6051 147.737 
point 62 740 151.856 184.347 
point 63 743 609.286 206.649 
point 64 753 290.339 181.466 
point 65 754 247.446 156.944 
point 66 764 426.319 203.101 
point 67 768 240.047  79.131 
point 68 789 293.502 184.091 
point 69 791 597.017 160.594 
point 70 811 382.515 210.064 
point 71 839 286.174  204.39 
point 72 845 213.486 218.911 
point 73 860 397.475 234.504 
point 74 889 0.0687675   220.261 
point 75 904 440.029 188.709 
point 76 935 529.663 219.311 
point 77 949  520.91 235.569 
point 78 969 309.145  239.88 
point 79 994 353.651  125.92 
point 80 996 236.252 156.132 

