seq: 27
gt_pose:   5.18505 -0.960428 -0.730658
odom_pose:    5.1857  -1.07148 -0.781621
point 0 0 297.438  125.11 
point 1 35  598.67 186.944 
point 2 45  519.74 222.316 
point 3 46 357.601 198.711 
point 4 54 564.579 113.084 
point 5 56 605.358 168.704 
point 6 69 576.941 200.251 
point 7 91 415.262 224.918 
point 8 94 192.381 160.849 
point 9 99 346.259 124.633 
point 10 112 112.589 233.497 
point 11 137  558.23 205.402 
point 12 141 514.163 171.369 
point 13 152 562.945 106.814 
point 14 174 471.672 109.131 
point 15 177 252.203 160.524 
point 16 194 409.078 135.717 
point 17 196 400.043 180.731 
point 18 207 366.154 235.665 
point 19 217 325.897 68.7736 
point 20 224 387.521 164.113 
point 21 237 367.244 183.546 
point 22 246 579.537 214.519 
point 23 252  489.92 175.496 
point 24 256 632.363 211.053 
point 25 261 531.865 187.574 
point 26 273 489.653 157.444 
point 27 279 146.864 153.015 
point 28 289 241.846 147.657 
point 29 317 253.257 236.368 
point 30 347 399.382  200.44 
point 31 348 106.908 153.279 
point 32 354 338.772 237.042 
point 33 372 265.752 211.881 
point 34 373 441.711 235.158 
point 35 394 402.954 183.332 
point 36 403  321.37 171.317 
point 37 414 584.215 158.302 
point 38 417 313.903 193.088 
point 39 421 340.703 208.347 
point 40 442 291.833 228.973 
point 41 444 603.885 139.656 
point 42 446 634.626 84.4597 
point 43 481 530.661 221.035 
point 44 482 521.006 205.983 
point 45 498  473.84 209.792 
point 46 509 482.668 183.561 
point 47 518 370.212 137.948 
point 48 540 546.462  173.54 
point 49 550 24.6164 184.419 
point 50 571 511.537 32.9128 
point 51 582  100.18 84.4878 
point 52 604 243.464 230.932 
point 53 608  181.38 188.348 
point 54 612 211.767 160.988 
point 55 619 66.7369 69.0728 
point 56 621 89.2283 128.748 
point 57 624 140.279 201.411 
point 58 673 559.941 237.367 
point 59 698 279.653  215.14 
point 60 703 318.367 179.038 
point 61 740 117.021 176.521 
point 62 743 594.136 207.209 
point 63 753 278.089 177.979 
point 64 754  228.38 147.795 
point 65 764  417.73 202.524 
point 66 768   204.6 34.7917 
point 67 789 281.159  180.39 
point 68 791  583.08 161.632 
point 69 811 374.231 209.058 
point 70 839 272.341 201.274 
point 71 845 193.282 217.023 
point 72 860 390.288 234.264 
point 73 904 431.144 188.136 
point 74 935 524.537 218.758 
point 75 943 633.417 230.491 
point 76 949 507.845 235.635 
point 77 969 298.237 239.874 
point 78 994 345.187 117.869 
point 79 996 217.328  148.04 

