seq: 29
gt_pose:    5.4694  -1.24429 -0.838694
odom_pose:   5.44807  -1.36335 -0.901343
point 0 0 264.526 87.5975 
point 1 35 587.552 184.904 
point 2 45 532.091 219.068 
point 3 46 339.365  195.53 
point 4 54 565.505 100.749 
point 5 56 585.315 168.428 
point 6 69 552.592 200.831 
point 7 91 399.313 224.115 
point 8 94 128.058 136.134 
point 9 99 327.647 108.486 
point 10 107 635.197 187.255 
point 11 112 13.2368 231.157 
point 12 137 527.695 206.952 
point 13 141 489.178 173.127 
point 14 152 544.934 105.132 
point 15 174 481.257 79.3932 
point 16 177 210.117 139.384 
point 17 194 394.681 127.388 
point 18 196 384.646 176.327 
point 19 207 349.249 235.212 
point 20 212 287.127  218.83 
point 21 215 274.427  168.42 
point 22 217 302.921 23.8448 
point 23 224 374.279   153.7 
point 24 237 350.738 177.057 
point 25 246 546.787 215.783 
point 26 252 472.842 174.066 
point 27 256 596.895 212.469 
point 28 261 511.973 187.369 
point 29 273 469.273 157.437 
point 30 279 70.1558 126.526 
point 31 289 199.877 125.755 
point 32 317  219.92 235.761 
point 33 347 382.851 198.224 
point 34 354 319.191 236.761 
point 35 372 229.767 205.398 
point 36 373 433.692 234.582 
point 37 374 618.456 173.981 
point 38 394 386.512 180.238 
point 39 403 291.541 131.512 
point 40 414 549.951 162.775 
point 41 417 291.339 187.192 
point 42 421 321.296 205.281 
point 43 442 259.222 225.859 
point 44 444 578.648 141.252 
point 45 446 618.95 81.514 
point 46 481 507.703 221.267 
point 47 482 501.653 205.753 
point 48 498 453.889 209.713 
point 49 509 474.221 178.842 
point 50 518 355.128  122.55 
point 51 537 323.936 196.684 
point 52 540 520.854 175.117 
point 53 571 517.087 1.35932 
point 54 604 208.446 229.407 
point 55 608 108.529 170.518 
point 56 612 161.013 141.086 
point 57 624 44.4338 186.311 
point 58 673 533.577 237.434 
point 59 698  249.61 210.594 
point 60 703 296.725 172.515 
point 61 731 627.488 212.795 
point 62 740 8.36142 150.563 
point 63 743 567.154 207.984 
point 64 753 249.961 168.865 
point 65 754 176.622 120.338 
point 66 764 401.028 200.948 
point 67 789 252.43 170.57 
point 68 790 319.959 233.101 
point 69 791 558.147 162.925 
point 70 801 603.569 185.574 
point 71 811 357.365 206.501 
point 72 839 238.149 192.531 
point 73 845 140.978 211.706 
point 74 860 375.888 233.649 
point 75 904 414.048 186.454 
point 76 935 516.279 217.334 
point 77 943 591.665 231.159 
point 78 949 483.957 235.724 
point 79 969   274.1 239.859 
point 80 994 326.643  96.255 
point 81 996 167.783 124.762 

