seq: 31
gt_pose:   5.72147  -1.55714 -0.946733
odom_pose:  5.68081 -1.70208 -1.03841
point 0 0 207.089 9.12637 
point 1 35 579.924 181.926 
point 2 45 558.476 213.929 
point 3 46 319.836 191.173 
point 4 47 333.395 223.871 
point 5 54 572.532 83.4873 
point 6 56 568.467 167.228 
point 7 69 531.369 200.917 
point 8 91 383.616 223.002 
point 9 94 8.53615  86.105 
point 10 99 306.083 84.8224 
point 11 107   590.5 191.463 
point 12 137 501.164 207.996 
point 13 141 466.806 174.017 
point 14 152 529.495 101.649 
point 15 174 505.629 28.4546 
point 16 177 141.631  100.48 
point 17 188 342.045  179.04 
point 18 194 380.421 115.941 
point 19 196 369.125 170.287 
point 20 207 330.959 234.579 
point 21 212 261.402 216.182 
point 22 215 246.328 158.505 
point 23 221 310.079  239.82 
point 24 224 360.662 138.485 
point 25 237  332.79 167.868 
point 26 246 518.631 216.655 
point 27 252 457.287 171.709 
point 28 256 566.853  213.44 
point 29 261 494.289 186.498 
point 30 273 450.604 156.409 
point 31 289 134.957  87.709 
point 32 305 289.082 181.328 
point 33 317 175.115 234.835 
point 34 329 274.362 174.975 
point 35 347 366.237 195.165 
point 36 354 297.367 236.372 
point 37 372 175.829 194.274 
point 38 373 427.839  233.76 
point 39 374 590.443 175.617 
point 40 394 370.069 175.958 
point 41 414 520.662 165.928 
point 42 417 264.439 178.737 
point 43 421 299.668 201.027 
point 44 442 206.711 219.927 
point 45 444 556.931 141.588 
point 46 446 606.926 76.3128 
point 47 451  312.05 164.578 
point 48 452 630.253 126.309 
point 49 468 637.436 106.131 
point 50 481 487.211 221.266 
point 51 482 484.335 205.085 
point 52 498 435.412 209.258 
point 53 509 468.199 172.323 
point 54 518 338.565 99.5804 
point 55 531 327.368 205.244 
point 56 537 303.065 192.639 
point 57 540 498.232 175.854 
point 58 604 160.994 227.073 
point 59 612 78.7386 105.519 
point 60 620 619.979 105.722 
point 61 637 333.029 166.737 
point 62 673 510.435 237.467 
point 63 698 208.928 203.456 
point 64 703 271.702 163.379 
point 65 707 595.502 209.176 
point 66 731   614.5 212.015 
point 67 743 543.799 208.339 
point 68 753 214.108 155.392 
point 69 754 85.0816 66.4012 
point 70 764 384.662 198.707 
point 71 775 619.315 149.444 
point 72 789  214.79 155.623 
point 73 790 298.611 232.411 
point 74 791 536.471 163.239 
point 75 801 568.879   188.4 
point 76 811 339.608 202.987 
point 77 839 187.682 177.668 
point 78 845 58.9779 202.581 
point 79 860 361.079 232.786 
point 80 904  397.56 183.951 
point 81 935 510.978 215.368 
point 82 943 556.933 231.643 
point 83 949 462.442 235.758 
point 84 969 245.186 239.838 
point 85 994 304.216 62.5997 
point 86 996 87.4829 83.0496 

