seq: 32
gt_pose:  5.83447 -1.72332 -1.00075
odom_pose:  5.76474 -1.85005  -1.0969
point 0 35 577.523 180.011 
point 1 45 580.899 210.096 
point 2 46 309.293 188.405 
point 3 47 323.597 223.203 
point 4 54 579.145 72.2376 
point 5 56 561.142 166.258 
point 6 69 521.745 200.778 
point 7 91 375.744 222.298 
point 8 99 293.438 68.5599 
point 9 107 571.282 193.121 
point 10 137 489.074 208.353 
point 11 141 456.391 174.156 
point 12 152 522.668 99.1636 
point 13 177 84.7685 65.9033 
point 14 182 631.571 228.704 
point 15 188 332.561 176.662 
point 16 194 373.227 108.639 
point 17 196 361.168 166.451 
point 18 207 320.943 234.166 
point 19 212 246.605 214.465 
point 20 215 229.805 151.996 
point 21 221 299.185 239.811 
point 22 224 353.506 128.062 
point 23 237 322.894  161.78 
point 24 246 505.902 216.966 
point 25 252     450 170.134 
point 26 256 553.447 213.781 
point 27 261 486.159 185.797 
point 28 273 441.779 155.494 
point 29 289 84.5528 56.1575 
point 30 305 276.952 178.081 
point 31 317 145.343 234.169 
point 32 329 261.097 170.982 
point 33 347 357.752 193.234 
point 34 354 285.152 236.121 
point 35 372 135.068 185.182 
point 36 373 425.995 233.212 
point 37 374 577.992  176.11 
point 38 394 361.706 173.256 
point 39 414 507.465 167.086 
point 40 417 248.409 173.058 
point 41 421 287.559 198.274 
point 42 429 631.762 169.398 
point 43 442  162.38 214.424 
point 44 444 547.196 141.293 
point 45 446 602.283 72.7562 
point 46 451  301.26 160.874 
point 47 452 621.237 125.694 
point 48 468  628.46 105.396 
point 49 481 477.721 221.179 
point 50 482  476.33 204.574 
point 51 498 426.596 208.881 
point 52 509  466.29 168.142 
point 53 518 329.259 83.4979 
point 54 531 317.331 203.764 
point 55 537 291.704 190.077 
point 56 540 487.825 175.924 
point 57 548 394.526 187.297 
point 58 604 129.265 225.394 
point 59 612 11.8658 75.0107 
point 60 620  605.74 107.447 
point 61 637 323.217 163.707 
point 62 673 499.845 237.472 
point 63 692 375.926 186.385 
point 64 698 181.429 198.172 
point 65 703  257.24 157.398 
point 66 707 576.175  210.22 
point 67 731 609.393 211.468 
point 68 743  533.25 208.367 
point 69 753 191.436 146.044 
point 70 754 1.43637 14.3246 
point 71 764 376.486 197.283 
point 72 775 599.113 152.512 
point 73 789 190.246 144.926 
point 74 790  286.89 231.972 
point 75 791  526.66 163.037 
point 76 801 553.549 189.481 
point 77 811 330.146 200.743 
point 78 839 150.112 165.646 
point 79 860 353.325 232.219 
point 80 904 389.433 182.337 
point 81 935 509.63 214.12 
point 82 943 541.575  231.83 
point 83 949 452.385 235.756 
point 84 969 227.952 239.824 
point 85 994 290.345 37.9236 
point 86 996 22.1135 47.1582 

