seq: 37
gt_pose:  6.25677 -2.63179 -1.27085
odom_pose:  6.08524  -2.7957 -1.34305
point 0 35 584.103 163.953 
point 1 46 239.404 163.446 
point 2 47 264.885 217.608 
point 3 56  535.06 156.859 
point 4 69  481.53 198.098 
point 5 91 333.416 216.384 
point 6 137 436.766 208.662 
point 7 141 409.476 171.783 
point 8 143  600.08 174.737 
point 9 152  497.21 77.0517 
point 10 182 555.366  229.66 
point 11 187 589.245 146.718 
point 12 188 277.102 156.861 
point 13 194 333.371 41.6868 
point 14 196 315.144 132.103 
point 15 204 377.941 225.518 
point 16 207 248.144 229.874 
point 17 212 127.779 197.314 
point 18 215  85.936 82.7274 
point 19 220 636.987 183.863 
point 20 221 228.619 239.733 
point 21 237 247.421 94.0045 
point 22 246 451.665 217.426 
point 23 252 417.533 156.808 
point 24 256 498.119 214.233 
point 25 257 338.615 232.689 
point 26 261 451.409 179.028 
point 27 273 400.985 146.144 
point 28 299 601.936 170.954 
point 29 305 193.311   149.1 
point 30 329 164.138 133.996 
point 31 347 309.811 176.919 
point 32 354 193.774 233.656 
point 33 368 232.563 239.982 
point 34 373 441.912 226.864 
point 35 374 527.622  175.55 
point 36 394  315.01 150.492 
point 37 414 451.509 169.347 
point 38 417 94.5115  104.86 
point 39 421 196.451 171.008 
point 40 429 564.438 173.076 
point 41 444 507.776 134.834 
point 42 446 594.613 41.9645 
point 43 451 231.793  128.85 
point 44 452  589.45 116.505 
point 45 468 597.288 94.5027 
point 46 481 435.844  219.79 
point 47 482 441.652 199.815 
point 48 498 384.924 205.195 
point 49 509 475.885 128.876 
point 50 510 278.523  204.39 
point 51 525 639.845 237.524 
point 52 531 256.273 191.316 
point 53 537 215.441 167.348 
point 54 540  442.35 173.235 
point 55 548 350.593 179.697 
point 56 566 637.391 235.964 
point 57 584 565.201 206.405 
point 58 602 587.415 169.377 
point 59 615 589.256 180.926 
point 60 620 548.941 109.638 
point 61 637 264.395 138.314 
point 62 659 599.928  209.54 
point 63 673 454.123 237.376 
point 64 692 330.408 176.664 
point 65 703 136.854 94.6264 
point 66 731 599.176 206.639 
point 67 733  316.71 166.895 
point 68 741 597.536 217.036 
point 69 742 298.561 175.549 
point 70 743  489.29 206.987 
point 71 745 632.672 142.193 
point 72 764  333.12 185.503 
point 73 775 520.326 162.008 
point 74 790 205.847 227.992 
point 75 791  485.81 158.184 
point 76 801  490.86 192.245 
point 77 811 268.821 179.987 
point 78 818 611.323 182.931 
point 79 855 635.246 122.395 
point 80 860 303.495 226.222 
point 81 870 614.211 217.502 
point 82 904 347.867 168.988 
point 83 935 523.487 203.098 
point 84 943 478.531 232.329 
point 85 949 406.765 235.542 
point 86 969 67.8594 239.664 

