seq: 41
gt_pose:   6.4099 -3.41936 -1.48693
odom_pose:  6.20016 -3.59942 -1.52541
point 0 16  285.66 218.167 
point 1 35 630.162 135.132 
point 2 46 114.286 101.994 
point 3 47 186.861 206.921 
point 4 56 528.687 141.034 
point 5 62 344.551 200.031 
point 6 69 457.137  192.87 
point 7 85  252.57 202.785 
point 8 91 286.861 205.016 
point 9 102  597.3 150.78 
point 10 118 615.745 136.045 
point 11 137 400.822 207.129 
point 12 141 375.035 165.567 
point 13 152 489.151 40.4663 
point 14 154 634.906 210.783 
point 15 163 636.353 164.449 
point 16 182 511.313 229.787 
point 17 187 529.841 153.588 
point 18 188 207.208 120.103 
point 19 196 250.578 49.7501 
point 20 204 342.359 223.515 
point 21 207 24.0338 211.034 
point 22 220 563.287 190.025 
point 23 221 116.065 239.566 
point 24 236 587.476 196.533 
point 25 246 415.379  216.52 
point 26 252 395.452 134.751 
point 27 256 463.606 213.117 
point 28 257 297.208 231.056 
point 29 261 429.781 167.717 
point 30 265 240.107 225.317 
point 31 273 369.821 130.342 
point 32 299 552.255 173.054 
point 33 305 38.7628 80.0261 
point 34 318 617.702 169.952 
point 35 347 251.281 144.912 
point 36 365 253.993  188.43 
point 37 368 144.408 239.974 
point 38 374 498.276 171.205 
point 39 394 259.507 106.338 
point 40 414 414.245 167.193 
point 41 429 525.845 172.114 
point 42 444 485.931 121.973 
point 43 451 122.527 60.4839 
point 44 452 580.617 99.2768 
point 45 468 589.626 74.0973 
point 46 481 406.754 217.173 
point 47 482 419.325 191.929 
point 48 493 628.446 225.511 
point 49 498 351.568 199.043 
point 50 500 330.975 207.746 
point 51 509 560.354 17.7306 
point 52 510 218.335 193.276 
point 53 525 560.065 237.846 
point 54 531  172.59 167.184 
point 55 537 81.3015  114.36 
point 56 540 411.076 166.725 
point 57 548 311.673  167.29 
point 58 562 270.448 168.313 
point 59 566 579.287 236.185 
point 60 567 248.463 198.509 
point 61 584 511.785 208.256 
point 62 602 527.511 174.775 
point 63 615 523.023 186.978 
point 64 618 239.113 165.907 
point 65 620  516.31 103.796 
point 66 637 186.188 89.8364 
point 67 659 530.745 212.875 
point 68 665 638.814 188.331 
point 69 671 219.592 169.723 
point 70 673 423.467  237.13 
point 71 692 286.773  160.78 
point 72 731  616.91 198.561 
point 73 733 269.058 146.792 
point 74 741 530.574 219.369 
point 75 742 243.728 154.669 
point 76 743 462.345 203.685 
point 77 745 584.737 144.111 
point 78 762 264.702 204.886 
point 79 764 287.989 164.578 
point 80 775 473.873 164.459 
point 81 790 50.1611 217.985 
point 82 791 461.179 148.413 
point 83 801 451.601  191.72 
point 84 811 156.419 124.058 
point 85 818 548.658 187.442 
point 86 855 584.646 125.777 
point 87 857 248.449 215.213 
point 88 860 168.574 196.948 
point 89 904 308.259 146.359 
point 90 906 192.453 165.934 
point 91 935 598.328 178.224 
point 92 943 438.583 232.287 
point 93 949 372.903 235.074 
point 94 985 608.433  222.97 

