seq: 45
gt_pose:  6.39062 -4.22144   -1.703
odom_pose:  6.11462 -4.39202 -1.80112
point 0 16 228.791 211.768 
point 1 55  182.91 165.046 
point 2 56 544.117 109.397 
point 3 62 304.447 191.582 
point 4 69 439.313 182.881 
point 5 85 177.383 188.332 
point 6 91 177.849 165.039 
point 7 102  537.72 157.168 
point 8 118 605.533 123.399 
point 9 121 612.685 187.973 
point 10 128 622.646 179.419 
point 11 137 366.557 203.581 
point 12 141 339.703 153.479 
point 13 151 118.983 162.083 
point 14 164  215.24 238.325 
point 15 182 476.428 229.395 
point 16 187 484.272  155.68 
point 17 188 33.3656 3.75667 
point 18 204 301.693 219.723 
point 19 220 509.515 192.893 
point 20 225  245.53 188.709 
point 21 236 524.219 200.474 
point 22 246 381.808 214.234 
point 23 252 376.816 86.1179 
point 24 256  434.65 210.374 
point 25 257 239.344 227.704 
point 26 261 414.246 145.392 
point 27 265 156.06 219.04 
point 28 273  336.06 99.8086 
point 29 287 308.857 192.347 
point 30 299  514.68 171.741 
point 31 314 246.151 179.164 
point 32 323 623.168   181.3 
point 33 336 325.087 232.569 
point 34 345 600.608 202.534 
point 35 347 90.3352 24.3244 
point 36 365 175.634 166.377 
point 37 374 476.984 162.049 
point 38 414 379.832 160.953 
point 39 429  496.61 167.456 
point 40 444 473.394 97.3153 
point 41 452 592.938 65.9361 
point 42 468 604.268 34.5697 
point 43 481   379.3 212.197 
point 44 482 402.004 176.189 
point 45 493 555.148 227.134 
point 46 498 313.025  187.08 
point 47 500 288.183 200.914 
point 48 510 107.505 166.868 
point 49 525 502.834 238.007 
point 50 540 381.69 154.13 
point 51 548 260.219 142.431 
point 52 562 206.669  144.84 
point 53 566  536.32 236.205 
point 54 567 169.298 181.376 
point 55 584 469.741 208.455 
point 56 602 481.55 176.53 
point 57 618 155.944  135.11 
point 58 620 492.511 89.5225 
point 59 665   588.9 189.668 
point 60 671 121.727  136.73 
point 61 673 395.69 236.65 
point 62 685 221.112 187.133 
point 63 692 221.829 126.823 
point 64 702 579.335 210.095 
point 65 721 185.807 207.859 
point 66 733 192.751 102.069 
point 67 741 480.287 220.409 
point 68 742 143.568 103.808 
point 69 743 441.581 197.279 
point 70 745 550.201 141.082 
point 71 746 195.016  209.06 
point 72 762 193.856 191.174 
point 73 764 202.893 106.564 
point 74 775 435.417 163.143 
point 75 791 443.295 129.711 
point 76 801 417.681 188.651 
point 77 802 576.33 217.92 
point 78 818 501.451 188.974 
point 79 842 187.224   218.4 
point 80 855 547.839 123.283 
point 81 857 167.953 204.648 
point 82 904 245.829 91.6045 
point 83 906 57.1013 119.123 
point 84 912  179.65 172.674 
point 85 943  403.43 231.846 
point 86 949 337.704 234.179 

