seq: 48
gt_pose:  6.29169  -4.6817 -2.04908
odom_pose:  5.95325    -4.86 -2.19983
point 0 11 512.631 194.233 
point 1 16 97.0314  196.35 
point 2 48 622.538 102.721 
point 3 56 476.808 110.005 
point 4 62 227.018 178.274 
point 5 66 511.846 163.409 
point 6 69 379.321 179.481 
point 7 81 550.251 198.812 
point 8 102 439.344 172.494 
point 9 118 499.029 142.328 
point 10 137 303.801 200.362 
point 11 141 273.379   138.8 
point 12 155 637.166 230.708 
point 13 164 68.4603 237.316 
point 14 182 401.901 230.269 
point 15 187 404.476 165.766 
point 16 204 222.194 213.673 
point 17 220 420.956 200.256 
point 18 225 133.351 165.621 
point 19 234 626.527 132.274 
point 20 246 319.533 212.679 
point 21 252 319.221 27.1074 
point 22 256 369.985 210.459 
point 23 257 102.297 219.886 
point 24 261 358.804 129.631 
point 25 273 266.499 60.8299 
point 26 287 235.696 182.167 
point 27 292 621.949 216.278 
point 28 299 429.567 180.444 
point 29 314 135.162 152.277 
point 30 323 487.382 196.802 
point 31 326 621.164  164.67 
point 32 336 256.143 231.213 
point 33 374 407.932  164.67 
point 34 414 317.385 156.579 
point 35 422 631.586 203.506 
point 36 429 419.394 173.807 
point 37 437 187.617 222.245 
point 38 444 409.785  95.288 
point 39 452 502.833 83.3469 
point 40 468  510.43 57.1969 
point 41 481 318.505 208.012 
point 42 482 346.206 163.284 
point 43 484 565.674 146.132 
point 44 498 234.734 169.172 
point 45 500 204.328   188.9 
point 46 540 320.442 144.494 
point 47 548 146.727 91.1108 
point 48 560 607.479 178.383 
point 49 562  45.306 81.4993 
point 50 565 555.305 238.051 
point 51 566 443.034 236.801 
point 52 584 394.264 211.532 
point 53 602 402.274 184.041 
point 54 620  418.59 99.3436 
point 55 638 524.159 193.679 
point 56 665 475.415 200.079 
point 57 673 334.934 236.353 
point 58 676 566.223 234.833 
point 59 685 82.9743 157.339 
point 60 692 53.1433 37.4915 
point 61 721 8.32441  185.93 
point 62 722 543.764 135.536 
point 63 724 507.833 174.364 
point 64 731 584.254 187.145 
point 65 743 379.648 195.839 
point 66 745 455.191 156.255 
point 67 746 24.0838 188.055 
point 68 751 616.767 216.604 
point 69 763 519.407 127.564 
point 70 775 367.255 167.049 
point 71 782 235.098 234.603 
point 72 791 382.633 124.285 
point 73 801 353.239 188.928 
point 74 818 416.895 195.978 
point 75 825 623.421 185.469 
point 76 833 499.031 173.566 
point 77 855 452.845 141.431 
point 78 884 578.191   225.1 
point 79 925 556.986 161.746 
point 80 931 585.082 139.923 
point 81 941 582.422  215.07 
point 82 943 339.868 231.783 
point 83 949 270.639  233.08 
point 84 961 552.833 111.593 
point 85 977 565.704 168.775 

