seq: 49
gt_pose:  6.29169  -4.6817 -2.24944
odom_pose:  5.97273 -4.83737 -2.36892
point 0 11 446.847 201.605 
point 1 23 627.699 130.288 
point 2 24   598.6 172.484 
point 3 26 544.995 139.199 
point 4 35 558.755 113.811 
point 5 48 516.373  135.44 
point 6 56 417.679 126.992 
point 7 62 172.208  169.52 
point 8 66  446.27 175.699 
point 9 69 337.917 182.008 
point 10 118 435.616 156.938 
point 11 137 264.296 198.756 
point 12 141 229.705 130.856 
point 13 182 359.632   230.9 
point 14 187 362.342 170.787 
point 15 204 165.59 209.75 
point 16 225 33.5493 143.684 
point 17 234 519.064 158.243 
point 18 242 600.414 132.873 
point 19 246 281.017 212.077 
point 20 252 275.396   21.71 
point 21 256 330.447 211.429 
point 22 261 317.569 131.825 
point 23 273  219.91 44.9898 
point 24 287 184.269 174.709 
point 25 299 383.081 185.855 
point 26 314 36.6939 126.704 
point 27 323 428.648 202.892 
point 28 326 516.072 182.575 
point 29 336 209.572 230.327 
point 30 374 364.025 169.961 
point 31 414 278.914  154.54 
point 32 429 374.286 179.189 
point 33 437 118.932 218.675 
point 34 444 364.899 105.652 
point 35 452 437.502 107.186 
point 36 468 442.887 86.1067 
point 37 481 278.494 207.244 
point 38 482 305.08 163.76 
point 39 484  481.22 164.887 
point 40 498 180.694 159.846 
point 41 500 141.919 179.939 
point 42 540 281.091 142.443 
point 43 548 53.2768 50.6094 
point 44 560 507.555 192.468 
point 45 565 475.167 238.426 
point 46 566 394.132  237.13 
point 47 584 353.322 213.174 
point 48 597  585.66 153.268 
point 49 620 373.315 110.653 
point 50 638 454.513 201.543 
point 51 651 533.279 136.231 
point 52 665  419.26 205.303 
point 53 673 295.931 236.335 
point 54 722 467.902 154.809 
point 55 724 443.468 184.691 
point 56 731 490.329 198.323 
point 57 743 338.592 197.706 
point 58 745 403.458 165.762 
point 59 751 513.578   222.1 
point 60 755 622.563 237.644 
point 61 763  450.72 146.215 
point 62 775 328.685 169.269 
point 63 782 183.748 233.904 
point 64 783 604.254 222.885 
point 65 791 341.014 129.508 
point 66 801 315.003 189.719 
point 67 818  372.93 199.472 
point 68 855 401.693 152.425 
point 69 887 548.819 223.154 
point 70 918 607.656  213.74 
point 71 925 476.633 176.936 
point 72 931 493.893 161.292 
point 73 943 302.029 231.791 
point 74 949 226.255 232.511 
point 75 961  473.39 136.101 
point 76 977 482.355 183.047 

