seq: 50
gt_pose: 6.29169 -4.6817 -2.4497
odom_pose:  5.96817 -4.84008 -2.56456
point 0 23 519.499 156.793 
point 1 24 502.732 187.528 
point 2 26 468.175  157.85 
point 3 35 473.159 138.167 
point 4 38 618.553 74.9692 
point 5 48 449.185 152.562 
point 6 56 370.821 135.873 
point 7 62 94.8934 153.532 
point 8 69 298.247 181.885 
point 9 72 605.602 213.979 
point 10 116 564.779 227.016 
point 11 118 387.248 164.901 
point 12 137 219.383 195.042 
point 13 138  534.95 228.243 
point 14 141 175.867 115.816 
point 15 146 535.169 177.556 
point 16 182 321.088 231.103 
point 17 204 84.4383 202.545 
point 18 234   451.4 171.814 
point 19 242 503.75 156.87 
point 20 246 238.888 210.163 
point 21 252 226.554 4.45918 
point 22 256 291.879 211.148 
point 23 261 276.116 129.024 
point 24 273 160.945 15.1134 
point 25 277  578.35 161.061 
point 26 287 113.894 161.231 
point 27 299 342.932 188.365 
point 28 334 618.142 212.354 
point 29 336 149.463  228.71 
point 30 359 573.644 137.173 
point 31 374 324.434  171.81 
point 32 382 528.586  195.87 
point 33 414 236.638 148.464 
point 34 429 334.544 181.456 
point 35 437 9.29189 211.813 
point 36 444 324.543 109.268 
point 37 446 432.297 19.3871 
point 38 452 387.997 120.089 
point 39 468  392.35 101.799 
point 40 470 564.329 237.934 
point 41 475 598.698 223.861 
point 42 481 234.404 204.865 
point 43 482 262.481 160.651 
point 44 484 423.254 175.059 
point 45 492 527.521 160.371 
point 46 498 105.696 142.692 
point 47 500 47.4309 163.164 
point 48 508 537.919 161.481 
point 49 529 628.618 186.477 
point 50 540 238.017 135.714 
point 51 560 442.977 199.925 
point 52 565 419.269 238.632 
point 53 566 352.955 237.295 
point 54 584 315.423 213.597 
point 55 597 494.772 171.835 
point 56 620 333.354 115.326 
point 57 638 403.509 205.895 
point 58 639 569.182 205.857 
point 59 651  460.62 154.546 
point 60 665 374.651 208.127 
point 61 673 254.692 236.149 
point 62 722 414.027 165.434 
point 63 731 427.712 204.229 
point 64 743 299.311 197.657 
point 65 745 360.853 170.683 
point 66 763 400.046 156.496 
point 67 775 290.899 168.466 
point 68 782 113.435 232.641 
point 69 791 301.427 129.656 
point 70 801 276.343 188.349 
point 71 818  334.03 200.943 
point 72 819 571.299 199.517 
point 73 855 359.389 158.084 
point 74 861 540.314 193.239 
point 75 903 565.716 138.482 
point 76 918 506.677  219.73 
point 77 925 420.712 185.266 
point 78 931 433.047 172.782 
point 79 936 624.391 131.522 
point 80 943 262.609 231.443 
point 81 949 171.073 231.441 
point 82 961 417.775 149.517 
point 83 965  616.45 157.248 

