seq: 52
gt_pose:  6.29169  -4.6817 -2.84999
odom_pose:  5.98445 -4.82968  -2.9565
point 0 5 469.069  197.75 
point 1 6 503.704 188.713 
point 2 14 594.501 198.237 
point 3 23 401.271 178.288 
point 4 26 369.919 173.564 
point 5 35 366.582 157.713 
point 6 38 446.105 134.064 
point 7 48 357.845 166.928 
point 8 56 288.721 138.039 
point 9 69 208.051 172.905 
point 10 78 506.703 215.652 
point 11 107 173.034 189.338 
point 12 109 581.954 229.638 
point 13 116 423.794 231.014 
point 14 118 307.043  169.17 
point 15 119 527.411 206.276 
point 16 123  527.12 160.294 
point 17 137 81.0929 175.637 
point 18 138 408.312 231.478 
point 19 175 629.885 181.395 
point 20 182 240.771  230.32 
point 21 184 507.315 212.036 
point 22 187 245.456  167.21 
point 23 198 629.764 233.504 
point 24 200 534.139  183.93 
point 25 246 119.122 199.726 
point 26 251 603.881 232.897 
point 27 256 202.391 206.254 
point 28 261 173.127  103.92 
point 29 299 265.468 186.571 
point 30 301 594.379 209.704 
point 31 327 511.867 182.404 
point 32 364 502.666 216.367 
point 33 374 242.801 166.243 
point 34 382 406.018 207.732 
point 35 387 634.883 195.702 
point 36 414 115.455  115.68 
point 37 425 535.313 239.956 
point 38 429 255.556 178.215 
point 39 444 241.267 98.3883 
point 40 446 340.232 48.6303 
point 41 452 306.175 126.886 
point 42 463 605.335 59.6645 
point 43 468 310.036 110.779 
point 44 475 439.886 229.377 
point 45 481 105.721 191.721 
point 46 482 150.663 138.954 
point 47 484 337.787 182.993 
point 48 508 410.978 183.424 
point 49 532 577.829 157.303 
point 50 540 114.536  98.486 
point 51 560  353.45 206.129 
point 52 565 335.688 238.791 
point 53 566 276.218 237.263 
point 54 568 487.909 219.512 
point 55 584   234.9 210.914 
point 56 602 243.482 184.674 
point 57 617 605.552 161.604 
point 58 620 253.569 107.974 
point 59 638 323.229 208.941 
point 60 639 424.928 216.495 
point 61 644  622.41 180.373 
point 62 651 365.381 170.007 
point 63 661 573.451 174.113 
point 64 664 502.063 195.279 
point 65 665 297.423 209.211 
point 66 673 144.099 235.019 
point 67 695 481.18 217.94 
point 68 707 179.392 208.507 
point 69 731  337.14 208.716 
point 70 743 210.448 191.292 
point 71 745 283.575 171.012 
point 72 752 600.907 166.598 
point 73 763 319.439 163.355 
point 74 775 203.134 156.297 
point 75 776  508.45 170.756 
point 76 791 212.502 113.638 
point 77 794 540.628 212.776 
point 78 797 532.455   192.5 
point 79 801 181.417  177.19 
point 80 818 256.643 198.804 
point 81 821 480.887 198.411 
point 82 841 531.885 181.608 
point 83 855 282.269 158.228 
point 84 876 565.464 167.244 
point 85 880 589.889 199.169 
point 86 883  612.84 223.144 
point 87 903 422.109 169.645 
point 88 918 392.345 224.618 
point 89 931 346.017 182.124 
point 90 935 442.785 171.017 
point 91 942 556.571  222.65 
point 92 943 160.673 229.208 
point 93 961 334.241 159.803 

