seq: 55
gt_pose:  5.69819 -4.78206 -2.98893
odom_pose:  5.37768 -4.84222 -3.13686
point 0 5  445.85 196.396 
point 1 6 492.487 183.193 
point 2 14 562.317 198.842 
point 3 23 379.283 173.292 
point 4 26 347.173 163.555 
point 5 35 352.954 94.4161 
point 6 38 435.174 116.344 
point 7 48 333.271 158.093 
point 8 56 224.052 71.1352 
point 9 69 77.0756 121.623 
point 10 78  478.68 215.738 
point 11 102   237.2 170.904 
point 12 107  88.116 171.402 
point 13 109 542.647 230.128 
point 14 116 404.409 230.146 
point 15 118 268.398 146.321 
point 16 119 512.136 203.856 
point 17 123 498.168 160.839 
point 18 138 390.537 230.223 
point 19 165 627.662 191.765 
point 20 175 576.886 186.466 
point 21 182 182.155 227.213 
point 22 184 484.017 211.277 
point 23 187 196.441 149.583 
point 24 198 625.455 232.916 
point 25 200 503.601 184.761 
point 26 220  218.84 196.005 
point 27 256 107.934 189.841 
point 28 277 407.947 184.208 
point 29 296 635.487  113.92 
point 30 299 218.237  171.91 
point 31 301 560.613 210.344 
point 32 303 609.103 217.593 
point 33 323 274.699 203.247 
point 34 327 522.328 168.611 
point 35 359 406.011 166.501 
point 36 364 475.912 216.262 
point 37 374 169.677 132.112 
point 38 382 384.609 204.962 
point 39 387 582.294 199.392 
point 40 398 625.923 218.311 
point 41 425 506.341 239.956 
point 42 429 199.369 157.046 
point 43 444 150.187 10.2239 
point 44 452 261.694 76.1044 
point 45 463 602.345 41.0749 
point 46 468 267.642 54.1518 
point 47 470  401.76 238.497 
point 48 475 417.106 228.921 
point 49 484  309.96 171.075 
point 50 491 605.886 204.948 
point 51 492 383.351 177.791 
point 52 508 389.452 179.014 
point 53 532 573.855 148.251 
point 54 560 328.427 201.839 
point 55 565 308.325 238.608 
point 56 566 234.139 236.601 
point 57 568 461.249 219.427 
point 58 584 180.393 203.077 
point 59 602 194.215 171.376 
point 60 615 188.665  185.28 
point 61 617 562.584  166.01 
point 62 620 191.639 55.7266 
point 63 638 294.114 204.167 
point 64 639 409.875 212.861 
point 65 644 571.584 185.213 
point 66 651 341.711 160.999 
point 67 659 194.878 213.112 
point 68 661 539.036 175.916 
point 69 664 495.677  188.97 
point 70 665 261.681 202.683 
point 71 695 457.239 217.394 
point 72 707 97.3066 197.488 
point 73 722 304.638 165.009 
point 74 731 304.648 191.705 
point 75 741 195.232 219.312 
point 76 743 97.4558 159.764 
point 77 745 241.308 152.411 
point 78 752 561.342 169.806 
point 79 763 287.975 147.056 
point 80 775 132.027 128.803 
point 81 776  480.08 171.143 
point 82 791 90.7712 22.5675 
point 83 794 510.636 213.073 
point 84 797 506.381 192.033 
point 85 801 84.9796 149.568 
point 86 805 599.332 177.801 
point 87 818 211.187 189.291 
point 88 819  405.03 210.899 
point 89 821 468.851 193.517 
point 90 841 502.064  182.26 
point 91 843 625.576   147.2 
point 92 855 240.205 136.823 
point 93 876 526.694 170.845 
point 94 880 547.067 201.627 
point 95 883 564.181 224.429 
point 96 903 412.679 152.742 
point 97 918 374.487 221.598 
point 98 931 320.069  173.59 
point 99 942 525.054 222.936 
point 100 943 52.4193 224.282 
point 101 961 306.383 146.214 
point 102 967 630.556 196.269 

