seq: 57
gt_pose:  5.30095 -4.83965 -3.00639
odom_pose: 4.94463 -4.8405 3.12657
point 0 5 453.553 192.536 
point 1 6 519.665 173.012 
point 2 11 284.161 201.369 
point 3 14  585.44 194.316 
point 4 23  381.43 166.998 
point 5 26 347.296 153.161 
point 6 38 454.636 91.3748 
point 7 48 331.176 149.618 
point 8 66 283.445 174.912 
point 9 78 487.435 213.879 
point 10 102 224.815  163.46 
point 11 107 44.3446 159.531 
point 12 109 555.652   229.4 
point 13 116 411.025 228.962 
point 14 118 251.378 122.552 
point 15 119 538.731 198.163 
point 16 123 509.637 154.218 
point 17 138 397.958  228.69 
point 18 175 588.946 183.251 
point 19 182 151.211  224.69 
point 20 184 497.567 208.292 
point 21 187 176.404  137.51 
point 22 200 514.872  180.34 
point 23 220  204.06 191.088 
point 24 236 218.165 202.988 
point 25 242 370.255 167.124 
point 26 256 34.9632 173.555 
point 27 277 411.442 179.833 
point 28 299 196.786 160.013 
point 29 301 582.046  207.27 
point 30 303 624.912 216.105 
point 31 323 266.942 199.739 
point 32 327 586.771 144.375 
point 33 359  409.57 160.547 
point 34 364 485.208 214.325 
point 35 374 113.978 95.1396 
point 36 382 387.669 201.421 
point 37 387 595.984 196.748 
point 38 425 519.357 239.952 
point 39 429 167.829 137.996 
point 40 452 234.108 10.8618 
point 41 470 405.048 238.374 
point 42 475 421.739 228.003 
point 43 484 304.616 159.541 
point 44 491   622.9 202.443 
point 45 492 385.336 172.485 
point 46 508 392.739 173.092 
point 47 525 201.385 237.945 
point 48 529 432.862 202.791 
point 49 532 628.535 127.074 
point 50 560 325.844 197.806 
point 51 565 303.472 238.447 
point 52 566 217.298 236.077 
point 53 568 468.321 217.902 
point 54 584 156.057 197.588 
point 55 596 635.765 214.185 
point 56 597  364.55 178.939 
point 57 602 174.237 162.403 
point 58 615 170.966 179.347 
point 59 617 577.724 160.349 
point 60 620 151.582 3.95926 
point 61 638 287.776 200.213 
point 62 639 421.878 208.118 
point 63 644 583.709 181.838 
point 64 651  340.69 151.969 
point 65 659 178.303 210.291 
point 66 661 554.781   170.3 
point 67 664 529.322 178.081 
point 68 665  249.77 197.351 
point 69 695 465.932 215.396 
point 70 707 54.7872 190.068 
point 71 722 299.755 157.938 
point 72 724 281.291 183.721 
point 73 731 290.803 163.729 
point 74 741 177.936 217.019 
point 75 745 223.143 136.314 
point 76 752 578.588 163.787 
point 77 763 279.281 132.362 
point 78 775 95.5053  109.36 
point 79 776 488.798 165.928 
point 80 794 523.702 210.741 
point 81 797 521.754 187.178 
point 82 801 20.8443  126.39 
point 83 805 612.502 174.117 
point 84 818 193.311 182.608 
point 85 819 408.616 208.504 
point 86 821  491.15 185.393 
point 87 841 513.592 177.516 
point 88 855 222.503 118.689 
point 89 876 536.618 166.395 
point 90 880 558.651 199.097 
point 91 883 575.901 223.467 
point 92 903 432.996 129.866 
point 93 918 381.266  218.04 
point 94 925 306.557 181.584 
point 95 931 316.564 165.707 
point 96 936 431.092 164.115 
point 97 942 539.922 221.412 
point 98 961 301.064 134.009 

