seq: 62
gt_pose:    4.304 -4.95319 -3.05002
odom_pose:  3.95761 -4.80472  3.08741
point 0 5 482.322 178.938 
point 1 11 264.892 190.682 
point 2 23 390.946 144.292 
point 3 24 371.511 183.801 
point 4 26 350.722  108.18 
point 5 48 325.315 117.864 
point 6 66  263.63 156.366 
point 7 72  428.76 218.706 
point 8 78 518.221 207.634 
point 9 92 494.402 209.984 
point 10 102 179.654 135.059 
point 11 109 600.159 226.984 
point 12 111 583.414 232.836 
point 13 116 440.112 224.188 
point 14 123 550.774 131.355 
point 15 138 437.086  221.35 
point 16 143 122.525 160.535 
point 17 146 390.422 181.306 
point 18 175 628.019 173.117 
point 19 184 550.442 197.085 
point 20 186 611.282 180.376 
point 21 187 93.4806 85.8468 
point 22 200 554.689 165.294 
point 23 216 511.845 200.349 
point 24 220 148.877 171.999 
point 25 234 327.079 157.614 
point 26 236 177.591 191.687 
point 27 242 373.541  148.95 
point 28 245 539.513  199.06 
point 29 251 594.208 232.025 
point 30 262 517.307 186.171 
point 31 277 424.683 165.037 
point 32 299 88.6632 97.6461 
point 33 323  240.63 187.027 
point 34 326 325.032 183.449 
point 35 334 434.524 217.894 
point 36 352 526.518  215.68 
point 37 359 423.203 140.203 
point 38 364 518.532 207.694 
point 39 382 400.948 188.289 
point 40 425 566.803 239.939 
point 41 470 417.821 237.952 
point 42 472 465.465 208.759 
point 43 475 439.204 224.841 
point 44 484 281.678 101.353 
point 45 492 393.803 154.038 
point 46 493 204.733 226.324 
point 47 508 406.564 151.488 
point 48 525 153.049 237.274 
point 49 529 449.691 194.219 
point 50 541 531.523 234.114 
point 51 560 318.116 182.549 
point 52 565 286.605 237.811 
point 53 566 141.326 233.605 
point 54 568 493.172 212.832 
point 55 584 47.5273 172.362 
point 56 597 366.677 163.303 
point 57 602 92.5661 124.489 
point 58 610 522.423 175.065 
point 59 615 105.34 156.64 
point 60 617 629.933 141.344 
point 61 638 265.478 184.957 
point 62 639 489.168  183.24 
point 63 644 623.237 171.139 
point 64 651 338.946  116.52 
point 65 659  117.84 199.657 
point 66 661 611.658 150.589 
point 67 665  199.64 173.515 
point 68 691  510.41 203.836 
point 69 695 498.168  208.36 
point 70 702  225.9 212.93 
point 71 722 283.915  132.44 
point 72 724 261.133 168.028 
point 73 741 113.231 208.153 
point 74 745  127.91 47.7217 
point 75 751 323.385 222.578 
point 76 763 241.085 61.6222 
point 77 776 519.341 148.477 
point 78 794 570.961 202.591 
point 79 797 580.745  169.16 
point 80 802 222.275 219.245 
point 81 818 120.188 154.237 
point 82 819 422.435 200.276 
point 83 821 612.421 142.792 
point 84 833 258.255 169.236 
point 85 841 554.664 161.233 
point 86 855 133.567 23.1019 
point 87 862 471.104 205.025 
point 88 870 134.387 213.794 
point 89 876 569.546 152.144 
point 90 880 597.148 190.947 
point 91 883 614.178 220.414 
point 92 887  344.91 224.883 
point 93 908 516.495 155.069 
point 94 918 425.841  197.38 
point 95 925 293.389 165.164 
point 96 931 304.923 134.161 
point 97 936  447.42 146.701 
point 98 942 594.119 216.024 
point 99 944 533.34 190.08 
point 100 961 281.372 82.5874 
point 101 965 440.323 169.725 
point 102 977 299.691 176.712 
point 103 985 195.934 223.984 

