seq: 64
gt_pose:  3.90399 -4.98641 -3.06747
odom_pose:  3.54902 -4.78277  3.09286
point 0 5 499.878 170.988 
point 1 11  254.47 184.509 
point 2 23 397.481 130.617 
point 3 24 373.332 178.027 
point 4 26 354.814 73.5929 
point 5 48 322.531 97.7928 
point 6 66 252.799 145.544 
point 7 72 433.559 217.102 
point 8 78 535.816 204.188 
point 9 92 503.727 207.794 
point 10 102 151.409 116.679 
point 11 109 624.965 225.668 
point 12 111 597.138 232.371 
point 13 116 461.523 220.867 
point 14 123  574.93 118.308 
point 15 138 474.013 214.788 
point 16 143 92.0637 149.699 
point 17 146 392.653  176.61 
point 18 184 584.878 189.983 
point 19 186 624.206 177.042 
point 20 187 32.1514 46.7597 
point 21 200  577.66 156.856 
point 22 216 523.541 197.225 
point 23 220  113.38 159.361 
point 24 233 615.917 234.467 
point 25 234  324.36 148.769 
point 26 236 154.113 184.928 
point 27 242 376.013 138.795 
point 28 245 553.403  195.83 
point 29 251 609.547  231.48 
point 30 262 529.963 181.783 
point 31 277 432.677 156.804 
point 32 323 225.513 179.329 
point 33 326 322.073 177.977 
point 34 334 439.664 216.247 
point 35 352 538.332 213.888 
point 36 359 431.536 128.742 
point 37 364 538.017 203.947 
point 38 382 410.122 180.095 
point 39 425 595.251 239.931 
point 40 470 425.713 237.713 
point 41 472 473.614 206.276 
point 42 475 449.807 223.044 
point 43 484 261.614 44.7286 
point 44 492 399.374 143.425 
point 45 493 186.34 224.56 
point 46 508 415.848  138.29 
point 47 514 524.969 198.118 
point 48 525 124.235 236.862 
point 49 529 459.463  189.54 
point 50 541 542.844 233.704 
point 51 560 314.122 172.786 
point 52 565 276.276  237.38 
point 53 566 76.7276 231.442 
point 54 568 507.307 210.067 
point 55 597 368.529 154.495 
point 56 602 33.2343 96.3176 
point 57 607 502.179 238.135 
point 58 610 532.225 170.837 
point 59 615 63.6947 141.888 
point 60 638 251.852 174.938 
point 61 639 561.574 157.401 
point 62 651 338.852 92.7029 
point 63 659 80.2603 192.883 
point 64 665 160.833 154.301 
point 65 691 521.075 201.164 
point 66 695 517.738 204.249 
point 67 702 212.956 210.197 
point 68 722 275.183 117.089 
point 69 724 250.172 158.939 
point 70 726 580.701 202.533 
point 71 741 71.6438 202.314 
point 72 751 320.266 220.997 
point 73 776 536.721 138.889 
point 74 794 599.039 197.872 
point 75 797 618.474 157.909 
point 76 799 161.898 170.984 
point 77 802 208.033 216.957 
point 78 818 66.8627 133.013 
point 79 819 430.936 195.612 
point 80 833 248.275 161.766 
point 81 841 578.598 152.009 
point 82 862 481.138 201.905 
point 83 870 105.006 210.146 
point 84 876 587.219 144.708 
point 85 879 256.758 183.572 
point 86 880 617.882 186.665 
point 87 883 634.401 218.838 
point 88 884 303.178 227.186 
point 89 887  343.76 223.497 
point 90 908 529.365 148.022 
point 91 918 484.838 171.583 
point 92 925 286.461 155.627 
point 93 931 298.042 112.409 
point 94 936 456.907 137.205 
point 95 942 626.681  212.86 
point 96 944 545.425 186.456 
point 97 958 491.247 170.541 
point 98 961 268.141 44.5295 
point 99 965 448.063 163.188 
point 100 977 294.007 169.838 
point 101 978 515.383 218.909 
point 102 985 179.165 222.266 

