seq: 65
gt_pose:  3.70378 -5.00041  -3.0762
odom_pose: 3.34523 -4.7729 3.10738
point 0 5 510.679 166.173 
point 1 11 248.363 180.796 
point 2 23 401.695 122.186 
point 3 24 374.525 174.662 
point 4 26 358.148 48.4365 
point 5 48 320.976 85.0404 
point 6 66 246.413 138.997 
point 7 72 436.347 216.202 
point 8 78 546.26 202.17 
point 9 92 509.031 206.571 
point 10 102  133.42 104.825 
point 11 109 639.515 224.904 
point 12 111 604.806 232.114 
point 13 116 476.298 218.618 
point 14 123 589.508 110.518 
point 15 138 504.836   209.4 
point 16 143 73.6303  143.08 
point 17 146 394.016  173.96 
point 18 163 191.239 169.358 
point 19 166 535.972  210.51 
point 20 184 607.009 185.463 
point 21 186 631.331 175.223 
point 22 200 591.384 151.869 
point 23 216 530.231 195.465 
point 24 220 90.3866 151.087 
point 25 233  622.22 234.318 
point 26 234 322.903 143.581 
point 27 236 139.878 180.778 
point 28 242 377.614 132.804 
point 29 245 561.331 194.011 
point 30 251 618.152 231.177 
point 31 262 537.225 179.301 
point 32 277 437.523 151.959 
point 33 318 180.497 170.275 
point 34 323 216.348 174.566 
point 35 326 320.488 174.815 
point 36 334 442.639 215.325 
point 37 352 545.036 212.885 
point 38 359 436.624 121.948 
point 39 364 549.734 201.723 
point 40 382  416.11 174.932 
point 41 425  612.64 239.926 
point 42 470 430.553 237.571 
point 43 472 478.312 204.875 
point 44 475 456.278 221.972 
point 45 492 402.875 137.059 
point 46 493 175.385 223.493 
point 47 508 421.816 130.081 
point 48 514 530.036 196.743 
point 49 525  106.46 236.605 
point 50 529 465.285 186.815 
point 51 541 549.229 233.476 
point 52 560 311.786 166.535 
point 53 565  269.67 237.094 
point 54 566 25.1369 229.698 
point 55 568 515.663 208.458 
point 56 597 369.774 149.274 
point 57 607 506.595 238.072 
point 58 610 537.727 168.501 
point 59 615 36.9979  132.35 
point 60 638 243.217 168.414 
point 61 639 630.538 133.039 
point 62 651 339.043 76.9577 
point 63 659 56.4843 188.557 
point 64 665 131.965  139.81 
point 65 691 527.138 199.669 
point 66 695 529.754  201.76 
point 67 702 205.563 208.608 
point 68 722 269.985 107.627 
point 69 724 243.732 153.465 
point 70 726 586.706 201.431 
point 71 741 44.7544 198.505 
point 72 751 318.596 220.091 
point 73 776 547.012 133.286 
point 74 794 616.112  195.03 
point 75 799 152.066 167.425 
point 76 802 199.789  215.61 
point 77 818 29.1954 117.888 
point 78 819 436.145 192.837 
point 79 833 242.572 157.395 
point 80 841  592.98 146.524 
point 81 858 629.918 170.399 
point 82 861 394.828 192.775 
point 83 862 486.989 200.121 
point 84 870 87.1638 207.909 
point 85 876 597.367 140.485 
point 86 879 252.159 180.962 
point 87 880 629.815 184.224 
point 88 884 300.787 226.636 
point 89 887 343.219 222.702 
point 90 908 536.765 144.029 
point 91 918 553.818 141.871 
point 92 925 282.446 149.874 
point 93 931 293.685 97.7767 
point 94 936 462.559  131.68 
point 95 941 303.233 218.249 
point 96 944 552.268 184.432 
point 97 958 495.421 168.173 
point 98 961 259.112 17.6176 
point 99 965 452.631 159.431 
point 100 977 290.807   165.8 
point 101 978 520.423 218.185 
point 102 985 169.469 221.258 

