seq: 74
gt_pose:   1.9031 -4.98111  2.94521
odom_pose:  1.54291 -4.57955  2.86436
point 0 5 611.534 103.349 
point 1 9 181.839 141.922 
point 2 24 357.831 118.995 
point 3 43 277.777 219.995 
point 4 63 609.484 211.996 
point 5 72 424.885 207.634 
point 6 78 591.912 185.554 
point 7 81 199.382 172.538 
point 8 92 500.357 199.232 
point 9 111 571.951 231.738 
point 10 121  79.481 152.642 
point 11 128 93.4883  143.83 
point 12 146 374.238 141.457 
point 13 166 507.586 207.879 
point 14 175 631.844 161.071 
point 15 186 579.042 176.734 
point 16 195 306.585 177.081 
point 17 216 528.281  185.25 
point 18 227 188.221 230.214 
point 19 233 567.806 234.496 
point 20 234 256.749 32.7159 
point 21 242 369.401 25.4566 
point 22 245 556.688 185.535 
point 23 251 586.814 230.732 
point 24 253 50.3253 219.277 
point 25 262 538.785 164.817 
point 26 277 466.061 85.1461 
point 27 278 117.211 196.371 
point 28 288   144.4 197.525 
point 29 292 264.045 213.068 
point 30 294 176.932 174.386 
point 31 309  362.75 208.273 
point 32 326 255.385 113.384 
point 33 334 431.542 206.903 
point 34 345 64.1721 173.694 
point 35 346 638.267 180.611 
point 36 350 360.455 181.725 
point 37 352  534.85 208.203 
point 38 356 178.622 188.872 
point 39 359 472.706 22.4697 
point 40 364 617.421 181.218 
point 41 369 313.178 233.801 
point 42 382 550.819 22.7496 
point 43 405 631.325 180.574 
point 44 409 284.252 200.592 
point 45 422 268.983 197.113 
point 46 459  225.16 214.278 
point 47 466 10.3558 177.399 
point 48 470  466.39 235.394 
point 49 471 54.2255 190.865 
point 50 472 476.701 193.643 
point 51 475 508.723 206.849 
point 52 492 429.732 18.8826 
point 53 497 283.625 201.889 
point 54 499 633.288 207.653 
point 55 514 508.492 191.217 
point 56 529 492.092  156.13 
point 57 541 533.026 232.559 
point 58 544 635.276 211.957 
point 59 546 179.735 181.938 
point 60 547 38.7289 139.023 
point 61 568 550.448 194.096 
point 62 597 356.786    49.1 
point 63 607 488.156 237.754 
point 64 610 517.369 159.316 
point 65 642 284.928 166.631 
point 66 644 633.277 157.028 
point 67 676 217.682 232.221 
point 68 686 86.3607  175.83 
point 69 688 78.9642 236.906 
point 70 691 518.769 191.628 
point 71 695 634.032 171.817 
point 72 701  119.51 191.346 
point 73 720 385.387 184.203 
point 74 726 547.549 200.415 
point 75 738 174.289 231.655 
point 76 751 253.699 203.283 
point 77 755 342.385 237.517 
point 78 766 202.691  202.62 
point 79 774 305.397 222.713 
point 80 776 589.073 88.4187 
point 81 783 327.987 222.552 
point 82 819 476.366 150.901 
point 83 825 266.592 184.847 
point 84 829 166.019  168.11 
point 85 833 44.5298 29.7886 
point 86 861 370.931 173.335 
point 87 862 498.659 184.578 
point 88 876 596.544 123.334 
point 89 879 112.314 118.949 
point 90 880 627.031   176.1 
point 91 883 626.679 216.088 
point 92 884 223.675 216.411 
point 93 887 299.137 209.256 
point 94 894 377.533 208.761 
point 95 908 540.509 120.021 
point 96 917 159.323  157.51 
point 97 936 487.952 69.0192 
point 98 941  230.19 202.916 
point 99 944 539.739  175.78 
point 100 954 195.121 214.932 
point 101 958 478.916 154.562 
point 102 962 426.717 202.777 
point 103 965 463.269 119.094 
point 104 977 177.844 66.0549 
point 105 978 503.027 214.748 

