seq: 75
gt_pose:  1.70747 -4.93641  2.88849
odom_pose:  1.35345 -4.52043  2.81028
point 0 5 616.829 95.1998 
point 1 9 152.718 129.504 
point 2 24 349.881 106.245 
point 3 43 263.083 218.379 
point 4 63 586.548 213.206 
point 5 72 417.095  206.64 
point 6 74 170.168 201.505 
point 7 78 584.228 184.835 
point 8 81 173.377 164.474 
point 9 92 489.983 199.133 
point 10 98 104.987 218.184 
point 11 111 554.552 231.962 
point 12 117 76.8604  222.68 
point 13 121 25.0195 137.214 
point 14 128 43.7293 127.756 
point 15 139 182.166 187.531 
point 16 146 366.015 136.008 
point 17 166 494.531 208.302 
point 18 175 610.236 163.852 
point 19 186 559.363 178.988 
point 20 195 295.016 173.966 
point 21 200 639.427 115.442 
point 22 216 517.272 185.292 
point 23 227 162.559 229.154 
point 24 245 543.511 186.084 
point 25 251   568.5 231.001 
point 26 262 527.619 164.918 
point 27 277 464.949 73.8016 
point 28 278 80.5509  190.93 
point 29 288 112.688 192.597 
point 30 292 248.547  210.99 
point 31 294 148.323 166.542 
point 32 309 353.473 207.049 
point 33 326  234.41 95.9206 
point 34 334 423.617 205.997 
point 35 345 4.86171 161.444 
point 36 346 611.594 183.651 
point 37 350 350.914 179.903 
point 38 352 522.362 208.459 
point 39 355 99.1838 223.792 
point 40 356 152.085 183.375 
point 41 359 473.394 4.41165 
point 42 364 612.004  180.02 
point 43 369  301.95 233.505 
point 44 387 636.873 179.132 
point 45 405 605.425 183.536 
point 46 409 270.978 198.119 
point 47 415 211.306 189.357 
point 48 422 253.491 193.571 
point 49 455 210.801 208.082 
point 50 459 205.507 211.992 
point 51 470 467.656 234.973 
point 52 472 468.487 192.827 
point 53 475 511.076 204.327 
point 54 497 270.034 199.291 
point 55 499 607.562 209.235 
point 56 514  496.13 191.659 
point 57 529 488.511 152.285 
point 58 541 519.918 232.643 
point 59 546 150.435 174.617 
point 60 568 544.165 193.101 
point 61 596 617.596 210.276 
point 62 597   349.5 22.1253 
point 63 607 477.143 237.759 
point 64 610  504.67 160.148 
point 65 642 271.865 162.278 
point 66 644  612.12 159.811 
point 67 676 195.109 231.378 
point 68 686 37.6078 165.666 
point 69 688 30.3262 236.432 
point 70 691 507.451 191.758 
point 71 695 636.929  168.59 
point 72 701 84.2742 185.537 
point 73 720 376.175  182.87 
point 74 726 531.159 201.438 
point 75 738 149.105 230.851 
point 76 751 233.617 198.724 
point 77 755 332.438 237.405 
point 78 766 180.693 199.177 
point 79 774 293.616 221.766 
point 80 776 580.927 86.6759 
point 81 783 317.458 221.814 
point 82 805 625.075 155.794 
point 83 819 478.117 143.015 
point 84 825 252.158 181.296 
point 85 829 138.748 160.625 
point 86 854 630.139 224.576 
point 87 861 362.202 170.277 
point 88 862 491.521 183.343 
point 89 876 580.949 125.358 
point 90 879 61.9205  96.695 
point 91 880 608.672 177.678 
point 92 883 606.456 216.833 
point 93 884 200.573  213.61 
point 94 887 285.182 205.993 
point 95 888 368.638 169.743 
point 96 894 368.229 207.963 
point 97 908 529.546 120.057 
point 98 917 129.444 148.013 
point 99 936  484.33 61.0309 
point 100 937 619.572 235.544 
point 101 941 208.847 198.869 
point 102 944 526.664 176.466 
point 103 954 170.559 212.283 
point 104 958 468.547 154.362 
point 105 962 417.628 202.186 
point 106 965 457.887 114.098 
point 107 976 110.194 203.403 
point 108 977  134.06 28.3261 
point 109 978 491.422 214.872 

