seq: 77
gt_pose:  1.32537 -4.81413  2.77505
odom_pose: 0.947642  -4.3466   2.6782
point 0 5  635.67 73.5235 
point 1 9 66.7825 90.0367 
point 2 10 225.709 227.018 
point 3 24 331.977 68.2622 
point 4 43 227.146   213.9 
point 5 72 401.968  204.07 
point 6 74 111.893 192.665 
point 7 78 571.462 182.718 
point 8 81 98.8786 139.425 
point 9 92 470.789  198.51 
point 10 98 18.3939 211.882 
point 11 109 612.525 222.446 
point 12 111 523.702 232.302 
point 13 122 70.2213 205.467 
point 14 129 293.716 175.912 
point 15 139  129.64 176.512 
point 16 146 348.834  121.73 
point 17 155 229.646 229.776 
point 18 166 470.597 208.808 
point 19 175 572.794 168.174 
point 20 183 123.934 181.107 
point 21 195 269.281 165.895 
point 22 200 620.815 113.848 
point 23 216 497.182 184.811 
point 24 227 91.3969 225.976 
point 25 245  519.73 186.613 
point 26 247 147.552 200.111 
point 27 251 536.212 231.411 
point 28 262 507.343 164.343 
point 29 277 466.702 42.8294 
point 30 288 21.4595 177.479 
point 31 292  210.68 205.288 
point 32 294 65.7535 142.189 
point 33 303 618.405 209.917 
point 34 309 334.119 203.904 
point 35 326 172.351 38.1722 
point 36 334 408.315 203.637 
point 37 339 192.183 175.647 
point 38 350 331.153 175.206 
point 39 352 499.629 208.645 
point 40 355 8.89239 218.969 
point 41 356 78.4806 166.947 
point 42 364 604.389  176.77 
point 43 369 277.175 232.738 
point 44 381 16.5112 190.461 
point 45 387 596.966 182.751 
point 46 409 240.107 191.562 
point 47 415 167.756 179.937 
point 48 422 215.191 183.711 
point 49 455 166.333 201.941 
point 50 459 154.886 205.521 
point 51 470 476.618 233.769 
point 52 472 453.219 190.581 
point 53 475 522.469 197.386 
point 54 479 159.756 202.132 
point 55 497  237.99 192.316 
point 56 503  393.69 208.496 
point 57 514 473.403 192.043 
point 58 522 155.082 180.743 
point 59 529 483.795 142.308 
point 60 541 496.071 232.733 
point 61 546 64.0671 151.389 
point 62 568 533.873 190.433 
point 63 596 573.853 212.593 
point 64 607 456.645 237.744 
point 65 610 481.422 160.977 
point 66 642 241.745 150.815 
point 67 644 575.386 164.117 
point 68 676 133.199 228.851 
point 69 691  486.69 191.522 
point 70 720 357.616 179.368 
point 71 726 501.875 202.976 
point 72 738 81.5946 228.531 
point 73 751 176.788 184.335 
point 74 755 311.091 237.114 
point 75 760 276.089 190.125 
point 76 766 122.983 189.347 
point 77 767 290.342 238.398 
point 78 774 267.098 219.294 
point 79 776 567.172 81.3595 
point 80 783 294.713 219.916 
point 81 784 143.011 179.652 
point 82 805 583.469 161.536 
point 83 819 488.346 120.602 
point 84 825 218.099 171.851 
point 85 829 63.6622 138.499 
point 86 841 635.663 101.403 
point 87 854  581.88 225.964 
point 88 861 344.007 162.374 
point 89 862 478.767 180.053 
point 90 876 553.227 128.083 
point 91 880 576.444 180.019 
point 92 883 571.193 217.977 
point 93 884 135.228 204.926 
point 94 887 249.315 196.261 
point 95 888 349.655 165.468 
point 96 894  349.34 205.881 
point 97 908 509.668 118.886 
point 98 917 44.0431  118.95 
point 99 922  31.556 195.248 
point 100 936 479.481 40.2814 
point 101 937  574.68 235.907 
point 102 941 150.501 186.702 
point 103 944 502.928 177.167 
point 104 954 103.187 204.409 
point 105 958 449.134 153.076 
point 106 962 399.978 200.535 
point 107 965 448.593 101.192 
point 108 967 609.543 187.106 
point 109 974 402.929 235.133 
point 110 976 25.9321  192.97 
point 111 978 469.994 214.865 
point 112 987 49.8125 186.536 
point 113 999 72.3831 185.235 

