seq: 78
gt_pose:  1.14013 -4.73694  2.71833
odom_pose:  0.78956 -4.26299    2.632
point 0 10 207.063 225.979 
point 1 24  321.17 38.4856 
point 2 43 204.065 210.708 
point 3 72  394.55 202.427 
point 4 74  71.969 186.205 
point 5 78 566.386 181.277 
point 6 81 40.6379 118.619 
point 7 92 461.855 197.974 
point 8 109 598.568 222.626 
point 9 111 509.882 232.423 
point 10 122    24.1 200.668 
point 11 123 638.976 36.7448 
point 12 129  281.36 172.441 
point 13 139 94.6531 168.646 
point 14 146 339.624 112.281 
point 15 155 211.286 228.955 
point 16 166 459.522   208.9 
point 17 175 556.392 169.812 
point 18 183  87.929 173.718 
point 19 195 254.577 160.636 
point 20 197 262.858 195.662 
point 21 200  613.04 112.349 
point 22 203 42.2141 220.145 
point 23 216 487.974  184.28 
point 24 223 92.9856  172.04 
point 25 226 631.965 173.521 
point 26 227 38.3712 223.463 
point 27 245 508.935 186.602 
point 28 247 117.189 195.695 
point 29 251 521.831 231.561 
point 30 262 498.103 163.657 
point 31 277 470.407 21.2016 
point 32 292 186.481 201.277 
point 33 294 0.833497  121.971 
point 34 303 598.563 210.844 
point 35 309 323.813 201.888 
point 36 334 400.863 202.126 
point 37 339 169.153 169.673 
point 38 350 320.731 172.211 
point 39 351 119.972 171.692 
point 40 352 489.212 208.578 
point 41 356  23.712 154.007 
point 42 364  602.31 174.643 
point 43 369 263.144 232.241 
point 44 378 58.0357 178.984 
point 45 387  579.61 184.128 
point 46 409 221.521 187.149 
point 47 415 139.858 173.396 
point 48 422 190.298 176.644 
point 49 455 137.614 197.644 
point 50 459 120.498 200.782 
point 51 470 486.164 232.874 
point 52 472 446.109 189.105 
point 53 475 533.066  192.49 
point 54 479 130.964 197.997 
point 55 491 619.614 191.046 
point 56 497 218.353 187.546 
point 57 503 384.377  207.89 
point 58 511 148.169  166.73 
point 59 514 462.867 191.991 
point 60 522 126.549  174.52 
point 61 528 114.547 165.282 
point 62 529 482.918 135.813 
point 63 541 485.139 232.741 
point 64 568 529.918 188.699 
point 65 596 555.027 213.495 
point 66 599 621.298 211.576 
point 67 607 447.026 237.725 
point 68 610 470.691 160.988 
point 69 617 625.983 113.071 
point 70 622 627.407 158.561 
point 71 626 145.058 165.584 
point 72 642 223.806 143.171 
point 73 644 559.271 165.735 
point 74 657 172.846  212.74 
point 75 676 87.4705 226.851 
point 76 691 477.111 191.153 
point 77 720 348.125  177.12 
point 78 728 26.4999 169.861 
point 79 734 75.5593 212.929 
point 80 738 33.6603 226.785 
point 81 751 132.354 172.111 
point 82 755 299.352 236.926 
point 83 760 262.283 186.956 
point 84 766 82.9829 182.063 
point 85 767 277.813 238.312 
point 86 774 251.717 217.663 
point 87 776 561.548 77.6799 
point 88 783 282.138 218.695 
point 89 784 111.718 172.832 
point 90 805 565.444 163.752 
point 91 819 498.694 104.105 
point 92 825 197.283 165.466 
point 93 829  8.4652 121.323 
point 94 840 132.682 184.431 
point 95 841 628.842 99.3743 
point 96 852 266.435 185.197 
point 97 861 334.308 157.251 
point 98 862 473.145 177.924 
point 99 876 540.827 128.835 
point 100 880 562.188 180.828 
point 101 883 555.665 218.401 
point 102 884 84.7329 197.735 
point 103 887 224.369 188.618 
point 104 888 339.892 162.725 
point 105 894 339.597 204.547 
point 106 908 500.631 117.657 
point 107 936 478.511 26.7552 
point 108 937 555.426 236.049 
point 109 940 137.693 206.725 
point 110 941 107.457 177.041 
point 111 944 492.076 177.195 
point 112 954  53.665 198.254 
point 113 958 439.973 151.968 
point 114 962 391.311 199.442 
point 115 965 444.766 92.8603 
point 116 967 588.834 188.962 
point 117 974 393.564 235.054 
point 118 978 460.023 214.733 
point 119 999 26.8591 177.687 

