seq: 79
gt_pose:  0.95956 -4.64938  2.66161
odom_pose: 0.645954 -4.17612  2.55995
point 0 10 185.586 224.702 
point 1 43 175.419 206.494 
point 2 68 616.875 239.528 
point 3 72 387.172 200.483 
point 4 74 19.8735 177.456 
point 5 78 562.212 179.541 
point 6 92 453.299 197.277 
point 7 109 585.719 222.742 
point 8 111 496.937 232.517 
point 9 123 634.682 32.0981 
point 10 126 32.6239 202.331 
point 11 129 268.007 168.319 
point 12 139 50.1892 158.239 
point 13 146 329.758 100.662 
point 14 155 190.156 227.947 
point 15 166  448.93 208.888 
point 16 175 541.244 171.149 
point 17 183  41.999 163.913 
point 18 195 238.127  154.26 
point 19 197 248.155 192.782 
point 20 200  606.25 110.348 
point 21 216 479.254 183.543 
point 22 223 52.5818 163.337 
point 23 245 498.766 186.407 
point 24 247 79.6455  189.99 
point 25 251 508.409 231.678 
point 26 262 489.392 162.691 
point 27 291 58.7562 202.528 
point 28 292 156.672 196.046 
point 29 303 580.478 211.621 
point 30 306 237.176 187.893 
point 31 309 312.883 199.487 
point 32 334 393.489 200.341 
point 33 339 141.812 162.188 
point 34 350 309.775 168.673 
point 35 351 85.1092 163.639 
point 36 352 479.332 208.402 
point 37 364 601.513 172.113 
point 38 369 247.554 231.639 
point 39 378 8.57529 170.131 
point 40 387 563.657 185.259 
point 41 409 199.798 181.631 
point 42 413 135.594 213.488 
point 43 415 105.592  164.97 
point 44 422   159.1 167.256 
point 45 431 48.6983 205.363 
point 46 455 102.068  192.07 
point 47 459 75.8157 194.349 
point 48 470 501.466  231.64 
point 49 472 439.317 187.351 
point 50 475 548.746  186.09 
point 51 479 95.5323 192.668 
point 52 491 601.045 192.327 
point 53 495  637.61 152.919 
point 54 497 195.027 181.492 
point 55 503 375.106 207.148 
point 56 511 118.565  158.89 
point 57 514 452.784 191.776 
point 58 522 91.6792 166.562 
point 59 528 77.8402 156.057 
point 60 529 483.292 127.961 
point 61 541 474.761 232.725 
point 62 551 17.0488 216.018 
point 63 568 526.826 186.644 
point 64 575 153.668  181.66 
point 65 596 537.798 214.255 
point 66 599 597.684 212.818 
point 67 607  437.75 237.698 
point 68 610 460.452 160.731 
point 69 617 610.904 114.782 
point 70 622 603.307 162.175 
point 71 626 114.206 157.259 
point 72 642 203.045 133.698 
point 73 644 544.378 167.043 
point 74 657 146.971 210.021 
point 75 669 638.018 236.499 
point 76 676 22.7175 223.908 
point 77 691 467.988 190.608 
point 78 720 338.378 174.469 
point 79 734 29.7474 209.124 
point 80 751 64.5871 152.589 
point 81 755 286.584 236.699 
point 82 760 247.052 183.152 
point 83 766 30.1162 172.059 
point 84 767 264.253 238.209 
point 85 769 308.663 183.778 
point 86 774 234.282 215.663 
point 87 776 556.777 73.2209 
point 88 783 268.428 217.233 
point 89 784 72.8304 163.984 
point 90 805 548.897 165.603 
point 91 819 514.889 81.6102 
point 92 825 172.687 157.451 
point 93 840 100.004 178.081 
point 94 841 623.089  96.765 
point 95 852 252.072 181.732 
point 96 861 323.993 151.074 
point 97 862 468.039 175.403 
point 98 876 529.252   129.2 
point 99 880 548.966 181.417 
point 100 883 541.286 218.739 
point 101 884 9.42408 186.589 
point 102 887 190.467 177.459 
point 103 888 329.824 159.491 
point 104 894 329.528 202.976 
point 105 908 492.128 115.972 
point 106 915 247.907  221.71 
point 107 936 478.773 10.3769 
point 108 938  6.1442 214.541 
point 109 940 106.261 203.039 
point 110 941  46.439 162.764 
point 111 944 481.795 177.008 
point 112 958 431.106 150.524 
point 113 962 382.678 198.142 
point 114 965 441.579 82.8723 
point 115 967 570.015  190.53 
point 116 974 384.294 234.955 
point 117 978 450.461 214.514 
point 118 998 194.334 176.018 

