seq: 82
gt_pose: 0.451762 -4.32778  2.49268
odom_pose: 0.189758 -3.82519  2.41245
point 0 10 91.4865  218.42 
point 1 25 29.3108 217.356 
point 2 28 218.082 205.203 
point 3 31 583.713 211.158 
point 4 32 2.98802 176.128 
point 5 39 597.094 176.548 
point 6 43 8.84914 179.125 
point 7 68 559.56 239.57 
point 8 72 364.978 192.082 
point 9 78 556.349 172.003 
point 10 80  290.14 232.896 
point 11 92 429.808 194.034 
point 12 109 553.381 222.705 
point 13 111   462.6 232.633 
point 14 123 630.263  11.127 
point 15 129 218.764 150.202 
point 16 146 292.887 43.0386 
point 17 155 97.6827 222.983 
point 18 156 628.592 187.413 
point 19 166 419.663 208.193 
point 20 167 43.7758 201.994 
point 21 175 502.177 173.505 
point 22 176 610.983 203.088 
point 23 195 171.309 124.222 
point 24 197 192.355 179.978 
point 25 200 592.555 100.635 
point 26 216 455.982 179.891 
point 27 245 471.789 184.624 
point 28 251 473.073 231.844 
point 29 262 466.417 157.829 
point 30 263 79.6537 200.895 
point 31 303 534.944 213.174 
point 32 306 178.749 173.869 
point 33 308 191.174 200.945 
point 34 309  274.12 188.831 
point 35 334 371.619 192.699 
point 36 339 10.7543 122.691 
point 37 350 271.991 153.462 
point 38 352 452.697 207.161 
point 39 364 609.391  161.17 
point 40 369 185.377 228.836 
point 41 387 522.955   187.3 
point 42 409 99.0998 152.711 
point 43 413 11.3906 201.296 
point 44 416 46.0657 233.491 
point 45 434 55.0866  180.79 
point 46 472 421.016 179.894 
point 47 491 554.598  194.86 
point 48 495 575.649 161.532 
point 49 497 80.4466 147.955 
point 50 503 347.119 203.934 
point 51 506 599.636 203.598 
point 52 514 424.948 190.071 
point 53 529 496.312 91.1058 
point 54 541 446.635 232.516 
point 55 555 344.237 233.357 
point 56 559 272.789 209.831 
point 57 568  524.26 177.813 
point 58 575  46.891 157.706 
point 59 577 316.202 231.819 
point 60 578   592.1 205.286 
point 61 599 540.206 215.485 
point 62 607 411.748 237.561 
point 63 610 432.376 158.233 
point 64 617 573.201  116.98 
point 65 622 544.816 169.938 
point 66 634 62.4374 180.134 
point 67 635 98.5968 238.963 
point 68 642  109.95 85.5807 
point 69 644 505.975 169.244 
point 70 657 27.1762 196.133 
point 71 679  252.52 213.985 
point 72 691 443.228 187.769 
point 73 700 2.48175 209.042 
point 74 708 92.0754 169.225 
point 75 720 306.665 163.272 
point 76 748 214.762 215.775 
point 77 752 635.809 102.075 
point 78 755  238.15 235.658 
point 79 760 187.677 165.819 
point 80 767 214.099 237.756 
point 81 769 272.215 174.193 
point 82 774 160.419 205.868 
point 83 776 548.627 53.7547 
point 84 783 216.475  210.64 
point 85 805 506.612 169.215 
point 86 806 627.149 238.051 
point 87 808 38.8299 177.339 
point 88 810 126.627 215.148 
point 89 820 349.988 204.504 
point 90 825 55.4278 114.858 
point 91 836 222.148 214.213 
point 92 841 613.324 84.5554 
point 93 852 198.053 166.415 
point 94 861 286.769 122.467 
point 95 862 456.537 164.635 
point 96 863 296.526  167.24 
point 97 876 499.103 127.881 
point 98 880 514.853 181.885 
point 99 881 589.043 189.196 
point 100 883 504.101  219.26 
point 101 888 296.764 145.843 
point 102 890   89.34 171.433 
point 103 894  296.26 196.321 
point 104 895 49.7062 214.966 
point 105 908 469.857 107.695 
point 106 915 193.168 216.964 
point 107 919 147.194 164.198 
point 108 921 93.4664 183.071 
point 109 929 626.402 167.791 
point 110 944 454.101 175.061 
point 111 958 406.074 143.817 
point 112 962 356.591 192.639 
point 113 965 437.651 37.3777 
point 114 967 522.729 193.774 
point 115 972 633.798 186.542 
point 116 974 356.689 234.517 
point 117 978 423.994 213.263 
point 118 998 113.882 154.093 

