seq: 83
gt_pose: 0.295339  -4.2021  2.43657
odom_pose: 0.0385732  -3.68309   2.36189
point 0 10 41.2523 214.789 
point 1 28 198.766 202.356 
point 2 31 567.395 211.788 
point 3 68 543.664  239.58 
point 4 72 357.276 188.018 
point 5 78 556.929 168.488 
point 6 80 277.507 232.477 
point 7 92 422.532 192.499 
point 8 109  544.29 222.568 
point 9 111 452.274 232.621 
point 10 123  631.91 1.24684 
point 11 129  197.35 141.187 
point 12 146 275.707 9.45714 
point 13 155 48.3285  220.11 
point 14 156 609.103  188.93 
point 15 166 410.482 207.734 
point 16 175 490.766 173.808 
point 17 176 594.147 203.872 
point 18 195 138.58 107.84 
point 19 197 167.318 173.505 
point 20 200 590.242 95.9514 
point 21 216 449.022  178.12 
point 22 240 626.599 173.369 
point 23 245 463.738 183.605 
point 24 251  462.53 231.843 
point 25 262  459.65 155.459 
point 26 263 35.6154 195.566 
point 27 303 521.949 213.475 
point 28 306 152.432 166.796 
point 29 308 168.471 197.402 
point 30 309 257.803 183.468 
point 31 331 350.097 222.959 
point 32 334 364.173 189.057 
point 33 350 256.725 146.132 
point 34 352 444.595 206.489 
point 35 364 616.364 155.992 
point 36 369  155.56 227.329 
point 37 387 511.205  187.59 
point 38 409 40.6097 134.498 
point 39 434 4.17113 171.955 
point 40 472 415.546 176.433 
point 41 491 541.449 195.341 
point 42 495 558.66 163.53 
point 43 497 8.1245 125.12 
point 44 503  337.44 202.453 
point 45 506 580.976 204.661 
point 46 514 416.235 189.123 
point 47 529 507.136  71.221 
point 48 541 438.015  232.39 
point 49 555 334.403 233.118 
point 50 559 258.903 207.915 
point 51 568 526.175 173.644 
point 52 570 69.5316 224.152 
point 53 577 305.211 231.421 
point 54 578  573.06 206.384 
point 55 607 403.476 237.494 
point 56 610 423.652 156.788 
point 57 617  562.63 116.822 
point 58 622 528.629 171.748 
point 59 634 13.8163  171.47 
point 60 635 56.5391 238.819 
point 61 642 58.3234 56.5519 
point 62 644 494.768 169.469 
point 63 648 209.676   220.2 
point 64 679 236.789 212.135 
point 65 691 435.651 186.366 
point 66 708 51.2181 160.028 
point 67 720 294.684 158.033 
point 68 748 195.106 213.776 
point 69 750 360.427 237.254 
point 70 752 625.857  101.56 
point 71 755 216.069 235.108 
point 72 760  160.08 156.772 
point 73 767 192.231  237.53 
point 74 769 258.014 169.717 
point 75 774 122.124 200.241 
point 76 776 548.198 44.6808 
point 77 783 193.037 207.246 
point 78 805 494.354 169.873 
point 79 806 604.892 238.126 
point 80 810 90.3443 211.943 
point 81 812 14.5543 232.994 
point 82 820 340.306 203.312 
point 83 836 203.511 212.185 
point 84 841 612.697 78.7404 
point 85 852 174.075 158.728 
point 86 861 270.543 107.242 
point 87 862 454.163 159.568 
point 88 863 284.424 163.288 
point 89 876 490.272 126.638 
point 90 880 504.936 181.633 
point 91 881 572.333 190.357 
point 92 883 493.223 219.287 
point 93 888 284.162 139.467 
point 94 890 46.6467 162.106 
point 95 891 82.3495 223.842 
point 96 894 283.472 193.191 
point 97 908 463.365 103.693 
point 98 915 168.895  214.59 
point 99 919 117.326 155.975 
point 100 921 51.1365 175.284 
point 101 929 608.427 169.515 
point 102 944 445.676 173.922 
point 103 958 398.052 140.647 
point 104 962 347.537 190.105 
point 105 965 439.105  13.773 
point 106 967 509.235  194.46 
point 107 968 623.731 168.697 
point 108 974 347.287 234.314 
point 109 978 415.694 212.626 
point 110 997 619.399 234.812 
point 111 998 74.0264 142.246 

