seq: 84
gt_pose:  0.14621 -4.06784  2.38047
odom_pose: -0.111843  -3.52866   2.30977
point 0 7 637.444 168.214 
point 1 12 47.521 234.29 
point 2 28 176.411 198.853 
point 3 31  552.33 212.301 
point 4 68 528.939 239.588 
point 5 72 349.212 182.986 
point 6 78 559.035 164.305 
point 7 80 263.747 231.979 
point 8 92 415.451 190.686 
point 9 109 535.891 222.369 
point 10 111  442.35 232.585 
point 11 129 171.751  129.75 
point 12 156 591.322   190.2 
point 13 166 401.469 207.152 
point 14 175 479.954  173.89 
point 15 176 578.668 204.507 
point 16 195 95.8539 85.4406 
point 17 197 136.782 165.186 
point 18 200  589.12 90.3969 
point 19 216 442.387 176.019 
point 20 240 606.275 175.497 
point 21 245 456.056  182.35 
point 22 251 452.439 231.815 
point 23 262 453.264 152.643 
point 24 303 509.769 213.684 
point 25 306 120.296 157.722 
point 26 308 141.619 192.981 
point 27 309 238.556 176.606 
point 28 320 634.071 233.111 
point 29 331 340.431 222.373 
point 30 334 356.483 184.602 
point 31 350  239.29 137.068 
point 32 352  436.78 205.672 
point 33 364 626.244 149.732 
point 34 369 117.232 225.293 
point 35 387  500.14 187.705 
point 36 420 34.9069 197.453 
point 37 433 47.6846 180.894 
point 38 472  410.37 172.303 
point 39 491 529.177 195.666 
point 40 495 542.999 165.187 
point 41 503 327.407  200.71 
point 42 506  563.89 205.553 
point 43 514 407.692 187.963 
point 44 529 523.759 44.3579 
point 45 541  429.66 232.235 
point 46 555 324.243 232.836 
point 47 559 243.567 205.617 
point 48 568 529.913 168.604 
point 49 570 23.9828 221.982 
point 50 577 293.541 230.952 
point 51 578 555.647 207.311 
point 52 600 214.711 205.989 
point 53 607 395.297 237.414 
point 54 610 415.134 155.005 
point 55 617 552.852 116.243 
point 56 635 1.36664 238.624 
point 57 644 484.158 169.459 
point 58 648 189.367 218.527 
point 59 679 219.083 209.895 
point 60 691 428.325 184.696 
point 61 720 281.567 151.709 
point 62 748 172.312 211.316 
point 63 750     351 237.168 
point 64 752 616.918 100.556 
point 65 755 188.546 234.375 
point 66 758 66.5962 218.296 
point 67 760 125.489 144.846 
point 68 767 166.054 237.244 
point 69 769 242.219  164.32 
point 70 772   11.34 169.434 
point 71 774 69.6844 192.195 
point 72 776  549.11 33.9126 
point 73 783 164.214 202.821 
point 74 805 482.777 170.291 
point 75 806 584.771  238.19 
point 76 810  43.777 207.666 
point 77 820 330.355 201.909 
point 78 836 182.081 209.703 
point 79 841 613.518  71.852 
point 80 848 305.342 212.869 
point 81 851 54.7337 220.149 
point 82 852 145.049 148.909 
point 83 861 250.731 86.8662 
point 84 862 452.692 153.446 
point 85 863  271.36 158.598 
point 86 876 481.921 124.976 
point 87 880 495.583 181.181 
point 88 881 556.931 191.307 
point 89 883 482.917 219.245 
point 90 888 270.302 131.777 
point 91 891 39.8658 221.717 
point 92 894 269.325 189.395 
point 93 908 457.281 98.9498 
point 94 915 139.554 211.565 
point 95 916 352.155 205.749 
point 96 919 80.5517 145.402 
point 97 929 591.964 170.932 
point 98 944 437.546 172.515 
point 99 958 390.085 136.904 
point 100 962 338.111 187.097 
point 101 967 496.576  194.98 
point 102 968 600.654 171.682 
point 103 974 337.626 234.074 
point 104 978 407.549 211.862 
point 105 997 597.366 235.013 
point 106 998 21.8982 126.168 

