seq: 85
gt_pose: 0.00484227   -3.92543    2.32436
odom_pose: -0.245678  -3.37419   2.26633
point 0 7 614.361 171.074 
point 1 21 617.891 200.179 
point 2 28 149.904 194.466 
point 3 31 538.351 212.706 
point 4 68 515.221 239.594 
point 5 72 340.601 176.631 
point 6 78 562.972 159.297 
point 7 80 248.514 231.379 
point 8 90 207.404 199.422 
point 9 92 408.536  188.55 
point 10 109 528.148 222.103 
point 11 111 432.767 232.523 
point 12 129 140.106 114.842 
point 13 156 575.005  191.25 
point 14 165 631.929 165.488 
point 15 166  392.57 206.436 
point 16 175 469.667 173.753 
point 17 176 564.369 205.005 
point 18 195 36.5886 53.1193 
point 19 197 98.1236 154.158 
point 20 200 589.321 83.8225 
point 21 216 436.066 173.539 
point 22 231 32.3181 225.842 
point 23 240 587.777 177.291 
point 24 245 448.713 180.835 
point 25 251 442.734 231.759 
point 26 262 447.248 149.315 
point 27 284 77.8865 202.953 
point 28 303 498.303 213.803 
point 29 306 79.5967 145.721 
point 30 308 108.958 187.343 
point 31 309 214.993 167.563 
point 32 320 607.895 233.461 
point 33 330 133.748 231.414 
point 34 331 330.488 221.683 
point 35 334 348.413 179.061 
point 36 350 218.849 125.638 
point 37 352 429.219 204.694 
point 38 364 639.822 142.074 
point 39 369 65.1343 222.406 
point 40 387  489.68 187.645 
point 41 454 627.421 162.534 
point 42 472 405.511 167.332 
point 43 491 517.681 195.839 
point 44 495 528.478 166.537 
point 45 503 316.896 198.654 
point 46 506  548.15 206.292 
point 47 514 399.272 186.568 
point 48 529 549.662 6.25356 
point 49 541 421.528 232.046 
point 50 543 277.393 218.662 
point 51 545 173.568 197.104 
point 52 555 313.642 232.505 
point 53 559 226.329 202.832 
point 54 568 535.956 162.433 
point 55 574 126.228   179.7 
point 56 577 280.985 230.395 
point 57 578 539.619 208.085 
point 58 591 620.945 192.096 
point 59 600 194.987 203.165 
point 60 607 387.16 237.32 
point 61 610 406.774 152.849 
point 62 617 543.811 115.233 
point 63 644 474.074 169.215 
point 64 648 165.704  216.46 
point 65 679 198.747 207.146 
point 66 691 421.221  182.72 
point 67 720 266.927 143.978 
point 68 748 145.224 208.229 
point 69 750 341.381 237.068 
point 70 752 608.948 99.0457 
point 71 755 152.445 233.358 
point 72 758 19.2455 215.211 
point 73 760 80.0799 128.486 
point 74 767 133.656 236.872 
point 75 769 224.311  157.73 
point 76 770 204.341 169.957 
point 77 776 551.607 21.0653 
point 78 783  127.22 196.843 
point 79 786 2.19745 204.607 
point 80 805 471.791 170.477 
point 81 806 566.445 238.244 
point 82 820 320.031 200.259 
point 83 836 156.867 206.613 
point 84 838  25.638 189.048 
point 85 841 615.986 63.6907 
point 86 844 154.802   224.3 
point 87 848 293.835 211.527 
point 88 851 4.71551 217.254 
point 89 852 108.643 135.994 
point 90 861 225.189 58.3369 
point 91 862 452.333 145.956 
point 92 863 257.049 152.993 
point 93 876 474.014 122.866 
point 94 880 486.743 180.522 
point 95 881 542.661 192.066 
point 96 883 473.115 219.133 
point 97 888 254.765 122.387 
point 98 894 253.347 184.727 
point 99 908 451.603  93.348 
point 100 915  102.84 207.599 
point 101 916 342.533 204.612 
point 102 919 33.5771 131.372 
point 103 923 95.6246 213.111 
point 104 929 576.811  172.07 
point 105 944 429.672  170.81 
point 106 952 179.383 200.636 
point 107 958 382.123 132.496 
point 108 962 328.171 183.501 
point 109 967 484.641 195.343 
point 110 968 579.862 174.219 
point 111 973 212.353  182.53 
point 112 974 327.604 233.793 
point 113 978 399.516 210.956 
point 114 981 36.5959 179.005 
point 115 997 577.438 235.185 

