seq: 86
gt_pose: -0.128318  -3.77531   2.26826
odom_pose: -0.381224  -3.20222    2.2051
point 0 7 593.548 173.502 
point 1 21 596.389  201.66 
point 2 28 117.542 188.841 
point 3 31 525.318 213.011 
point 4 33 34.1882 198.682 
point 5 34 198.452  213.16 
point 6 37 619.864 228.241 
point 7 68 502.375 239.599 
point 8 72  331.16 168.397 
point 9 78 569.161 153.245 
point 10 80 231.335 230.648 
point 11 90 186.989 196.018 
point 12 92 401.758  186.03 
point 13 109 521.034 221.766 
point 14 111 423.468 232.436 
point 15 114 117.924 161.539 
point 16 129 99.2949 94.6997 
point 17 156 559.954   192.1 
point 18 159 635.734 191.961 
point 19 165  619.06 165.944 
point 20 166 383.732 205.572 
point 21 175 459.839 173.395 
point 22 176 551.106 205.375 
point 23 197 46.7744 138.914 
point 24 200 591.032 76.0337 
point 25 216 430.047 170.613 
point 26 240 570.835  178.79 
point 27 245 441.684 179.028 
point 28 251 433.358 231.675 
point 29 262 441.603 145.389 
point 30 284 33.0455 197.822 
point 31 303 487.464 213.834 
point 32 304 633.705 157.035 
point 33 306 25.5781 129.183 
point 34 308 67.8393 179.941 
point 35 309  184.74 155.166 
point 36 330 101.604 230.446 
point 37 331 320.165 220.872 
point 38 334 339.768 172.024 
point 39 350   194.1 110.859 
point 40 352 421.879 203.532 
point 41 358 169.504 176.304 
point 42 384 14.3043 222.778 
point 43 387 479.756  187.41 
point 44 454 605.798 165.346 
point 45 472 401.005 161.277 
point 46 491 506.871 195.865 
point 47 495 514.941 167.604 
point 48 501 141.451 173.176 
point 49 503 305.749 196.218 
point 50 506 533.567 206.893 
point 51 514 390.925 184.908 
point 52 541 413.579 231.819 
point 53 543 263.962 217.373 
point 54 545  148.37 192.957 
point 55 555 302.461 232.114 
point 56 559 206.552 199.411 
point 57 568 545.013 154.755 
point 58 574 92.1057 172.565 
point 59 577 267.276 229.728 
point 60 578 524.773 208.723 
point 61 591 601.318 193.542 
point 62 600 172.093 199.685 
point 63 607 379.012 237.209 
point 64 610 398.527 150.276 
point 65 617  535.46 113.774 
point 66 644 464.452 168.732 
point 67 648 137.427 213.857 
point 68 679 174.825 203.711 
point 69 691 414.312 180.389 
point 70 706 94.1389 190.524 
point 71 710 213.899 172.152 
point 72 715 184.115 238.877 
point 73 720 250.206 134.373 
point 74 726 403.656  203.31 
point 75 748 112.067 204.266 
point 76 750 331.481 236.949 
point 77 752 601.921 97.0005 
point 78 755 101.707 231.856 
point 79 760 16.6658 104.767 
point 80 767 91.8289 236.368 
point 81 769 203.543 149.551 
point 82 770 183.362  163.91 
point 83 776 556.028 5.61576 
point 84 783 77.0021 188.361 
point 85 805 461.316 170.434 
point 86 806 549.639 238.289 
point 87 820 309.209 198.316 
point 88 836 126.379 202.684 
point 89 841 620.375 53.9937 
point 90 844 126.681 222.679 
point 91 848  281.54 209.943 
point 92 850 117.694 185.427 
point 93 852 60.8738  118.33 
point 94 861 189.701 15.7384 
point 95 862 453.402 136.645 
point 96 863 241.107 146.226 
point 97 871 124.025 205.814 
point 98 876  466.52 120.267 
point 99 880 478.371 179.643 
point 100 881 529.375 192.646 
point 101 883 463.758  218.95 
point 102 888 236.949 110.738 
point 103 894 234.851 178.882 
point 104 908 446.339 86.7393 
point 105 915 54.8419 202.199 
point 106 916 332.656 203.273 
point 107 923 54.9928 209.592 
point 108 929 562.803 172.949 
point 109 944 422.019 168.773 
point 110 952 154.663 196.814 
point 111 958 374.108   127.3 
point 112 962 317.528  179.16 
point 113 967 473.332 195.555 
point 114 968 560.979 176.372 
point 115 973 192.311 177.697 
point 116 974 317.093  233.46 
point 117 978 391.549 209.885 
point 118 997 559.276  235.33 

