seq: 87
gt_pose: -0.252851  -3.61796   2.21215
odom_pose: -0.490604   -3.0446   2.13753
point 0 7 574.638  175.56 
point 1 21 576.902 202.917 
point 2 28 76.5715 181.407 
point 3 31 513.112 213.222 
point 4 34 176.889 210.824 
point 5 36 634.616 236.098 
point 6 37 597.013 228.731 
point 7 68 490.284 239.603 
point 8 72 320.431 157.364 
point 9 77 618.717 233.385 
point 10 78 578.208 145.841 
point 11 80 211.534 229.745 
point 12 90 163.217 191.818 
point 13 92 395.088 183.048 
point 14 109 514.535 221.352 
point 15 111   414.4 232.321 
point 16 114 82.1542 152.003 
point 17 129 43.6531 66.1175 
point 18 131 202.042   181.1 
point 19 156 546.003 192.766 
point 20 159 619.746 192.749 
point 21 165 607.281 166.143 
point 22 166 374.895 204.543 
point 23 175 450.408  172.81 
point 24 176 538.755 205.623 
point 25 199 8.58298 196.152 
point 26 200 594.504 66.7758 
point 27 216 424.328  167.16 
point 28 218 233.023 234.082 
point 29 240 555.228 180.024 
point 30 245 434.948 176.888 
point 31 251 424.258 231.561 
point 32 262 436.337 140.755 
point 33 303 477.175 213.779 
point 34 304  609.99 160.561 
point 35 308 13.7494 169.845 
point 36 309  143.34 137.207 
point 37 330 61.6307 229.191 
point 38 331 309.334 219.916 
point 39 334 330.247 162.842 
point 40 350 162.904 91.1059 
point 41 352 414.729  202.16 
point 42 358 143.348 169.923 
point 43 387 470.306 186.996 
point 44 389  142.85 189.698 
point 45 400 96.7252 219.531 
point 46 454 586.205  167.73 
point 47 472 396.909 153.794 
point 48 476 67.7863 187.204 
point 49 491 496.674 195.743 
point 50 495 502.255 168.409 
point 51 501 111.072 165.959 
point 52 503 293.764 193.312 
point 53 506 519.983 207.366 
point 54 514 382.598 182.947 
point 55 523 113.436  174.08 
point 56 538 5.18762 231.199 
point 57 541 405.772  231.55 
point 58 543 249.223 215.833 
point 59 545 118.145 187.732 
point 60 555  290.52 231.652 
point 61 559 183.305 195.131 
point 62 568 558.165 145.002 
point 63 574 49.1836 163.226 
point 64 577 252.051 228.923 
point 65 578 510.943 209.237 
point 66 591 583.414 194.757 
point 67 600 144.855 195.315 
point 68 607  370.79 237.078 
point 69 610 390.343 147.228 
point 70 611 12.2462 189.369 
point 71 617 527.762 111.839 
point 72 627 625.413 178.082 
point 73 644 455.236 168.002 
point 74 648 102.582 210.498 
point 75 679 145.866 199.321 
point 76 691  407.57 177.642 
point 77 706 53.6318 184.113 
point 78 710 194.026  166.47 
point 79 715 160.099 238.769 
point 80 719 256.239 182.033 
point 81 720 230.573 122.187 
point 82 726 394.409 202.719 
point 83 748 69.9622 199.016 
point 84 750 321.194 236.809 
point 85 752 595.826 94.3817 
point 86 755 22.8946 229.427 
point 87 767  34.745 235.654 
point 88 769 178.798 139.193 
point 89 770 158.809  156.42 
point 90 783 3.31596 175.445 
point 91 805 451.284  170.16 
point 92 806 534.128 238.327 
point 93 820 297.735  196.02 
point 94 836 88.2482 197.547 
point 95 841 627.059 42.4112 
point 96 844 92.4353 220.615 
point 97 848 268.229  208.06 
point 98 850 82.5722 178.964 
point 99 862 456.381 124.829 
point 100 863 222.996  137.95 
point 101 871 89.5801 201.757 
point 102 876 459.411 117.128 
point 103 878 625.349 232.321 
point 104 880 470.428 178.528 
point 105 881 516.948 193.059 
point 106 883 454.794 218.692 
point 107 888 215.954 95.9867 
point 108 894 212.785 171.395 
point 109 908 441.508 78.9303 
point 110 916 322.425 201.697 
point 111 923 2.45662 204.879 
point 112 929   549.8 173.587 
point 113 944 414.552 166.358 
point 114 952 125.018 191.995 
point 115 958 365.972 121.157 
point 116 962  305.92 173.853 
point 117 967 462.566  195.62 
point 118 968 543.699 178.193 
point 119 970  103.73 199.016 
point 120 973 168.993 171.731 
point 121 974 305.932 233.065 
point 122 978 383.596 208.624 
point 123 979 622.288 137.305 
point 124 997 542.607 235.452 

