seq: 91
gt_pose: -0.357653  -3.47004   3.01265
odom_pose: -0.656579  -2.86326   2.96538
point 0 10  191.12 221.481 
point 1 27 539.301 201.926 
point 2 28 295.238 203.416 
point 3 30 579.471 187.342 
point 4 58 616.232     235 
point 5 72 557.324 90.2014 
point 6 73 508.163 173.361 
point 7 74 41.8432 177.482 
point 8 80 370.716 230.413 
point 9 93 594.518 194.051 
point 10 122 57.1569  202.24 
point 11 129 283.308 137.419 
point 12 139 75.1796 157.881 
point 13 155 191.453 225.035 
point 14 183 72.7037  165.04 
point 15 195 229.258 114.489 
point 16 197 263.834 177.355 
point 17 218 388.666  234.11 
point 18 223 116.399 171.313 
point 19 247 109.754 189.826 
point 20 292 59.5348 169.689 
point 21 306 258.425 175.097 
point 22 308 274.913 202.059 
point 23 309 326.086  158.12 
point 24 331 495.933 211.082 
point 25 334 581.041 93.6286 
point 26 339  154.24 153.366 
point 27 350 336.947 118.524 
point 28 351 133.212 167.512 
point 29 369 239.776 227.408 
point 30 378 89.5538 180.634 
point 31 381 2.38822 187.124 
point 32 397 428.424 190.212 
point 33 409 158.349 152.653 
point 34 413 169.507  212.87 
point 35 415 109.613 156.981 
point 36 428 558.458 173.519 
point 37 455 96.6966 185.611 
point 38 479 110.984  189.84 
point 39 494 566.251 174.498 
point 40 497 121.715 143.696 
point 41 503 469.404 177.417 
point 42 511 153.666 158.256 
point 43 522 124.406 166.483 
point 44 524  596.11 225.231 
point 45 527 524.164  236.63 
point 46 528 122.234 159.542 
point 47 543 405.939 214.146 
point 48 555 462.273 229.116 
point 49 559 349.265 202.044 
point 50 575  186.52 179.222 
point 51 577 410.24 227.87 
point 52 600 325.759 206.745 
point 53 613 560.498 167.299 
point 54 623 427.753 182.934 
point 55 626 143.484 155.122 
point 56 631 612.785  229.89 
point 57 635 213.251 239.163 
point 58 642 177.242 88.7407 
point 59 648 305.637 220.408 
point 60 657 168.989 207.613 
point 61 662 589.778 210.109 
point 62 679 326.448 209.365 
point 63 689 591.604  140.13 
point 64 719 413.348 176.462 
point 65 720 389.751 118.678 
point 66 728 64.3171 173.494 
point 67 734 94.1258 212.449 
point 68 736 491.909 189.391 
point 69 738 6.71457 225.179 
point 70 748 292.816 214.831 
point 71 750 521.387 235.074 
point 72 755 275.184 233.746 
point 73 760 251.218 159.786 
point 74 766 3.39236 163.107 
point 75 767  280.52 237.492 
point 76 769 346.426 155.504 
point 77 774 205.635 201.489 
point 78 783 270.561 204.499 
point 79 784 104.183  164.27 
point 80 800  639.54 161.775 
point 81 810 225.953 218.509 
point 82 820 474.348 180.522 
point 83 825  150.29 131.354 
point 84 836 299.749 212.763 
point 85 840 139.419 179.124 
point 86 848 428.987 202.798 
point 87 852  269.01 162.302 
point 88 863 380.472 140.759 
point 89 873 477.679 182.501 
point 90 888 375.574 100.813 
point 91 894 373.208 174.067 
point 92 915 267.606 216.326 
point 93 916 523.504 180.624 
point 94 922 9.13661 190.928 
point 95 940 146.339 203.637 
point 96 962 498.011     142 
point 97 973 339.564  185.48 
point 98 974 491.407 230.087 
point 99 987 18.0832 179.399 
point 100 998 216.773 167.047 
point 101 999 59.4403 180.062 

