seq: 92
gt_pose: -0.357702  -3.47004  -3.07029
odom_pose: -0.618609  -2.86274  -3.08865
point 0 10 241.226 223.482 
point 1 28 333.038 203.651 
point 2 43 112.591 187.965 
point 3 70  470.96 197.633 
point 4 73 607.52 153.59 
point 5 74 137.802 191.384 
point 6 80 414.995  229.61 
point 7 98 99.9222 216.412 
point 8 105  623.36 186.967 
point 9 117 72.0556 221.677 
point 10 129 322.169 139.351 
point 11 139 158.403 174.265 
point 12 150 589.931 201.178 
point 13 155   241.6 226.647 
point 14 183 156.774 180.129 
point 15 195 273.472 123.635 
point 16 197 303.518 179.816 
point 17 218 435.773 233.479 
point 18 227 42.6551 222.885 
point 19 247 181.068 198.575 
point 20 278 44.3963 183.725 
point 21 288 55.5752 180.828 
point 22 292 150.382 184.421 
point 23 302 526.707  192.98 
point 24 306 298.267 178.012 
point 25 309 367.669 155.651 
point 26 331 588.686 203.124 
point 27 339 212.792 165.444 
point 28 350 377.831   113.4 
point 29 355 93.5478 222.529 
point 30 356 60.3444 158.285 
point 31 369 282.711 228.198 
point 32 397 487.124  182.06 
point 33 409 217.136 164.477 
point 34 415 181.303 171.453 
point 35 422 109.589 135.579 
point 36 441 602.593 182.817 
point 37 455 172.756 195.611 
point 38 459 114.186 194.537 
point 39 460 521.489 201.551 
point 40 479 182.082 198.536 
point 41 486 568.237 216.914 
point 42 496 614.478  233.35 
point 43 497  191.34 159.513 
point 44 503 547.576 163.048 
point 45 522 191.103 178.484 
point 46 527 635.113 235.528 
point 47 543  457.83 210.754 
point 48 552 491.626 172.428 
point 49 555 536.218 226.749 
point 50 559 390.182 199.901 
point 51 563 538.727 204.528 
point 52 577 463.964   226.2 
point 53 587 542.466 186.252 
point 54 600 364.121 205.815 
point 55 623 486.267 173.646 
point 56 626 204.674 167.705 
point 57 642 231.162 106.843 
point 58 648 343.323  220.31 
point 59 650 484.444 226.589 
point 60 657 223.671 211.735 
point 61 679 365.235 208.477 
point 62 683 639.128 162.565 
point 63 701 65.0761 179.899 
point 64 710 397.442 172.285 
point 65 719 467.174 167.461 
point 66 720 439.235 105.357 
point 67 727 476.218  225.95 
point 68 735 436.716  232.44 
point 69 736 580.791 175.871 
point 70 738 117.195 228.812 
point 71 748 330.615 215.059 
point 72 750 631.911 233.484 
point 73 755 316.366 233.911 
point 74 760 292.441 163.936 
point 75 766 115.841 182.097 
point 76 767 319.384 237.547 
point 77 769 387.253 151.017 
point 78 774 254.216 205.127 
point 79 783 310.669 205.631 
point 80 784 177.297 177.792 
point 81 810 269.448 220.156 
point 82 820 554.466 166.396 
point 83 825 210.587  146.81 
point 84 829 90.0183 139.694 
point 85 836 337.468 212.804 
point 86 848  488.46 196.663 
point 87 852 308.314 164.942 
point 88 863 426.511 131.183 
point 89 873 558.318 168.565 
point 90 888 421.579 88.2074 
point 91 894 419.041  168.29 
point 92 915 306.858 217.166 
point 93 916 635.433 161.221 
point 94 917 42.5602 113.696 
point 95 946  625.51 177.417 
point 96 954 49.7244  195.39 
point 97 962 595.018 114.482 
point 98 973 378.911 183.063 
point 99 974 582.029 227.435 
point 100 976 101.213 199.822 
point 101 987 123.333 193.828 
point 102 998 261.742 173.261 

