seq: 95
gt_pose: -0.734394  -3.60701  -2.79281
odom_pose: -0.974237   -2.9846  -2.79844
point 0 9 55.9879 68.1435 
point 1 10 295.508 222.985 
point 2 28 395.136 197.338 
point 3 34 463.229 208.274 
point 4 43 171.668 185.846 
point 5 60 554.357 159.697 
point 6 70 624.432 174.389 
point 7 74 210.782  196.92 
point 8 80 530.295 224.814 
point 9 81 59.8663 110.508 
point 10 90 450.458  190.83 
point 11 121 13.283 132.15 
point 12 128 28.3318 119.001 
point 13 129 386.092 118.151 
point 14 131 494.464 166.028 
point 15 139 226.232 180.524 
point 16 155 295.865 226.143 
point 17 183 225.219 186.096 
point 18 195 329.477 107.335 
point 19 197 361.498 171.033 
point 20 218 555.404 230.578 
point 21 219 607.112 237.932 
point 22 227 141.151 225.611 
point 23 247 244.058 201.673 
point 24 253 90.0581 220.405 
point 25 278 151.329 195.411 
point 26 288 156.07 191.93 
point 27 292 211.489 184.422 
point 28 294 104.766 140.185 
point 29 306 354.265 170.937 
point 30 308 370.132 198.684 
point 31 309 482.629 104.914 
point 32 339 269.827 167.151 
point 33 345 7.74515  161.41 
point 34 350  478.33 56.6918 
point 35 356 155.131 171.411 
point 36 358 432.002  175.71 
point 37 369 340.271 226.219 
point 38 409 271.751 159.523 
point 39 415 243.242 175.329 
point 40 422 172.746 134.719 
point 41 455 236.005 198.276 
point 42 459 188.203 198.471 
point 43 466 57.4624 183.318 
point 44 471 100.939 194.195 
point 45 479 244.334 201.192 
point 46 488 567.803 160.332 
point 47 497 246.387 154.343 
point 48 522 252.224 182.528 
point 49 543 611.078  193.91 
point 50 545 414.526 196.986 
point 51 546 63.9461 141.193 
point 52 559 482.225 185.628 
point 53 600 436.099 197.702 
point 54 626  263.35 171.183 
point 55 642  285.56 97.8915 
point 56 648 407.701 216.598 
point 57 654 632.713 238.591 
point 58 657 279.577 212.242 
point 59 676 92.9689  224.48 
point 60 679  441.55 199.845 
point 61 686 74.7946 168.995 
point 62 688 100.279 236.863 
point 63 694 629.693 222.413 
point 64 701 164.654 191.706 
point 65 710 486.203 150.593 
point 66 715  446.95 238.769 
point 67 719 626.211 125.159 
point 68 720 615.101 4.88677 
point 69 727 637.052 217.912 
point 70 735 553.276 229.217 
point 71 738   196.7 230.359 
point 72 748 391.835 210.931 
point 73 755 391.418 231.587 
point 74 760 350.151 152.198 
point 75 766 192.756 188.678 
point 76 767 381.854 237.068 
point 77 769 480.534 118.037 
point 78 770 446.754 156.311 
point 79 774 309.211 200.121 
point 80 783 374.761 197.559 
point 81 784 241.109 182.735 
point 82 810 322.877 219.191 
point 83 824 51.6805  224.42 
point 84 825 266.705 145.277 
point 85 829 177.679 155.454 
point 86 836 400.494 207.913 
point 87 852 367.171 153.273 
point 88 863  551.15 77.5932 
point 89 894 561.576 123.914 
point 90 915 364.753 213.942 
point 91 917 145.579 136.905 
point 92 941 53.4207 151.459 
point 93 952 419.842 198.994 
point 94 954 144.865 202.048 
point 95 957  538.54 179.329 
point 96 973 457.344 167.615 
point 97 991 517.794 236.398 
point 98 998 315.214  170.69 

