seq: 96
gt_pose: -0.922789  -3.67554  -2.79281
odom_pose: -1.16248 -3.05503  -2.7612
point 0 9  20.806 45.2407 
point 1 10 294.055 221.974 
point 2 28 399.239 195.008 
point 3 34 470.436 206.677 
point 4 43 143.062 175.401 
point 5 60 567.421 155.221 
point 6 74 205.267 194.744 
point 7 80 552.475 223.213 
point 8 81 21.4558 91.3869 
point 9 90 457.219 188.282 
point 10 128 0.119704  107.297 
point 11 129 391.738 107.744 
point 12 131 503.821 162.061 
point 13 139 221.762 177.688 
point 14 155  294.33 225.262 
point 15 183 220.862 183.618 
point 16 195 330.382 94.6971 
point 17 197 364.347   166.3 
point 18 218 572.125 229.909 
point 19 219 619.328 237.844 
point 20 227 125.559 224.357 
point 21 247 240.734 199.995 
point 22 253 77.0849 219.299 
point 23 278 143.139 193.246 
point 24 288 146.874 189.233 
point 25 292 198.366   177.7 
point 26 294 83.1581 130.163 
point 27 306 356.191 167.057 
point 28 308 372.428 196.792 
point 29 309 525.378 69.4081 
point 30 339 267.262 163.425 
point 31 350 502.015 29.2722 
point 32 356 143.065 166.391 
point 33 358 437.024 172.828 
point 34 369 342.349 224.807 
point 35 389 435.035 192.527 
point 36 409 266.743 151.167 
point 37 415 239.009 171.762 
point 38 422 148.063  117.07 
point 39 455 230.998 195.788 
point 40 459 176.618  194.82 
point 41 466 41.5274 179.878 
point 42 467 550.473 218.622 
point 43 471 89.3517 191.772 
point 44 479 240.569  199.26 
point 45 488 579.838 156.463 
point 46 497 236.934 143.342 
point 47 522  249.39 180.125 
point 48 545 418.566 195.148 
point 49 546 31.5273 128.682 
point 50 559  495.98 181.019 
point 51 589 571.064 182.394 
point 52 600  442.53 195.359 
point 53 626 260.959 168.277 
point 54 642 282.413 84.8976 
point 55 648  412.27 215.379 
point 56 657 277.743 210.983 
point 57 676 59.8647 222.217 
point 58 679 450.343  196.94 
point 59 686 56.9203 163.819 
point 60 688 87.2002 236.676 
point 61 701 157.929 189.615 
point 62 710 496.077 145.283 
point 63 715 453.235 238.708 
point 64 735  567.66 228.553 
point 65 738 190.689 229.889 
point 66 748 395.627 209.397 
point 67 755 405.545 229.923 
point 68 760 352.697 144.786 
point 69 766 184.239 185.242 
point 70 767  386.79 236.835 
point 71 769 495.896 106.367 
point 72 770 453.414 151.915 
point 73 774 307.944 195.433 
point 74 783 380.895 192.806 
point 75 784 237.664 180.234 
point 76 810  323.01 218.239 
point 77 824 35.4755 223.479 
point 78 825 262.567 137.921 
point 79 829 169.897 150.831 
point 80 836 404.796 206.199 
point 81 852 370.435 147.274 
point 82 863 575.404 60.5534 
point 83 894 605.409 102.852 
point 84 915 367.564 212.306 
point 85 917 133.725 129.897 
point 86 941 1.43796 134.193 
point 87 952 424.528  197.07 
point 88 954 129.113 198.635 
point 89 957 549.783 176.208 
point 90 973 465.087 163.534 
point 91 986 565.407  230.82 
point 92 991 527.253 236.226 
point 93 998 314.991 167.455 

