seq: 98
gt_pose: -1.29918 -3.81242 -2.79281
odom_pose: -1.54444 -3.21323 -2.75156
point 0 10 290.562 219.547 
point 1 28 408.942 189.499 
point 2 34  487.25 202.953 
point 3 43 32.1504 134.908 
point 4 60 598.426 144.597 
point 5 74 192.392 189.666 
point 6 80 614.531 218.731 
point 7 90 473.065  182.31 
point 8 98  170.68 218.009 
point 9 117 150.726 223.401 
point 10 129 406.499 80.5315 
point 11 131  525.88 152.709 
point 12 139 211.422 171.129 
point 13 155 290.593 223.116 
point 14 183 210.836 177.916 
point 15 195 332.822 60.5453 
point 16 197 371.394 154.589 
point 17 218 613.818  228.24 
point 18 227 84.5481 221.058 
point 19 235 561.356 228.339 
point 20 247 233.136  196.16 
point 21 253 46.2244 216.669 
point 22 278 124.139 188.223 
point 23 288 125.019 182.824 
point 24 292 159.609 157.849 
point 25 294 23.7328 102.604 
point 26 295 602.585 184.439 
point 27 306 360.767 157.835 
point 28 308 377.707 192.442 
point 29 339 261.259  154.71 
point 30 355   165.9 223.807 
point 31 356 112.763 153.784 
point 32 358 448.537  166.22 
point 33 369   348.1 220.898 
point 34 388 589.742 188.115 
point 35 389 445.263 188.306 
point 36 409 252.805 127.917 
point 37 413  274.92 214.126 
point 38 415  228.98 163.311 
point 39 422 61.4812 55.1659 
point 40 455 218.964  189.81 
point 41 459 146.071 185.194 
point 42 466 3.09823 171.581 
point 43 467 570.905 216.726 
point 44 471 62.0964 186.073 
point 45 474 505.648 226.115 
point 46 479 231.797 194.761 
point 47 488 607.757 147.487 
point 48 497 208.264 109.979 
point 49 511 263.347  164.32 
point 50 522 242.953 174.666 
point 51 528 242.873 170.276 
point 52 545 427.766 190.962 
point 53 559 531.866 168.991 
point 54 575 288.135 180.035 
point 55 589 593.023 177.355 
point 56 600 457.777 189.804 
point 57 626 255.519 161.669 
point 58 635 310.907  239.12 
point 59 642 274.013 50.2323 
point 60 648 422.989 212.519 
point 61 657  273.53 208.089 
point 62 679 472.363 189.666 
point 63 680 549.498 225.913 
point 64 686 12.0744 150.832 
point 65 688 55.7776 236.227 
point 66 701 142.582 184.844 
point 67 710 519.785 132.529 
point 68 715  467.86 238.566 
point 69 735 602.453 226.944 
point 70 738 176.734 228.798 
point 71 748 404.539  205.79 
point 72 755 461.418 223.342 
point 73 760  359.33 125.474 
point 74 766  163.28 176.789 
point 75 767 399.452 236.235 
point 76 769 537.467 74.7848 
point 77 770 469.059 141.585 
point 78 774 304.245 181.754 
point 79 783 398.445 179.205 
point 80 784 229.795 174.522 
point 81 810 323.313 216.047 
point 82 825 252.021 119.175 
point 83 829 151.486 139.894 
point 84 836 414.931 202.159 
point 85 840 253.793 185.402 
point 86 844 409.397 223.872 
point 87 852 378.523 132.404 
point 88 902  538.5 205.92 
point 89 915 374.387 208.333 
point 90 917 104.456 112.597 
point 91 919  342.32 165.601 
point 92 940 258.639 207.088 
point 93 952 435.342 192.628 
point 94 954 87.2959 189.573 
point 95 957 576.106   168.9 
point 96 973 483.501  153.83 
point 97 976 170.765 202.257 
point 98 986 586.918 230.015 
point 99 991 549.144 235.828 
point 100 998 314.476 159.992 

