seq: 106
gt_pose: -2.56648  -4.7447 -2.16362
odom_pose: -2.77988    -4.18 -2.14349
point 0 10 465.115 188.085 
point 1 12  509.59 233.282 
point 2 18 111.455 207.181 
point 3 25 426.612 218.448 
point 4 33 592.515 184.869 
point 5 65 111.698 208.033 
point 6 74 297.441 177.076 
point 7 98 289.29 217.61 
point 8 117 275.236 224.056 
point 9 121 97.3656 122.116 
point 10 128 103.391 102.456 
point 11 139 318.205 149.864 
point 12 154 104.058 189.722 
point 13 155 476.624 192.056 
point 14 163 46.1912 91.8116 
point 15 167 432.709  199.41 
point 16 183 318.619 160.575 
point 17 199 615.787 183.946 
point 18 223 356.517 169.231 
point 19 227 161.218 215.652 
point 20 231  536.69 223.438 
point 21 247   344.6 179.846 
point 22 253 206.233   220.9 
point 23 263 462.157 190.589 
point 24 278 250.521 190.272 
point 25 284 621.593 174.331 
point 26 288 242.319 180.871 
point 27 294 101.707 73.4787 
point 28 318 56.1845 106.385 
point 29 339 385.651 90.0257 
point 30 345 104.108 157.849 
point 31 351 367.665 155.427 
point 32 355 285.656 223.724 
point 33 356 208.342 136.897 
point 34 384 565.131 219.873 
point 35 413 404.496 199.515 
point 36 415 334.744 119.458 
point 37 416 438.498 233.546 
point 38 420 498.061 193.285 
point 39 431 356.131 208.771 
point 40 433 510.736 169.233 
point 41 434 441.545 174.383 
point 42 455 318.679 159.794 
point 43 459  189.57 143.644 
point 44 466 186.862 188.204 
point 45 471 216.542 195.184 
point 46 479 340.865 173.262 
point 47 507 504.814 186.028 
point 48 511 386.026 127.717 
point 49 522 357.417 148.556 
point 50 528 357.901 147.416 
point 51 538 610.352 229.013 
point 52 547 105.551 128.121 
point 53 570 491.093 220.415 
point 54 575 428.405 139.618 
point 55 611 627.941 171.765 
point 56 626 374.819 123.041 
point 57 634 447.387 171.521 
point 58 635 481.834 238.274 
point 59 657 405.674 185.182 
point 60 686 170.544 163.685 
point 61 688 205.608 236.748 
point 62 699  549.78 232.692 
point 63 701 266.497 186.412 
point 64 708  474.93 143.619 
point 65 734 341.051 213.155 
point 66 738 285.519 227.086 
point 67 758 535.371 209.633 
point 68 766  252.8 154.01 
point 69 772 480.078 171.396 
point 70 784 340.624 151.605 
point 71 786 510.223 204.465 
point 72 788 584.886 212.654 
point 73 799 57.9787 122.953 
point 74 808 431.719 177.208 
point 75 810 536.385 182.372 
point 76 812 449.112 233.412 
point 77 824 185.414 226.038 
point 78 829 260.659 128.029 
point 79 838 532.224 181.243 
point 80 840 372.112 163.444 
point 81 851 519.066 214.873 
point 82 890  471.13 142.895 
point 83 891 505.435 218.182 
point 84 895 435.646 211.844 
point 85 917 213.713 101.066 
point 86 919 578.291 63.0056 
point 87 921 475.529 154.043 
point 88 940  378.81 193.293 
point 89 954 153.596 171.678 
point 90 976 288.444 201.123 
point 91 981 548.335 162.107 
point 92 987 304.457 193.196 
point 93 998 508.853 56.6089 

