seq: 108
gt_pose: -2.75739 -5.09698  -1.9723
odom_pose: -2.96867  -4.5352 -1.96739
point 0 2 460.112 152.908 
point 1 18 162.668 209.718 
point 2 25  497.43 212.469 
point 3 32 479.521 176.104 
point 4 51 574.125 172.827 
point 5 65 162.709  210.47 
point 6 74 333.972  167.22 
point 7 98 324.388 215.908 
point 8 117 309.742 223.171 
point 9 121 139.324 124.461 
point 10 122 362.371 205.323 
point 11 126 395.145 203.946 
point 12 128 143.212  103.72 
point 13 139 358.411 133.354 
point 14 143 3.20144 124.463 
point 15 154 152.976 192.762 
point 16 163 105.837 104.711 
point 17 167 510.812  186.54 
point 18 183 358.528 146.907 
point 19 223 401.596 157.599 
point 20 227 181.283 212.238 
point 21 247 390.883  166.96 
point 22 250 531.517 239.851 
point 23 253 242.336 220.851 
point 24 263 560.872 171.516 
point 25 278 284.283 187.734 
point 26 288 274.927 176.598 
point 27 291 409.247 199.369 
point 28 294 121.395 56.3505 
point 29 318 115.571 118.478 
point 30 339 458.74  29.14 
point 31 345 146.903 159.988 
point 32 351 417.612  138.11 
point 33 355 320.547 222.565 
point 34 356 235.655 124.655 
point 35 378 381.941 178.772 
point 36 385 533.739 166.661 
point 37 413 473.942 186.814 
point 38 415 383.205 83.5611 
point 39 416 514.108 231.679 
point 40 420 618.091 173.384 
point 41 431 400.864 203.769 
point 42 432 553.612 208.802 
point 43 434 524.256 152.716 
point 44 455  362.99 135.289 
point 45 459 193.738 110.331 
point 46 466 225.17 189.09 
point 47 471 252.138 194.838 
point 48 479 388.734 156.156 
point 49 483 591.807  185.57 
point 50 507 627.041  163.16 
point 51 511 445.959 97.2093 
point 52 522 407.179 127.657 
point 53 528 405.703 128.925 
point 54 547  150.17 132.231 
point 55 570 608.874 212.019 
point 56 575 513.361     102 
point 57 576 510.026 201.636 
point 58 593 448.373 166.554 
point 59 626 432.078 91.1165 
point 60 634 533.831 148.073 
point 61 635 621.576 237.304 
point 62 657 484.562 163.768 
point 63 686 206.707 163.147 
point 64 688 240.788 236.701 
point 65 700  477.74 208.006 
point 66 701 300.653 183.341 
point 67 708 585.301 102.769 
point 68 734 383.039 209.172 
point 69 738 320.421  225.54 
point 70 766 282.281 137.834 
point 71 772 582.555 145.883 
point 72 784  385.61 133.535 
point 73 786 638.067 188.852 
point 74 799 120.519 135.302 
point 75 808 506.202 158.753 
point 76 812 531.743 231.335 
point 77 824 224.154 226.331 
point 78 829 293.492 116.486 
point 79 840   425.3 145.592 
point 80 890 584.369 99.4088 
point 81 891 639.962 207.722 
point 82 895 517.595 202.349 
point 83 917 243.934 89.2825 
point 84 921  598.28 112.028 
point 85 922 339.969 201.138 
point 86 940 434.216 181.991 
point 87 954 169.704 160.486 
point 88 956 504.486  235.39 
point 89 976 323.506 198.027 
point 90 983 419.842 169.003 
point 91 985 11.2735 204.237 
point 92 987  340.76 188.775 
point 93 999 363.545  184.46 

