seq: 111
gt_pose: -2.91253 -5.67612 -1.69243
odom_pose:  -3.1177 -5.14408 -1.64251
point 0 2 625.085 94.9158 
point 1 18 221.026 210.867 
point 2 65 220.897 211.546 
point 3 74 407.753 135.429 
point 4 98  384.52 210.547 
point 5 104 607.364  199.55 
point 6 117 365.709 220.156 
point 7 121 187.025 118.426 
point 8 122 435.986 194.998 
point 9 126 488.72 189.66 
point 10 128 188.652 94.1439 
point 11 139 448.625  77.765 
point 12 143 111.012 145.906 
point 13 147 627.412 178.897 
point 14 154 208.913 193.373 
point 15 163   169.4 111.167 
point 16 168 496.396 229.705 
point 17 183 445.789 101.926 
point 18 203 459.632 215.989 
point 19 223 504.129  120.43 
point 20 227 196.646 200.884 
point 21 247 509.072 120.748 
point 22 253 291.577 219.268 
point 23 258 629.725 232.409 
point 24 278  336.42 178.729 
point 25 288 325.624 162.683 
point 26 291 516.265 180.625 
point 27 318 179.278 124.931 
point 28 345 196.171 156.676 
point 29 351 545.779 77.9722 
point 30 355  379.51 218.866 
point 31 356 274.087 85.4719 
point 32 371 612.921 185.484 
point 33 378 466.548 157.043 
point 34 381 402.569 191.187 
point 35 419 533.673 186.805 
point 36 431 501.512 187.902 
point 37 443  570.49 156.913 
point 38 455 505.441 17.9051 
point 39 462 606.768 186.513 
point 40 465  528.43 181.422 
point 41 466 275.134 186.545 
point 42 471  301.71 190.729 
point 43 479 526.406 87.0711 
point 44 522 542.178 50.1918 
point 45 528 525.206 65.2541 
point 46 547 201.669 129.671 
point 47 551 488.594 212.477 
point 48 593 594.819 122.593 
point 49 594  566.98 190.366 
point 50 606 465.418 233.058 
point 51 652  494.53 237.931 
point 52 686 253.237 155.944 
point 53 688 289.165 236.356 
point 54 696 524.706 233.538 
point 55 701 355.377 172.923 
point 56 702 49.1218  165.41 
point 57 713 598.481 171.493 
point 58 728 442.343 160.152 
point 59 734 473.082 196.709 
point 60 738 384.353 220.752 
point 61 766 335.956 81.4182 
point 62 784 496.696 70.2024 
point 63 799 186.953 142.993 
point 64 824 274.426 225.736 
point 65 829 348.806 80.5237 
point 66 840 574.391 78.9293 
point 67 849 493.717 164.693 
point 68 870 79.2555 205.768 
point 69 917 287.744 51.2899 
point 70 922 404.102 191.837 
point 71 930 536.017 166.747 
point 72 938 478.988 212.096 
point 73 940 594.992 138.835 
point 74 954 172.684  121.85 
point 75 976 383.848 188.335 
point 76 983 530.549 136.658 
point 77 985 103.394  208.94 
point 78 987 406.586 175.248 
point 79 988 536.629 221.343 
point 80 999 437.809 167.698 

