seq: 112
gt_pose: -2.92765 -5.87601  -1.6004
odom_pose: -3.12214 -5.35414 -1.53581
point 0 18 237.911 210.686 
point 1 65 237.744 211.354 
point 2 74 445.774 114.601 
point 3 98 409.568 207.531 
point 4 117 387.782  218.47 
point 5 121 200.459 113.668 
point 6 122 470.191 188.984 
point 7 126 537.918 180.717 
point 8 128  201.43 87.4587 
point 9 139 500.791 38.6159 
point 10 143 136.759 149.762 
point 11 154  225.06 192.665 
point 12 163  186.72 110.696 
point 13 168 543.193 228.066 
point 14 183  494.35 71.3331 
point 15 203 498.485 212.528 
point 16 223 561.367 96.0411 
point 17 227 195.611 193.437 
point 18 247 587.969 84.7895 
point 19 253 308.154 218.259 
point 20 278 356.183 173.657 
point 21 288 345.184 154.773 
point 22 291 576.919 168.226 
point 23 318 196.783 124.743 
point 24 345 210.292 153.762 
point 25 351 629.077 33.1997 
point 26 355 403.738 216.791 
point 27 356 287.736  61.372 
point 28 378 508.816 143.872 
point 29 381 429.269   186.2 
point 30 419 594.784 176.371 
point 31 431 556.923 177.612 
point 32 465 587.565 170.185 
point 33 466 291.291  184.58 
point 34 471 318.711 188.185 
point 35 479 638.104 22.4493 
point 36 525 16.0074 235.905 
point 37 528  601.01 18.5225 
point 38 547 216.539 126.533 
point 39 551 534.073 208.118 
point 40 606 504.376 232.085 
point 41 615 32.3736  145.44 
point 42 652 540.782 237.604 
point 43 659 36.6936 191.405 
point 44 686 268.085 151.442 
point 45 688 305.598 236.148 
point 46 696 582.356 232.322 
point 47 701 376.794 167.082 
point 48 702 72.7557 166.892 
point 49 728 477.458 149.413 
point 50 734 520.396 188.837 
point 51 738 413.569 217.871 
point 52 766 362.902 40.0617 
point 53 784  567.74 22.6198 
point 54 799 205.164 143.521 
point 55 802 7.37969 183.397 
point 56 824 290.612 225.245 
point 57 829 372.133 59.3826 
point 58 849 540.073 152.721 
point 59 870 108.097 207.417 
point 60 917 303.674 29.2394 
point 61 922 431.694 186.583 
point 62 930 597.745 152.324 
point 63 938 521.818 207.863 
point 64 954 162.568 94.7207 
point 65 976 409.144 182.861 
point 66 983 593.289  115.41 
point 67 985 126.189 209.669 
point 68 987 435.588 167.504 
point 69 988 600.258 217.531 
point 70 999 472.488 157.908 

