seq: 113
gt_pose:  -2.9245 -6.07621 -1.50933
odom_pose:  -3.1074 -5.54282 -1.44598
point 0 18 254.035 210.227 
point 1 65 253.836 210.891 
point 2 74 500.226 81.6916 
point 3 98 439.277 203.486 
point 4 107 26.4135 176.494 
point 5 117 413.003 216.253 
point 6 121 212.944 107.174 
point 7 122 513.913 180.562 
point 8 126 607.208 167.225 
point 9 128 213.258 78.4733 
point 10 143  159.37 152.495 
point 11 154 240.426 191.475 
point 12 163 202.706 108.956 
point 13 168 606.875 225.678 
point 14 183 568.205 20.9486 
point 15 203 549.464 207.603 
point 16 227 188.047 181.703 
point 17 236 29.5329 157.392 
point 18 253 325.364 216.932 
point 19 278 378.295 166.979 
point 20 288 367.498 144.107 
point 21 318 213.033 123.443 
point 22 345 223.595 149.735 
point 23 355 432.209 214.022 
point 24 356 302.839 25.8754 
point 25 378 565.927 124.651 
point 26 381 461.176 179.528 
point 27 431 638.298 161.501 
point 28 466 307.673 181.926 
point 29 471 336.548 184.852 
point 30 525 51.2905 236.148 
point 31 547 230.644 122.054 
point 32 551 595.777 201.771 
point 33 606 555.188 230.711 
point 34 615 67.6306  151.44 
point 35 652 603.539  237.13 
point 36 659 70.8549 194.339 
point 37 686 283.038 145.507 
point 38 688 322.772 235.876 
point 39 701 401.203 159.372 
point 40 702 93.1859 167.572 
point 41 707 4.00289 198.513 
point 42 728 522.499 134.365 
point 43 734 587.354 176.853 
point 44 738 451.189 213.708 
point 45 741 32.9774  204.05 
point 46 799 222.094 143.139 
point 47 802 35.0148 185.125 
point 48 824 306.979 224.576 
point 49 829 400.588 29.6228 
point 50 849 603.098 135.279 
point 51 870 133.015 208.616 
point 52 922 465.077 179.486 
point 53 938 579.074  201.77 
point 54 954 138.373 48.5718 
point 55 976 439.314 175.485 
point 56 985  146.36 210.074 
point 57 987 471.357 156.878 
point 58 999 516.983 144.163 

