seq: 120
gt_pose:  -2.41637  -7.35945 -0.878141
odom_pose:  -2.5721 -6.75882 -0.85595
point 0 18 377.374 195.129 
point 1 65  377.18 195.882 
point 2 69 8.23032 206.158 
point 3 102 107.067 107.843 
point 4 107  213.62 194.007 
point 5 143 279.525 148.932 
point 6 154 357.664 158.711 
point 7 163 305.039 44.6049 
point 8 182 78.1213 229.639 
point 9 187 143.337 131.941 
point 10 220 147.623 169.163 
point 11 236 184.037 167.143 
point 12 246 147.474 218.463 
point 13 253  574.05 177.003 
point 14 256  77.314 216.281 
point 15 273 62.4141 165.628 
point 16 299  38.511 169.892 
point 17 318 320.549 70.3244 
point 18 345 321.044 38.6932 
point 19 374 9.83304 184.293 
point 20 429 25.8173  177.26 
point 21 466 496.532 111.732 
point 22 471 617.237 80.4194 
point 23 481 57.8007 223.383 
point 24 493 146.047 213.066 
point 25 498 73.6072 212.498 
point 26 525 203.254 236.627 
point 27 540 83.8518 182.442 
point 28 547 338.425 3.34585 
point 29 566 26.0222 235.735 
point 30 584 143.092 202.543 
point 31 602  153.23 157.341 
point 32 615 220.482 164.448 
point 33 620  8.3246 123.989 
point 34 659 220.631 200.357 
point 35 673 72.9832 237.739 
point 36 688 612.194 226.288 
point 37 702 186.989 150.454 
point 38 707 203.565 210.921 
point 39 741 201.397 210.928 
point 40 743 22.7074 212.408 
point 41 775 168.404 155.908 
point 42 791 8.12458 173.544 
point 43 799 334.945 108.734 
point 44 801 136.132 192.694 
point 45 802 153.891 181.881 
point 46 818 117.052  173.89 
point 47 824 490.137 207.194 
point 48 870 257.994 208.651 
point 49 904 12.1289 191.208 
point 50 943 164.494  232.24 
point 51 985 253.656 204.542 

