seq: 124
gt_pose:  -1.80542    -7.872 -0.517628
odom_pose:  -1.93655  -7.27489 -0.508324
point 0 18 542.584 150.771 
point 1 35 51.6125  212.85 
point 2 54 6.70729 182.292 
point 3 56 94.8148  199.36 
point 4 65 544.413  151.33 
point 5 69  144.57 214.399 
point 6 102  180.75 109.744 
point 7 107 280.355 192.964 
point 8 118 79.1642  183.95 
point 9 143 347.832 124.108 
point 10 152 104.034 161.361 
point 11 154 550.165 34.6364 
point 12 182 176.951 231.115 
point 13 187 217.278 135.196 
point 14 220 215.781 168.002 
point 15 224 33.4226 200.476 
point 16 236 241.197 156.861 
point 17 256 180.865 220.242 
point 18 261  138.51 206.198 
point 19 299  150.07 181.754 
point 20 323 59.4125 127.353 
point 21 373 29.6517 237.549 
point 22 374 142.062 197.045 
point 23 429 147.067 189.785 
point 24 444 129.423 178.002 
point 25 446 59.9971 159.511 
point 26 452 82.2597 177.864 
point 27 468 78.6569 167.668 
point 28 484 6.03049 162.825 
point 29 493 198.877 209.183 
point 30 509  48.993 210.251 
point 31 525 262.895 236.175 
point 32 566 139.453 236.446 
point 33 584 219.109 204.299 
point 34 602 224.868 158.593 
point 35 615 282.757 155.846 
point 36 620 139.589 149.928 
point 37 659 282.349 195.374 
point 38 665  96.019 192.996 
point 39 702 213.347 103.232 
point 40 707 271.312 210.671 
point 41 731 60.8025 226.142 
point 42 741 264.276 208.531 
point 43 743 151.349 218.687 
point 44 745 117.266 166.419 
point 45 763 45.0439   132.6 
point 46 775 241.338 158.895 
point 47 791 144.234 189.659 
point 48 799 441.812 19.0388 
point 49 801 219.241   197.3 
point 50 802 188.747 163.788 
point 51 818 196.476 177.607 
point 52 855  121.18 148.403 
point 53 870 321.765 201.298 
point 54 935 49.7548  228.93 
point 55 943 240.611 232.738 
point 56 985 313.246 188.845 

