seq: 128
gt_pose:  -1.05273   -8.1384 -0.163442
odom_pose: -1.19025 -7.51026 -0.11536
point 0 26 40.6933 137.362 
point 1 35 166.473 218.349 
point 2 38 33.2219 151.888 
point 3 56 191.412 205.582 
point 4 59 94.0437 218.508 
point 5 84 74.4309 178.794 
point 6 102 235.716 90.6745 
point 7 107 346.681  184.27 
point 8 118 176.752 191.983 
point 9 138  18.549 229.784 
point 10 143 461.593 44.3164 
point 11 182 245.245 231.155 
point 12 187 277.619  122.54 
point 13 220 272.562 154.692 
point 14 236 295.693 124.127 
point 15 256 251.198 220.822 
point 16 259  20.247 208.645 
point 17 286 2.28667  175.92 
point 18 299 222.144 183.414 
point 19 316 20.5177 184.747 
point 20 323 117.098 119.728 
point 21 327 62.1362 212.455 
point 22 374 221.397 200.604 
point 23 429 222.751 192.652 
point 24 444   213.9 184.825 
point 25 446 170.092 174.686 
point 26 452 181.754 187.596 
point 27 468 179.412 179.229 
point 28 484 126.617 177.059 
point 29 493 237.538 196.601 
point 30 525 325.138 234.741 
point 31 565 69.9886 237.377 
point 32 566 211.718 236.535 
point 33 584 280.694 200.758 
point 34 602 285.018 147.232 
point 35 615 351.124 127.778 
point 36 620  218.58 156.953 
point 37 629 26.6152 180.348 
point 38 638 91.9024 164.304 
point 39 639 24.6021 216.153 
point 40 646 2.46531 226.616 
point 41 659 350.841   179.5 
point 42 665 177.661 196.106 
point 43 697 45.6501 205.613 
point 44 707 336.297 205.804 
point 45 731  170.27 228.723 
point 46 741 327.593 199.682 
point 47 745 198.337 172.007 
point 48 763 147.495  147.53 
point 49 775 304.029  149.91 
point 50 801 283.829 195.614 
point 51 802 187.292 97.8562 
point 52 818 257.233 171.971 
point 53 855 200.442 154.476 
point 54 870 414.113 178.467 
point 55 885 55.4071 160.573 
point 56 903 90.2773 195.872 
point 57 918 79.7852 226.259 
point 58 931 51.1454 121.492 
point 59 943 304.285 232.189 
point 60 961 99.9987 104.889 
point 61 985 435.026 116.072 

