seq: 129
gt_pose:   -0.85359   -8.16231 -0.0752116
odom_pose: -0.983876  -7.52345 -0.023196
point 0 26 70.9026  142.31 
point 1 38 68.9236 157.851 
point 2 59 123.659 219.798 
point 3 84 106.624 182.819 
point 4 102 248.432 81.2993 
point 5 107 365.951 180.218 
point 6 118 195.507 192.719 
point 7 138 54.5302 230.445 
point 8 182 260.635 230.976 
point 9 187 292.769 116.107 
point 10 220 287.033 148.403 
point 11 236 311.647 107.921 
point 12 256 266.963 220.565 
point 13 259  62.387 211.393 
point 14 286 46.7305 181.668 
point 15 290 7.46308 195.714 
point 16 299 237.707 182.626 
point 17 316 63.1618 189.696 
point 18 323 127.097 114.719 
point 19 327 95.0652 214.247 
point 20 374 238.017 200.619 
point 21 429  238.87 192.352 
point 22 444 231.147 185.229 
point 23 446 190.401  176.42 
point 24 452  200.78 188.578 
point 25 463 1.65921 137.051 
point 26 468  198.59 180.416 
point 27 484 148.157 178.636 
point 28 493 245.532 190.279 
point 29 525 344.757 234.041 
point 30 532 6.17091 189.435 
point 31 560 9.58003 150.469 
point 32 565 92.5308 237.433 
point 33 566 227.131 236.483 
point 34 584 296.083 198.854 
point 35 588 21.3664 233.178 
point 36 602 300.454 141.653 
point 37 615 373.208 114.415 
point 38 620 235.123 156.876 
point 39 629  66.839 185.283 
point 40 638 110.586 164.711 
point 41 639 60.6817 217.743 
point 42 651 19.6917 91.1721 
point 43 659 373.289 171.856 
point 44 664 37.6547 208.702 
point 45 665 194.064 195.909 
point 46 681 27.3555 211.263 
point 47 697 83.2204 208.327 
point 48 707  354.68 203.505 
point 49 709 42.6032 216.481 
point 50 731 190.504 229.017 
point 51 741 346.565 195.545 
point 52 745 214.943 171.892 
point 53 763 166.713 148.818 
point 54 771 31.3857 228.205 
point 55 775 320.385 145.265 
point 56 801 299.552 194.207 
point 57 802 168.803 51.3461 
point 58 818  271.76 168.822 
point 59 821 8.02142 202.176 
point 60 855 216.798 154.119 
point 61 870 453.591 165.654 
point 62 885 90.4599 166.285 
point 63 903 118.293  198.12 
point 64 918 107.921 226.927 
point 65 931 76.8169 125.277 
point 66 943 320.571 231.865 
point 67 961 121.673 107.766 
point 68 985 537.567 37.2902 

