seq: 130
gt_pose:  -0.65312  -8.16858 0.0130175
odom_pose: -0.779912    -7.519 0.0650781
point 0 6 37.9022  199.25 
point 1 26 97.2183 146.052 
point 2 38 99.3422 162.459 
point 3 48 14.4035 43.6159 
point 4 84 134.352 185.935 
point 5 102 261.177 69.1052 
point 6 107 387.524 174.955 
point 7 118 213.011 193.056 
point 8 138 85.2076 230.955 
point 9 182 275.896 230.713 
point 10 187 308.584 107.762 
point 11 198 36.4861 236.703 
point 12 220 302.307 140.197 
point 13 236  330.23 84.8341 
point 14 246 326.652 218.465 
point 15 256 282.567 220.138 
point 16 286 83.3347 186.067 
point 17 299 252.858 181.325 
point 18 323 135.494 108.055 
point 19 327 123.374 215.634 
point 20 374 254.031 200.311 
point 21 414  338.28 167.226 
point 22 429 254.49 191.65 
point 23 444 247.613 185.186 
point 24 446 209.133 177.571 
point 25 452 218.526 189.118 
point 26 463 45.1212 145.919 
point 27 468 216.449 181.087 
point 28 484 167.739 179.649 
point 29 493 252.731 181.165 
point 30 525 368.369 233.056 
point 31 532 48.4749 193.661 
point 32 560 37.4039  153.49 
point 33 565  112.67 237.466 
point 34 566 242.048   236.4 
point 35 584 312.094 196.377 
point 36 602 316.749 134.422 
point 37 615 399.811  96.046 
point 38 620 251.055 156.116 
point 39 629 100.421 189.081 
point 40 638 127.446 164.471 
point 41 639 91.4079 218.971 
point 42 651 49.5187 97.5068 
point 43 659 400.647 161.227 
point 44 664 73.5834 210.888 
point 45 665 209.553 195.337 
point 46 707  374.98 200.527 
point 47 709 80.2134 218.317 
point 48 731 209.177  229.21 
point 49 741 368.444 189.987 
point 50 743 262.174   220.3 
point 51 745 230.778  171.21 
point 52 763 184.449  149.33 
point 53 775  337.74 139.244 
point 54 801  315.68 192.308 
point 55 818 286.564 164.708 
point 56 821  48.017 205.054 
point 57 855 232.436 153.038 
point 58 870 511.726 145.029 
point 59 882 36.1327 204.287 
point 60 885 120.302 170.705 
point 61 903 142.921 199.838 
point 62 918 132.647 227.435 
point 63 931 99.5123 127.905 
point 64 943 337.663  231.44 
point 65 961 141.239 109.449 

