seq: 132
gt_pose: -0.254422  -8.12813  0.189474
odom_pose: -0.361268  -7.45518  0.267718
point 0 6 103.797 204.205 
point 1 17  22.892 166.004 
point 2 26 141.418 150.635 
point 3 38 149.241 168.677 
point 4 48 64.6422 53.7675 
point 5 57 52.2113 200.556 
point 6 64 36.5075 212.943 
point 7 102 287.925 31.8702 
point 8 107 442.581 158.689 
point 9 116 53.8679 227.102 
point 10 118 245.498 192.572 
point 11 119 66.8775 213.794 
point 12 137 370.298 206.435 
point 13 138  135.48 231.636 
point 14 179 16.3901 216.158 
point 15 182   307.1 229.876 
point 16 187 344.194 82.7138 
point 17 198 105.803 237.147 
point 18 202 36.0955 180.914 
point 19 220 337.787 114.599 
point 20 246  362.58 215.956 
point 21 256 314.351 218.688 
point 22 296 14.2987 160.338 
point 23 299 282.894  176.92 
point 24 313 53.4253 162.548 
point 25 319 63.7214 189.309 
point 26 323 146.964 87.8677 
point 27 327 170.414 217.499 
point 28 374 285.258 198.664 
point 29 398 24.5144 226.544 
point 30 414 376.186 157.537 
point 31 429 285.223 188.901 
point 32 444 279.277 183.736 
point 33 448 49.9807 220.676 
point 34 452 251.461 188.948 
point 35 463 111.631 157.984 
point 36 468 249.517  180.98 
point 37 469 31.0065 175.241 
point 38 484 202.647 180.138 
point 39 493  262.82 142.982 
point 40 525 442.958 229.217 
point 41 532 113.586 199.423 
point 42 560 83.1752  156.93 
point 43 565 147.419 237.465 
point 44 566 271.326 236.119 
point 45 573  18.462 180.154 
point 46 584 347.829 188.989 
point 47 602 354.258 112.552 
point 48 615 481.328 29.1511 
point 49 620 282.099 152.385 
point 50 638 156.789 161.974 
point 51 639 141.737 220.623 
point 52 651 98.4424 105.488 
point 53 659 487.327 121.215 
point 54 664 130.692 213.881 
point 55 665 238.723 192.948 
point 56 673 316.788 238.096 
point 57 707 425.448 191.437 
point 58 731 243.315 229.325 
point 59 741 429.299 171.038 
point 60 743 293.613 219.486 
point 61 745 261.125 168.002 
point 62 763 216.733  148.08 
point 63 775 377.791 121.286 
point 64 791 289.312   192.8 
point 65 801 350.609 186.593 
point 66 815 65.2009 164.616 
point 67 818 318.445 152.426 
point 68 821 110.419 208.989 
point 69 855 262.522 148.489 
point 70 867 22.8919 220.176 
point 71 882 106.885 209.295 
point 72 903 184.993 202.015 
point 73 918  174.81 228.066 
point 74 931 138.204 130.134 
point 75 943 376.194 230.178 
point 76 961 175.63 109.48 
point 77 971 57.2649  212.72 

