seq: 133
gt_pose: -0.0592958   -8.08174   0.277702
odom_pose: -0.170207  -7.39638  0.340029
point 0 6 130.167 205.868 
point 1 26 160.445 151.692 
point 2 38 170.356 170.618 
point 3 48 85.3952 56.1589 
point 4 56 276.129 205.877 
point 5 57 87.9379 203.461 
point 6 69 305.637 215.322 
point 7 102 302.862 2.78567 
point 8 107 480.737 145.664 
point 9 116 83.3621 227.724 
point 10 118 261.011 191.729 
point 11 119 98.3224 215.368 
point 12 137 391.458 203.826 
point 13 138 156.692 231.844 
point 14 169  16.777 209.727 
point 15 182 323.693 229.258 
point 16 187 365.599 63.7038 
point 17 198 133.197 237.297 
point 18 220 360.313 93.8575 
point 19 246 383.095 214.127 
point 20 256 331.153 217.592 
point 21 296 56.3112 167.123 
point 22 299 298.317 173.593 
point 23 323 149.407 72.7359 
point 24 327  190.59 218.074 
point 25 374 300.987 197.251 
point 26 382 20.4149 173.406 
point 27 398 64.5227 227.637 
point 28 414   398.4 150.457 
point 29 429  300.86 186.725 
point 30 444 294.984 182.267 
point 31 452 267.197  188.23 
point 32 463 138.147  162.05 
point 33 468 265.276 180.196 
point 34 469 70.4056 180.492 
point 35 484 218.604 179.635 
point 36 493 261.925 92.6286 
point 37 519 14.4392 161.818 
point 38 525 517.867 224.774 
point 39 532 139.667 201.362 
point 40 540  340.07 188.003 
point 41 560 102.317 157.513 
point 42 565 162.652 237.432 
point 43 566 286.192 235.908 
point 44 573 60.9488 185.438 
point 45 584 368.991 183.471 
point 46 602 377.446 95.7016 
point 47 620 297.722 149.246 
point 48 638 169.676 159.602 
point 49 639 162.985 221.134 
point 50 651 118.959 107.527 
point 51 659 571.585 77.5569 
point 52 664 154.201  214.87 
point 53 665 252.843 191.018 
point 54 667 16.0838 197.644 
point 55 673 333.557 238.011 
point 56 707 459.316 184.301 
point 57 731 259.379 229.252 
point 58 741 478.052 153.411 
point 59 743 309.561 218.787 
point 60 745 276.119 165.328 
point 61 763 231.804 146.265 
point 62 775 402.371 107.809 
point 63 777 25.4709 203.665 
point 64 791 305.173 191.366 
point 65 801 370.423 182.422 
point 66 815 98.7631 169.801 
point 67 818 336.599 143.273 
point 68 821  135.67 210.302 
point 69 855 277.454 144.807 
point 70 903 203.492 202.575 
point 71 918 193.292 228.217 
point 72 931 155.011 129.835 
point 73 943 399.091  229.25 
point 74 961 191.064  107.83 

